Year,Month,Temp. Anomaly,UC,Temperature
1750,1,-1.36,1.46,-5.375
1750,2,-0.04,2.08,-2.246
1750,3,2.24,2.57,3.64
1750,4,0.43,1.19,6.188
1750,5,-1.15,1.23,9.353
1750,6,0.32,1.28,14.347
1750,7,0.65,1.48,16.154
1750,8,0.57,1.17,15.555
1750,9,-0.25,1.95,11.643
1750,10,-1.02,1.06,5.78
1750,11,-3.59,1.19,-1.88
1750,12,-2.30,1.46,-4.839
1751,1,-1.80,1.52,-5.822
1751,2,-3.17,1.46,-5.382
1751,3,1.12,1.21,2.519
1751,4,-1.78,1.09,3.979
1751,5,-0.73,1.23,9.774
1751,6,-0.43,1.31,13.603
1751,7,1.00,1.35,16.504
1751,8,1.23,1.01,16.224
1751,9,-0.27,0.98,11.622
1751,10,-1.11,1.20,5.69
1751,11,-3.23,1.32,-1.522
1751,12,-2.17,1.92,-4.705
1752,1,-0.90,1.59,-4.922
1752,2,0.85,1.41,-1.36
1752,3,0.17,1.07,1.566
1752,4,-1.00,1.24,4.757
1752,5,-0.78,1.12,9.725
1752,6,1.81,0.99,15.844
1752,7,0.63,1.19,16.127
1752,8,-0.81,1.47,14.184
1752,9,NaN,NaN,11.89
1752,10,-0.28,1.15,6.52
1752,11,-0.37,1.27,1.341
1752,12,-1.04,1.67,-3.584
1753,1,-2.07,1.43,-6.093
1753,2,-1.02,1.58,-3.23
1753,3,1.00,1.10,2.396
1753,4,0.48,1.48,6.235
1753,5,0.34,0.77,10.842
1753,6,1.15,1.43,15.179
1753,7,0.54,1.36,16.038
1753,8,-0.81,1.03,14.176
1753,9,-0.49,0.94,11.402
1753,10,-0.27,0.98,6.534
1753,11,-1.82,0.98,-0.109
1753,12,-1.56,2.79,-4.096
1754,1,-1.02,1.44,-5.041
1754,2,-2.35,1.49,-4.561
1754,3,-3.52,0.78,-2.123
1754,4,0.06,1.23,5.824
1754,5,1.14,0.97,11.635
1754,6,0.82,1.14,14.851
1754,7,-0.51,1.50,14.99
1754,8,0.26,1.22,15.254
1754,9,-0.78,1.19,11.114
1754,10,0.88,1.27,7.684
1754,11,0.52,2.17,2.232
1754,12,-0.31,1.28,-2.851
1755,1,-4.05,1.46,-8.07
1755,2,-4.46,2.01,-6.671
1755,3,-0.98,1.15,0.424
1755,4,3.25,1.83,9.011
1755,5,0.22,0.98,10.723
1755,6,2.48,1.77,16.506
1755,7,0.45,2.48,15.947
1755,8,-1.17,1.26,13.82
1755,9,-1.54,0.95,10.355
1755,10,-0.20,0.78,6.596
1755,11,-1.59,2.37,0.117
1755,12,0.27,1.46,-2.27
1756,1,0.97,2.01,-3.047
1756,2,1.30,5.01,-0.914
1756,3,0.46,3.02,1.855
1756,4,-0.82,2.38,4.936
1756,5,-0.14,5.65,10.36
1756,6,1.96,2.04,15.992
1756,7,0.46,8.15,15.962
1756,8,0.39,1.84,15.382
1756,9,0.09,1.50,11.98
1756,10,-0.53,9.04,6.275
1756,11,-2.68,0.89,-0.967
1756,12,-2.05,1.40,-4.594
1757,1,-2.20,1.47,-6.224
1757,2,0.20,2.82,-2.014
1757,3,-0.51,4.37,0.894
1757,4,1.12,1.91,6.877
1757,5,0.90,1.95,11.397
1757,6,1.84,1.75,15.872
1757,7,3.12,3.20,18.622
1757,8,1.31,4.43,16.295
1757,9,-1.35,6.58,10.542
1757,10,-3.95,6.31,2.849
1757,11,-1.02,8.61,0.692
1757,12,-1.72,1.38,-4.26
1758,1,-3.98,6.89,-8.002
1758,2,-2.36,2.32,-4.566
1758,3,-0.37,1.41,1.032
1758,4,-0.52,3.71,5.236
1758,5,0.37,5.52,10.871
1758,6,0.92,4.14,14.954
1758,7,-1.84,4.09,13.659
1758,8,-0.63,6.37,14.359
1758,9,-2.17,2.18,9.72
1758,10,-2.57,0.94,4.233
1758,11,-0.65,1.44,1.059
1758,12,0.13,1.27,-2.41
1759,1,1.68,1.50,-2.343
1759,2,1.49,6.59,-0.72
1759,3,0.29,4.13,1.693
1759,4,0.14,5.62,5.9
1759,5,-0.70,4.16,9.798
1759,6,0.79,4.48,14.818
1759,7,1.54,4.88,17.041
1759,8,0.01,1.32,15.004
