Year,Month,Temperature Anomaly,UC,Temperature 
1750,1,2.060,2.480,-4.93
1750,2,1.703,2.948,-4.297
1750,3,2.362,3.182,0.812
1750,4,0.753,2.386,7.013
1750,5,-1.245,2.352,11.425
1750,6,-0.062,2.366,6.198
1750,7,0.914,2.459,18.724
1750,8,1.044,2.388,17.914
1750,9,-0.576,2.650,11.524
1750,10,-3.135,2.337,3.255
1750,11,-6.004,2.424,-5.024
1750,12,-3.570,2.536,-7.25
1751,1,-0.752,2.506,-7.742
1751,2,-3.575,2.606,-9.575
1751,3,1.954,2.464,0.404
1751,4,-0.763,2.315,5.497
1751,5,-0.811,2.318,11.859
1751,6,-1.201,2.380,5.059
1751,7,1.057,2.436,18.867
1751,8,0.493,2.316,17.363
1751,9,-0.498,2.297,11.602
1751,10,-2.144,1.991,4.246
1751,11,-2.991,1.992,-2.011
1751,12,-1.121,2.280,-4.801
1752,1,-1.563,2.229,-8.553
1752,2,1.732,2.150,-4.268
1752,3,1.807,1.937,0.257
1752,4,-0.388,2.041,5.872
1752,5,-0.366,1.882,12.304
1752,6,0.147,1.828,6.407
1752,7,1.955,1.941,19.765
1752,8,0.256,2.107,17.126
1752,9,NaN,NaN,#VALUE!
1752,10,-0.641,1.941,5.749
1752,11,0.355,1.954,1.335
1752,12,-0.106,2.118,-3.786
1753,1,0.021,2.137,-6.969
1753,2,-0.617,2.348,-6.617
1753,3,2.309,2.202,0.759
1753,4,0.299,2.350,6.559
1753,5,0.027,1.834,12.697
1753,6,-0.702,2.140,5.558
1753,7,-0.302,2.177,17.508
1753,8,-0.742,1.993,16.128
1753,9,-0.189,1.901,11.911
1753,10,0.199,1.942,6.589
1753,11,-1.072,1.904,-0.092
1753,12,-5.511,2.502,-9.191
1754,1,-0.069,2.145,-7.059
1754,2,-1.942,2.355,-7.942
1754,3,-1.044,1.965,-2.594
1754,4,1.773,2.013,8.033
1754,5,0.713,1.968,13.383
1754,6,0.545,2.015,6.805
1754,7,-0.488,2.296,17.322
1754,8,-1.424,2.129,15.446
1754,9,-1.207,1.937,10.893
1754,10,0.033,2.051,6.423
1754,11,-0.715,2.660,0.265
1754,12,0.068,2.054,-3.612
1755,1,-1.560,2.330,-8.55
1755,2,-3.496,2.789,-9.496
1755,3,-0.745,2.212,-2.295
1755,4,0.732,2.154,6.992
1755,5,0.815,1.961,13.485
1755,6,1.625,2.221,7.885
1755,7,1.256,2.577,19.066
1755,8,-1.649,2.048,15.221
1755,9,-1.039,1.864,11.061
1755,10,0.635,1.857,7.025
1755,11,-0.732,2.343,0.248
1755,12,-1.280,2.217,-4.96
1756,1,2.534,2.346,-4.456
1756,2,4.116,3.061,-1.884
1756,3,1.019,2.926,-0.531
1756,4,-0.068,2.756,6.192
1756,5,-0.885,4.786,11.785
1756,6,1.323,2.173,7.583
1756,7,0.620,6.108,18.43
1756,8,-1.639,3.468,15.231
1756,9,-0.385,2.020,11.715
