Year,Month,Temperature Anamoly,UC,Temperature
1811,8,-0.251,2.835,11.119
1811,9,-0.526,2.521,4.884
1811,10,-3.185,2.462,-5.205
1811,11,-2.882,2.692,-14.392
1811,12,0.621,2.830,-19.079
1812,1,-2.053,3.901,-25.553
1812,2,-4.637,2.385,-25.557
1812,3,-3.224,2.514,-18.964
1812,4,-2.629,2.233,-9.229
1812,5,-1.583,2.242,0.797
1812,6,-1.746,2.152,7.504
1812,7,-0.398,2.451,12.472
1812,8,NaN,NaN,#VALUE!
1812,9,NaN,NaN,#VALUE!
1812,10,-2.197,2.481,-4.217
1812,11,-2.096,2.880,-13.606
1812,12,-0.359,4.081,-20.059
1813,1,-2.369,3.530,-25.869
1813,2,-1.129,2.636,-22.049
1813,3,NaN,NaN,#VALUE!
1813,4,0.122,2.618,-6.478
1813,5,0.927,3.280,3.307
1813,6,-0.194,2.501,9.056
1813,7,0.112,2.309,12.982
1813,8,-0.989,2.317,10.381
1813,9,1.586,2.487,6.996
1813,10,NaN,NaN,#VALUE!
1813,11,NaN,NaN,#VALUE!
1813,12,NaN,NaN,#VALUE!
1814,1,NaN,NaN,#VALUE!
1814,2,NaN,NaN,#VALUE!
1814,3,NaN,NaN,#VALUE!
1814,4,NaN,NaN,#VALUE!
1814,5,NaN,NaN,#VALUE!
1814,6,NaN,NaN,#VALUE!
1814,7,NaN,NaN,#VALUE!
1814,8,NaN,NaN,#VALUE!
1814,9,NaN,NaN,#VALUE!
1814,10,NaN,NaN,#VALUE!
1814,11,NaN,NaN,#VALUE!
1814,12,NaN,NaN,#VALUE!
1815,1,NaN,NaN,#VALUE!
1815,2,NaN,NaN,#VALUE!
1815,3,NaN,NaN,#VALUE!
1815,4,NaN,NaN,#VALUE!
1815,5,NaN,NaN,#VALUE!
1815,6,NaN,NaN,#VALUE!
1815,7,NaN,NaN,#VALUE!
1815,8,NaN,NaN,#VALUE!
1815,9,NaN,NaN,#VALUE!
1815,10,NaN,NaN,#VALUE!
1815,11,NaN,NaN,#VALUE!
1815,12,NaN,NaN,#VALUE!
1816,1,NaN,NaN,#VALUE!
1816,2,NaN,NaN,#VALUE!
1816,3,NaN,NaN,#VALUE!
1816,4,NaN,NaN,#VALUE!
1816,5,NaN,NaN,#VALUE!
1816,6,NaN,NaN,#VALUE!
1816,7,NaN,NaN,#VALUE!
1816,8,NaN,NaN,#VALUE!
1816,9,NaN,NaN,#VALUE!
1816,10,NaN,NaN,#VALUE!
1816,11,NaN,NaN,#VALUE!
1816,12,NaN,NaN,#VALUE!
1817,1,NaN,NaN,#VALUE!
1817,2,NaN,NaN,#VALUE!
1817,3,NaN,NaN,#VALUE!
1817,4,NaN,NaN,#VALUE!
1817,5,NaN,NaN,#VALUE!
1817,6,NaN,NaN,#VALUE!
1817,7,NaN,NaN,#VALUE!
1817,8,NaN,NaN,#VALUE!
1817,9,NaN,NaN,#VALUE!
1817,10,NaN,NaN,#VALUE!
1817,11,NaN,NaN,#VALUE!
1817,12,NaN,NaN,#VALUE!
1818,1,NaN,NaN,#VALUE!
1818,2,NaN,NaN,#VALUE!
1818,3,NaN,NaN,#VALUE!
1818,4,NaN,NaN,#VALUE!
1818,5,NaN,NaN,#VALUE!
1818,6,NaN,NaN,#VALUE!
1818,7,NaN,NaN,#VALUE!
