Year,Month,TA,UC,T
1841,1,-2.089,2.223,-10.389
1841,2,NaN,NaN,#VALUE!
1841,3,-2.690,1.163,-1.33
1841,4,-1.693,1.448,6.427
1841,5,-0.648,1.038,12.932
1841,6,-0.946,1.516,16.644
1841,7,-0.133,1.430,19.567
1841,8,-0.668,1.290,18.122
1841,9,-1.134,1.129,13.186
1841,10,-0.892,1.334,6.788
1841,11,-1.896,1.332,-1.806
1841,12,-2.086,1.603,-8.356
1842,1,-0.471,1.915,-8.771
1842,2,0.258,1.392,-4.912
1842,3,0.669,1.253,2.029
1842,4,0.448,1.304,8.568
1842,5,-0.673,1.066,12.907
1842,6,-0.783,1.504,16.807
1842,7,-1.259,1.118,18.441
1842,8,-1.098,1.169,17.692
1842,9,-0.789,1.145,13.531
1842,10,-1.126,1.175,6.554
1842,11,-1.425,1.203,-1.335
1842,12,0.482,1.259,-5.788
1843,1,0.316,1.316,-7.984
1843,2,1.407,1.547,-3.763
1843,3,-0.231,1.499,1.129
1843,4,0.110,1.240,8.23
1843,5,-1.160,1.238,12.42
1843,6,-1.093,1.048,16.497
1843,7,-0.523,1.121,19.177
1843,8,-0.439,1.016,18.351
1843,9,-0.582,1.115,13.738
1843,10,-0.884,1.271,6.796
1843,11,-1.497,1.135,-1.407
1843,12,0.267,1.995,-6.003
1844,1,0.064,1.533,-8.236
1844,2,-0.664,1.399,-5.834
1844,3,0.349,1.262,1.709
1844,4,-1.138,1.236,6.982
1844,5,-1.485,1.050,12.095
1844,6,-0.810,1.069,16.78
1844,7,-0.858,1.136,18.842
1844,8,-0.720,1.071,18.07
1844,9,-1.057,1.073,13.263
1844,10,-0.396,1.048,7.284
1844,11,-0.594,1.786,-0.504
1844,12,-1.601,1.516,-7.871
1845,1,0.439,1.285,-7.861
1845,2,-1.172,1.690,-6.342
1845,3,-0.368,1.112,0.992
1845,4,-0.473,1.136,7.647
1845,5,-0.135,1.386,13.445
1845,6,0.167,1.308,17.757
1845,7,-0.237,1.283,19.463
1845,8,-0.846,1.171,17.944
1845,9,-0.818,1.276,13.502
1845,10,-1.405,1.312,6.275
1845,11,-1.280,1.432,-1.19
1845,12,-3.044,1.712,-9.314
1846,1,-0.313,2.531,-8.613
1846,2,1.054,1.453,-4.116
1846,3,0.580,1.126,1.94
1846,4,-1.272,1.519,6.848
1846,5,-0.881,1.307,12.699
1846,6,0.135,1.351,17.725
1846,7,0.404,1.081,20.104
1846,8,0.189,0.959,18.979
1846,9,-0.043,1.099,14.277
1846,10,-1.281,1.364,6.399
1846,11,-1.421,1.249,-1.331
1846,12,0.380,1.143,-5.89
1847,1,0.938,1.178,-7.362
1847,2,0.189,1.180,-4.981
1847,3,-0.871,1.684,0.489
1847,4,0.173,1.364,8.293
1847,5,-0.567,1.037,13.013
1847,6,-0.613,0.927,16.977
1847,7,-0.077,1.052,19.623
1847,8,-0.785,0.991,18.005
1847,9,-0.740,0.978,13.58
1847,10,-0.885,0.940,6.795
1847,11,0.209,1.191,0.299
1847,12,-1.734,1.235,-8.004
1848,1,-2.516,1.368,-10.816
1848,2,0.130,1.455,-5.04
1848,3,-0.568,1.077,0.792
1848,4,-0.982,1.063,7.138
1848,5,-0.581,1.231,12.999
1848,6,-0.237,1.172,17.353
1848,7,0.085,0.877,19.785
1848,8,-0.782,0.982,18.008
1848,9,-0.896,0.949,13.424
1848,10,-1.059,1.133,6.621
1848,11,-1.261,1.009,-1.171
1848,12,-0.524,1.354,-6.794
1849,1,0.036,1.657,-8.264
1849,2,-0.107,1.247,-5.277
1849,3,0.307,1.654,1.667
1849,4,-1.051,1.824,7.069
1849,5,-1.243,1.106,12.337
1849,6,-0.483,1.022,17.107
1849,7,-0.512,1.100,19.188
1849,8,-0.184,1.181,18.606
1849,9,-0.621,0.941,13.699
1849,10,-0.994,1.344,6.686
1849,11,-1.446,1.758,-1.356
1849,12,-1.830,1.339,-8.1
1850,1,-1.583,1.391,-9.883
1850,2,-0.796,2.099,-5.966
1850,3,-0.037,1.515,1.323
1850,4,-1.758,1.451,6.362
1850,5,-0.729,1.042,12.851
1850,6,-0.303,0.953,17.287
1850,7,0.015,0.885,19.715
1850,8,-0.214,0.992,18.576
1850,9,-0.424,0.999,13.896
1850,10,-0.958,1.139,6.722
1850,11,-2.160,1.143,-2.07
1850,12,-0.129,1.106,-6.399
1851,1,-0.350,1.121,-8.65
1851,2,-0.826,1.009,-5.996
1851,3,-1.998,1.577,-0.638
1851,4,-2.406,0.884,5.714
1851,5,-0.917,1.140,12.663
1851,6,0.105,1.293,17.695
1851,7,0.174,0.901,19.874
1851,8,-0.440,0.985,18.35
1851,9,-1.022,1.035,13.298
1851,10,-1.042,1.165,6.638
1851,11,-2.295,1.039,-2.205
1851,12,-1.005,1.164,-7.275
1852,1,-0.660,1.107,-8.96
1852,2,-1.751,1.291,-6.921
1852,3,-2.472,1.025,-1.112
1852,4,-1.335,1.474,6.785
1852,5,-0.503,1.206,13.077
1852,6,-0.002,1.010,17.588
1852,7,0.412,0.900,20.112
1852,8,-0.878,0.970,17.912
1852,9,-0.792,0.910,13.528
1852,10,-0.194,1.060,7.486
1852,11,-2.228,1.380,-2.138
1852,12,-0.201,1.495,-6.471
1853,1,-2.166,1.276,-10.466
1853,2,-1.717,2.323,-6.887
1853,3,-0.708,1.010,0.652
1853,4,-1.403,0.963,6.717
