Year,Month,TA,UC,T
1807,8,-1.886,3.341,-6.206
1807,9,0.359,2.360,-11.241
1807,10,-0.061,2.166,-20.241
1807,11,0.384,2.641,-26.136
1807,12,1.241,2.394,-28.289
1808,1,-5.900,4.575,-35.92
1808,2,-1.666,2.738,-31.356
1808,3,0.101,4.405,-28.669
1808,4,-0.253,2.347,-22.643
1808,5,-2.374,3.420,-14.414
1808,6,-0.558,2.374,-5.798
1808,7,-0.048,2.318,-2.418
1808,8,NaN,NaN,#VALUE!
1808,9,NaN,NaN,#VALUE!
1808,10,NaN,NaN,#VALUE!
1808,11,-1.847,2.336,-28.367
1808,12,0.349,3.236,-29.181
1809,1,-0.121,4.441,-30.141
1809,2,-3.303,3.044,-32.993
1809,3,0.922,3.940,-27.848
1809,4,1.178,3.803,-21.212
1809,5,NaN,NaN,#VALUE!
1809,6,NaN,NaN,#VALUE!
1809,7,NaN,NaN,#VALUE!
1809,8,NaN,NaN,#VALUE!
1809,9,NaN,NaN,#VALUE!
1809,10,NaN,NaN,#VALUE!
1809,11,NaN,NaN,#VALUE!
1809,12,NaN,NaN,#VALUE!
1810,1,NaN,NaN,#VALUE!
1810,2,NaN,NaN,#VALUE!
1810,3,NaN,NaN,#VALUE!
1810,4,NaN,NaN,#VALUE!
1810,5,NaN,NaN,#VALUE!
1810,6,NaN,NaN,#VALUE!
1810,7,NaN,NaN,#VALUE!
1810,8,NaN,NaN,#VALUE!
1810,9,NaN,NaN,#VALUE!
1810,10,-1.182,2.680,-21.362
1810,11,-0.163,2.914,-26.683
1810,12,-0.513,4.170,-30.043
1811,1,-3.810,2.432,-33.83
1811,2,-6.241,2.953,-35.931
1811,3,NaN,NaN,#VALUE!
1811,4,NaN,NaN,#VALUE!
1811,5,NaN,NaN,#VALUE!
1811,6,NaN,NaN,#VALUE!
1811,7,NaN,NaN,#VALUE!
1811,8,-1.324,3.736,-5.644
1811,9,-2.252,4.218,-13.852
1811,10,-0.726,4.085,-20.906
1811,11,-3.690,2.818,-30.21
1811,12,-1.484,3.961,-31.014
1812,1,-1.040,6.237,-31.06
1812,2,NaN,NaN,#VALUE!
1812,3,NaN,NaN,#VALUE!
1812,4,0.386,4.991,-22.004
1812,5,-1.638,2.493,-13.678
1812,6,-1.676,2.530,-6.916
1812,7,0.437,2.967,-1.933
1812,8,NaN,NaN,#VALUE!
1812,9,NaN,NaN,#VALUE!
1812,10,-0.618,2.437,-20.798
1812,11,-0.141,3.688,-26.661
1812,12,1.416,4.908,-28.114
1813,1,-4.579,5.101,-34.599
1813,2,-0.885,2.664,-30.575
1813,3,NaN,NaN,#VALUE!
1813,4,-2.167,4.037,-24.557
1813,5,-2.867,5.283,-14.907
1813,6,1.036,3.155,-4.204
1813,7,0.966,2.995,-1.404
1813,8,-0.867,2.273,-5.187
1813,9,0.321,3.808,-11.279
1813,10,0.566,3.131,-19.614
1813,11,-0.259,2.809,-26.779
1813,12,-0.170,3.103,-29.7
1814,1,0.633,4.236,-29.387
1814,2,-3.656,2.816,-33.346
1814,3,-5.136,3.904,-33.906
1814,4,-0.206,2.767,-22.596
1814,5,-0.347,3.408,-12.387
1814,6,-0.977,2.384,-6.217
1814,7,0.030,2.980,-2.34
1814,8,NaN,NaN,#VALUE!
1814,9,NaN,NaN,#VALUE!
1814,10,NaN,NaN,#VALUE!
1814,11,0.154,4.535,-26.366
1814,12,2.753,4.378,-26.777
1815,1,-0.344,2.703,-30.364
1815,2,-3.886,5.068,-33.576
1815,3,NaN,NaN,#VALUE!
1815,4,-3.086,3.548,-25.476
1815,5,-1.421,2.562,-13.461
1815,6,-1.497,2.849,-6.737
1815,7,NaN,NaN,#VALUE!
1815,8,NaN,NaN,#VALUE!
1815,9,NaN,NaN,#VALUE!
1815,10,NaN,NaN,#VALUE!
1815,11,NaN,NaN,#VALUE!
1815,12,NaN,NaN,#VALUE!
1816,1,NaN,NaN,#VALUE!
1816,2,NaN,NaN,#VALUE!
1816,3,NaN,NaN,#VALUE!
1816,4,NaN,NaN,#VALUE!
1816,5,NaN,NaN,#VALUE!
1816,6,NaN,NaN,#VALUE!
1816,7,NaN,NaN,#VALUE!
1816,8,NaN,NaN,#VALUE!
1816,9,NaN,NaN,#VALUE!
1816,10,NaN,NaN,#VALUE!
1816,11,NaN,NaN,#VALUE!
1816,12,NaN,NaN,#VALUE!
1817,1,NaN,NaN,#VALUE!
1817,2,NaN,NaN,#VALUE!
1817,3,NaN,NaN,#VALUE!
1817,4,NaN,NaN,#VALUE!
1817,5,NaN,NaN,#VALUE!
1817,6,NaN,NaN,#VALUE!
1817,7,NaN,NaN,#VALUE!
1817,8,NaN,NaN,#VALUE!
1817,9,NaN,NaN,#VALUE!
1817,10,NaN,NaN,#VALUE!
1817,11,NaN,NaN,#VALUE!
1817,12,NaN,NaN,#VALUE!
1818,1,NaN,NaN,#VALUE!
1818,2,NaN,NaN,#VALUE!
1818,3,NaN,NaN,#VALUE!
1818,4,NaN,NaN,#VALUE!
1818,5,NaN,NaN,#VALUE!
1818,6,NaN,NaN,#VALUE!
1818,7,NaN,NaN,#VALUE!
1818,8,NaN,NaN,#VALUE!
1818,9,NaN,NaN,#VALUE!
1818,10,NaN,NaN,#VALUE!
1818,11,NaN,NaN,#VALUE!
1818,12,NaN,NaN,#VALUE!
1819,1,NaN,NaN,#VALUE!
1819,2,NaN,NaN,#VALUE!
1819,3,NaN,NaN,#VALUE!
1819,4,NaN,NaN,#VALUE!
1819,5,NaN,NaN,#VALUE!
1819,6,NaN,NaN,#VALUE!
1819,7,NaN,NaN,#VALUE!
1819,8,NaN,NaN,#VALUE!
1819,9,NaN,NaN,#VALUE!
1819,10,NaN,NaN,#VALUE!
1819,11,NaN,NaN,#VALUE!
1819,12,NaN,NaN,#VALUE!
1820,1,NaN,NaN,#VALUE!
1820,2,NaN,NaN,#VALUE!
1820,3,NaN,NaN,#VALUE!
1820,4,NaN,NaN,#VALUE!
1820,5,NaN,NaN,#VALUE!
1820,6,NaN,NaN,#VALUE!
1820,7,NaN,NaN,#VALUE!
1820,8,NaN,NaN,#VALUE!
1820,9,NaN,NaN,#VALUE!
1820,10,NaN,NaN,#VALUE!
1820,11,NaN,NaN,#VALUE!
1820,12,NaN,NaN,#VALUE!
1821,1,NaN,NaN,#VALUE!
1821,2,NaN,NaN,#VALUE!
1821,3,NaN,NaN,#VALUE!
1821,4,NaN,NaN,#VALUE!
1821,5,NaN,NaN,#VALUE!
1821,6,NaN,NaN,#VALUE!
1821,7,NaN,NaN,#VALUE!
1821,8,NaN,NaN,#VALUE!
1821,9,NaN,NaN,#VALUE!
1821,10,NaN,NaN,#VALUE!
1821,11,NaN,NaN,#VALUE!
1821,12,NaN,NaN,#VALUE!
1822,1,NaN,NaN,#VALUE!
1822,2,NaN,NaN,#VALUE!
1822,3,NaN,NaN,#VALUE!
1822,4,NaN,NaN,#VALUE!
1822,5,NaN,NaN,#VALUE!
1822,6,NaN,NaN,#VALUE!
1822,7,NaN,NaN,#VALUE!
1822,8,NaN,NaN,#VALUE!
1822,9,NaN,NaN,#VALUE!
1822,10,NaN,NaN,#VALUE!
1822,11,NaN,NaN,#VALUE!
1822,12,NaN,NaN,#VALUE!
1823,1,NaN,NaN,#VALUE!
1823,2,NaN,NaN,#VALUE!
1823,3,NaN,NaN,#VALUE!
