Year,Month,TA,UC,T
1750,1,3.492,2.161,-3.078
1750,2,3.236,3.052,-3.554
1750,3,2.266,3.333,-0.804
1750,4,1.458,2.116,4.908
1750,5,-0.946,1.950,9.014
1750,6,-0.083,1.945,14.947
1750,7,1.169,2.049,17.939
1750,8,1.520,1.969,17.37
1750,9,-0.717,2.425,10.483
1750,10,-4.272,1.946,1.528
1750,11,-7.095,2.072,-6.475
1750,12,-4.101,2.258,-7.721
1751,1,-0.489,2.168,-7.059
1751,2,-4.209,2.388,-10.999
1751,3,1.964,2.210,-1.106
1751,4,0.369,1.902,3.819
1751,5,-0.794,1.915,9.166
1751,6,-1.761,1.984,13.269
1751,7,0.786,2.108,17.556
1751,8,0.243,1.904,16.093
1751,9,-0.802,1.869,10.398
1751,10,-1.809,1.681,3.991
1751,11,-2.242,1.446,-1.622
1751,12,-0.152,1.812,-3.772
1752,1,-2.026,1.866,-8.596
1752,2,1.553,1.778,-5.237
1752,3,2.092,1.415,-0.978
1752,4,0.579,1.764,4.029
1752,5,-0.058,1.270,9.902
1752,6,-0.523,1.055,14.507
1752,7,2.811,1.312,19.581
1752,8,1.493,1.608,17.343
1752,9,NaN,NaN,#VALUE!
1752,10,-0.453,1.458,5.347
1752,11,1.241,1.359,1.861
1752,12,0.777,1.580,-2.843
1753,1,0.322,1.776,-6.248
1753,2,0.091,2.121,-6.699
1753,3,2.340,2.124,-0.73
1753,4,0.856,1.967,4.306
1753,5,-0.103,1.085,9.857
1753,6,-1.353,1.572,13.677
1753,7,-0.441,1.686,16.329
1753,8,-0.423,1.360,15.427
1753,9,0.202,1.232,11.402
1753,10,0.822,1.378,6.622
1753,11,-0.430,1.236,0.19
1753,12,-6.970,2.345,-10.59
1754,1,-0.215,1.732,-6.785
1754,2,-1.459,2.236,-8.249
1754,3,-0.990,1.435,-4.06
1754,4,1.759,1.466,5.209
1754,5,0.529,1.509,10.489
1754,6,0.410,1.357,15.44
1754,7,-0.696,1.775,16.074
1754,8,-1.627,1.537,14.223
1754,9,-1.097,1.269,10.103
1754,10,-0.378,1.554,5.422
1754,11,-0.877,2.472,-0.257
1754,12,0.341,1.582,-3.279
1755,1,-1.944,1.786,-8.514
1755,2,-3.282,2.366,-10.072
1755,3,-1.377,1.802,-4.447
1755,4,0.450,1.526,3.9
1755,5,1.228,1.251,11.188
1755,6,1.341,1.734,16.371
1755,7,1.741,2.200,18.511
1755,8,-1.867,1.633,13.983
1755,9,-0.885,1.194,10.315
1755,10,0.468,1.089,6.268
1755,11,0.085,1.795,0.705
1755,12,-1.324,1.684,-4.944
1756,1,2.795,1.612,-3.775
1756,2,5.262,2.262,-1.528
1756,3,0.957,2.891,-2.113
1756,4,-0.190,2.910,3.26
1756,5,-1.726,4.793,8.234
1756,6,0.871,1.576,15.901
1756,7,0.779,5.479,17.549
1756,8,-2.452,3.843,13.398
1756,9,-0.786,1.223,10.414
1756,10,-0.788,7.479,5.012
1756,11,-2.823,1.216,-2.203
1756,12,-2.706,1.814,-6.326
1757,1,-2.645,1.884,-9.215
1757,2,3.016,2.369,-3.774
1757,3,0.293,3.393,-2.777
1757,4,2.394,1.923,5.844
1757,5,-0.147,1.631,9.813
1757,6,2.376,1.761,17.406
1757,7,4.144,1.618,20.914
1757,8,1.367,3.184,17.217
1757,9,1.001,4.845,12.201
1757,10,-5.078,3.898,0.722
1757,11,0.137,5.889,0.757
1757,12,-3.698,4.951,-7.318
1758,1,-4.436,3.630,-11.006
1758,2,-1.504,3.589,-8.294
1758,3,-1.323,1.886,-4.393
1758,4,-1.016,3.366,2.434
1758,5,-0.552,5.513,9.408
1758,6,-0.996,3.372,14.034
1758,7,-0.483,4.000,16.287
1758,8,-1.276,5.166,14.574
1758,9,-2.602,1.833,8.598
1758,10,-3.448,1.346,2.352
1758,11,-0.936,1.594,-0.316
1758,12,-2.205,1.432,-5.825
1759,1,3.420,2.772,-3.15
1759,2,3.797,5.773,-2.993
1759,3,0.874,2.922,-2.196
1759,4,-0.604,3.862,2.846
1759,5,-2.632,3.058,7.328
1759,6,0.823,3.436,15.853
1759,7,0.281,4.464,17.051
1759,8,1.237,1.692,17.087
1759,9,-1.097,2.566,10.103
1759,10,-1.933,5.591,3.867
1759,11,-2.692,6.092,-2.072
1759,12,-6.134,2.630,-9.754
1760,1,-7.271,2.113,-13.841
1760,2,1.146,6.669,-5.644
1760,3,-2.547,2.070,-5.617
1760,4,-2.586,2.098,0.864
1760,5,-0.421,2.208,9.539
1760,6,-0.374,1.381,14.656
1760,7,-0.123,1.518,16.647
1760,8,-1.124,4.953,14.726
1760,9,0.592,1.973,11.792
1760,10,-2.964,1.724,2.836
1760,11,-0.952,5.314,-0.332
1760,12,-2.454,3.344,-6.074
1761,1,0.074,1.881,-6.496
1761,2,0.354,2.887,-6.436
1761,3,3.078,1.578,0.008
1761,4,-0.171,2.804,3.279
1761,5,0.627,3.395,10.587
1761,6,2.027,2.973,17.057
1761,7,1.445,1.387,18.215
1761,8,1.565,1.991,17.415
1761,9,1.466,4.001,12.666
1761,10,-3.628,2.830,2.172
1761,11,-0.786,9.257,-0.166
1761,12,-5.148,1.988,-8.768
1762,1,3.772,6.245,-2.798
1762,2,2.540,2.945,-4.25
1762,3,-1.211,4.964,-4.281
1762,4,1.477,2.729,4.927
1762,5,-0.491,4.170,9.469
1762,6,0.948,4.333,15.978
1762,7,-0.856,3.951,15.914
1762,8,-1.625,3.141,14.225
1762,9,-2.197,1.373,9.003
1762,10,-5.358,6.578,0.442
1762,11,0.717,2.304,1.337
1762,12,-1.468,1.503,-5.088
1763,1,-1.799,7.209,-8.369
1763,2,-1.128,5.907,-7.918
1763,3,-3.516,1.668,-6.586
1763,4,-1.406,4.210,2.044
1763,5,-0.019,5.606,9.941
1763,6,-1.032,4.973,13.998
1763,7,2.243,2.455,19.013
1763,8,-0.112,4.436,15.738
1763,9,-1.583,5.558,9.617
1763,10,-2.770,2.209,3.03
1763,11,-1.570,3.709,-0.95
1763,12,-0.847,3.667,-4.467
1764,1,0.181,3.415,-6.389
1764,2,4.307,3.686,-2.483
1764,3,1.451,3.543,-1.619
1764,4,-0.054,6.594,3.396
1764,5,-0.378,2.179,9.582
1764,6,-2.606,5.328,12.424
1764,7,1.700,4.939,18.47
1764,8,-0.781,1.751,15.069
1764,9,-0.793,4.969,10.407
1764,10,-0.745,2.732,5.055
1764,11,-1.567,3.586,-0.947
1764,12,-0.615,2.868,-4.235
1765,1,1.154,9.385,-5.416
1765,2,-0.422,4.556,-7.212
1765,3,2.281,2.260,-0.789
1765,4,1.112,1.864,4.562
1765,5,-1.333,2.198,8.627
1765,6,-1.712,5.123,13.318
1765,7,-0.402,3.677,16.368
1765,8,-0.157,3.297,15.693
1765,9,-1.361,1.497,9.839
1765,10,-1.037,1.594,4.763
1765,11,0.508,3.131,1.128
1765,12,-0.846,2.174,-4.466
1766,1,-2.352,7.171,-8.922
1766,2,0.026,3.218,-6.764
1766,3,1.867,2.610,-1.203
1766,4,2.035,3.625,5.485
1766,5,0.459,3.827,10.419
1766,6,0.377,6.572,15.407
1766,7,0.909,3.396,17.679
1766,8,-0.409,3.543,15.441
1766,9,0.279,3.290,11.479
1766,10,-0.759,2.632,5.041
1766,11,1.586,3.806,2.206
1766,12,-1.921,4.341,-5.541
1767,1,-6.059,7.033,-12.629
1767,2,-0.175,8.076,-6.965
1767,3,1.568,7.137,-1.502
1767,4,-2.739,6.295,0.711
1767,5,-0.977,2.683,8.983
1767,6,-0.464,4.878,14.566
1767,7,-1.236,4.562,15.534
1767,8,1.672,2.806,17.522
1767,9,1.791,3.944,12.991
1767,10,-0.351,3.580,5.449
1767,11,2.912,9.289,3.532
1767,12,-1.525,4.357,-5.145
1768,1,-3.932,4.944,-10.502
1768,2,-2.743,5.514,-9.533
1768,3,-3.877,2.801,-6.947
1768,4,-0.849,2.533,2.601
1768,5,-1.898,1.933,8.062
1768,6,-0.483,1.987,14.547
1768,7,0.752,2.337,17.522
1768,8,-0.337,2.402,15.513
1768,9,-1.250,2.822,9.95
1768,10,-2.461,2.360,3.339
1768,11,-0.180,3.930,0.44
1768,12,3.051,6.027,-0.569
1769,1,3.196,3.756,-3.374
1769,2,0.943,4.577,-5.847
1769,3,1.308,5.001,-1.762
1769,4,0.076,5.259,3.526
1769,5,0.367,6.185,10.327
1769,6,0.702,2.341,15.732
1769,7,-0.336,2.931,16.434
1769,8,-0.368,2.964,15.482
1769,9,-0.418,1.420,10.782
1769,10,-4.542,3.092,1.258
1769,11,-3.281,1.904,-2.661
1769,12,-3.008,2.623,-6.628
1770,1,-0.045,4.215,-6.615
1770,2,1.280,2.846,-5.51
1770,3,-6.225,2.677,-9.295
1770,4,0.992,4.142,4.442
1770,5,-0.128,1.777,9.832
1770,6,-1.180,4.397,13.85
1770,7,-1.453,2.256,15.317
1770,8,-0.162,4.406,15.688
1770,9,1.168,2.799,12.368
1770,10,1.741,3.040,7.541
1770,11,-1.012,5.356,-0.392
1770,12,1.172,4.506,-2.448
1771,1,-0.940,2.739,-7.51
1771,2,-4.764,2.554,-11.554
1771,3,-5.538,2.051,-8.608
1771,4,-3.133,4.127,0.317
1771,5,-0.831,5.308,9.129
1771,6,1.982,2.326,17.012
1771,7,-0.135,1.869,16.635
1771,8,-1.186,3.098,14.664
1771,9,-0.166,2.058,11.034
1771,10,-0.038,1.840,5.762
1771,11,-1.963,2.350,-1.343
1771,12,0.965,3.431,-2.655
1772,1,-1.746,5.197,-8.316
1772,2,-5.169,7.795,-11.959
1772,3,-3.639,3.213,-6.709
1772,4,-0.775,3.351,2.675
1772,5,-2.672,1.510,7.288
1772,6,-1.364,5.402,13.666
1772,7,0.266,3.353,17.036
1772,8,0.283,4.602,16.133
1772,9,-0.299,3.372,10.901
1772,10,1.731,2.386,7.531
1772,11,3.439,5.697,4.059
1772,12,2.466,3.401,-1.154
1773,1,-1.788,2.030,-8.358
1773,2,0.571,3.731,-6.219
1773,3,0.702,2.734,-2.368
1773,4,2.565,2.491,6.015
1773,5,2.694,2.816,12.654
1773,6,-0.181,2.348,14.849
1773,7,1.383,2.795,18.153
1773,8,1.211,2.722,17.061
1773,9,1.164,2.376,12.364
1773,10,1.095,2.584,6.895
1773,11,-0.337,7.361,0.283
1773,12,1.344,4.373,-2.276
1774,1,-4.974,7.584,-11.544
