Year,Month,TA,UC,T
1750,1,2.975,3.097,-8.135
1750,2,2.847,3.905,-8.423
1750,3,1.467,4.184,-5.133
1750,4,1.324,3.155,0.774
1750,5,-0.940,2.951,5.4
1750,6,-0.391,2.958,12.199
1750,7,0.910,3.050,15.86
1750,8,1.428,2.985,14.718
1750,9,-0.877,3.395,7.023
1750,10,-4.028,2.966,-2.238
1750,11,-6.774,3.026,-10.544
1750,12,-3.987,3.152,-12.407
1751,1,-0.605,3.110,-11.715
1751,2,-3.696,3.270,-14.966
1751,3,1.335,3.144,-5.265
1751,4,0.450,2.948,-0.1
1751,5,-0.832,3.024,5.508
1751,6,-1.923,2.984,10.667
1751,7,0.658,3.184,15.608
1751,8,0.026,2.943,13.316
1751,9,-1.100,2.930,6.8
1751,10,-1.890,2.896,-0.1
1751,11,-2.082,2.682,-5.852
1751,12,-0.212,2.797,-8.632
1752,1,-2.659,2.934,-13.769
1752,2,2.096,2.825,-9.174
1752,3,1.609,2.635,-4.991
1752,4,0.397,2.877,-0.153
1752,5,0.114,2.760,6.454
1752,6,-0.748,2.455,11.842
1752,7,2.526,2.608,17.476
1752,8,1.235,2.718,14.525
1752,9,NaN,NaN,#VALUE!
1752,10,-0.590,2.770,1.2
1752,11,1.331,2.599,-2.439
1752,12,0.675,2.699,-7.745
1753,1,0.370,2.869,-10.74
1753,2,0.349,3.038,-10.921
1753,3,1.828,3.270,-4.772
1753,4,0.568,2.632,0.018
1753,5,-0.068,2.541,6.272
1753,6,-1.418,2.664,11.172
1753,7,-0.588,2.762,14.362
1753,8,-0.418,2.587,12.872
1753,9,-0.170,2.548,7.73
1753,10,0.770,2.691,2.56
1753,11,-0.245,2.594,-4.015
1753,12,-6.861,3.198,-15.281
1754,1,-0.244,2.804,-11.354
1754,2,-1.285,3.231,-12.555
1754,3,-0.960,2.654,-7.56
1754,4,2.449,2.619,1.899
1754,5,0.479,2.661,6.819
1754,6,0.259,2.565,12.849
1754,7,-0.528,2.786,14.422
1754,8,-1.719,2.593,11.571
1754,9,-1.295,2.558,6.605
1754,10,-0.358,2.740,1.432
1754,11,-0.763,3.182,-4.533
1754,12,0.379,2.736,-8.041
1755,1,-1.423,2.814,-12.533
1755,2,-2.330,3.141,-13.6
1755,3,-1.890,2.796,-8.49
1755,4,0.133,2.597,-0.417
1755,5,1.237,2.566,7.577
1755,6,0.858,2.777,13.448
1755,7,1.507,3.014,16.457
1755,8,-1.974,2.754,11.316
1755,9,-1.007,2.569,6.893
1755,10,1.024,2.487,2.814
1755,11,0.158,2.841,-3.612
1755,12,-1.686,2.752,-10.106
1756,1,2.311,2.827,-8.799
1756,2,5.482,3.040,-5.788
1756,3,0.300,3.446,-6.3
1756,4,0.132,3.836,-0.418
1756,5,-1.332,4.798,5.008
1756,6,0.338,2.655,12.928
1756,7,0.269,5.062,15.219
1756,8,-2.488,4.112,10.802
1756,9,-1.110,2.504,6.79
1756,10,-0.946,6.952,0.844
1756,11,-2.624,2.631,-6.394
1756,12,-2.707,2.852,-11.127
1757,1,-2.934,3.194,-14.044
1757,2,3.163,3.156,-8.107
1757,3,-0.274,3.742,-6.874
1757,4,1.936,2.745,1.386
1757,5,-0.035,2.643,6.305
1757,6,2.224,2.920,14.814
1757,7,3.600,2.828,18.55
1757,8,1.654,3.541,14.944
1757,9,1.341,4.707,9.241
1757,10,-4.588,4.290,-2.798
1757,11,-0.187,5.544,-3.957
1757,12,-3.639,5.067,-12.059
1758,1,-4.397,4.096,-15.507
1758,2,-1.394,4.130,-12.664
1758,3,-1.872,2.911,-8.472
1758,4,-1.037,3.721,-1.587
1758,5,-1.158,5.708,5.182
1758,6,-1.465,3.722,11.125
1758,7,-0.674,4.126,14.276
1758,8,-1.843,5.069,11.447
1758,9,-2.766,2.805,5.134
1758,10,-3.410,2.612,-1.62
1758,11,-0.789,2.740,-4.559
1758,12,-2.332,2.644,-10.752
1759,1,3.003,3.453,-8.107
1759,2,3.933,5.659,-7.337
1759,3,0.218,3.404,-6.382
1759,4,-0.917,3.959,-1.467
1759,5,-2.598,3.563,3.742
1759,6,0.449,3.748,13.039
1759,7,-0.652,4.527,14.298
1759,8,0.972,2.763,14.262
