Year,Month,TA,UC,T
1784,9,-2.258,2.799,-14.628
1784,10,-2.823,2.664,-23.863
1784,11,-3.149,3.309,-30.419
1784,12,0.832,3.154,-29.828
1785,1,-3.392,3.548,-34.322
1785,2,-3.967,3.855,-34.667
1785,3,-0.289,3.329,-30.009
1785,4,-1.902,2.635,-25.082
1785,5,-1.911,3.130,-14.541
1785,6,0.082,3.489,-5.648
1785,7,0.647,3.711,-2.213
1785,8,0.428,2.963,-4.492
1785,9,-1.419,2.722,-13.789
1785,10,-1.233,2.985,-22.273
1785,11,-1.412,2.938,-28.682
1785,12,-1.377,2.675,-32.037
1786,1,-2.187,3.595,-33.117
1786,2,-1.127,2.772,-31.827
1786,3,0.561,3.252,-29.159
1786,4,2.016,3.905,-21.164
1786,5,0.379,3.411,-12.251
1786,6,0.266,2.840,-5.464
1786,7,1.343,3.663,-1.517
1786,8,0.558,5.149,-4.362
1786,9,-0.113,4.180,-12.483
1786,10,-0.862,2.885,-21.902
1786,11,2.248,7.928,-25.022
1786,12,-1.293,2.856,-31.953
1787,1,-1.156,4.306,-32.086
1787,2,-1.989,4.688,-32.689
1787,3,-1.313,4.851,-31.033
1787,4,0.195,3.183,-22.985
1787,5,-0.327,2.678,-12.957
1787,6,1.977,3.097,-3.753
1787,7,NaN,NaN,#VALUE!
1787,8,NaN,NaN,#VALUE!
1787,9,NaN,NaN,#VALUE!
1787,10,NaN,NaN,#VALUE!
1787,11,NaN,NaN,#VALUE!
1787,12,NaN,NaN,#VALUE!
1788,1,NaN,NaN,#VALUE!
1788,2,NaN,NaN,#VALUE!
1788,3,NaN,NaN,#VALUE!
1788,4,NaN,NaN,#VALUE!
1788,5,NaN,NaN,#VALUE!
1788,6,NaN,NaN,#VALUE!
1788,7,NaN,NaN,#VALUE!
1788,8,NaN,NaN,#VALUE!
1788,9,NaN,NaN,#VALUE!
1788,10,NaN,NaN,#VALUE!
1788,11,0.304,3.188,-26.966
1788,12,0.947,4.573,-29.713
1789,1,1.399,4.858,-29.531
1789,2,-2.804,2.780,-33.504
1789,3,-0.603,3.638,-30.323
1789,4,0.192,2.919,-22.988
1789,5,-0.327,4.831,-12.957
1789,6,1.424,2.840,-4.306
1789,7,2.004,3.898,-0.856
1789,8,-0.263,2.574,-5.183
1789,9,0.359,2.766,-12.011
1789,10,-1.113,2.810,-22.153
1789,11,0.791,3.023,-26.479
1789,12,-0.946,3.041,-31.606
1790,1,-1.185,3.329,-32.115
1790,2,-1.524,3.456,-32.224
1790,3,-0.958,2.915,-30.678
1790,4,-1.093,2.676,-24.273
1790,5,-0.936,2.768,-13.566
1790,6,0.164,2.806,-5.566
1790,7,0.279,3.732,-2.581
1790,8,0.596,3.012,-4.324
1790,9,-0.736,2.888,-13.106
1790,10,-0.700,2.829,-21.74
1790,11,-0.679,2.861,-27.949
1790,12,-1.948,2.711,-32.608
1791,1,-4.911,5.444,-35.841
1791,2,-1.641,3.062,-32.341
1791,3,-1.655,3.533,-31.375
1791,4,1.462,2.962,-21.718
1791,5,-2.309,2.757,-14.939
1791,6,-0.008,3.097,-5.738
1791,7,0.396,2.751,-2.464
1791,8,-0.429,2.524,-5.349
1791,9,0.739,2.706,-11.631
1791,10,-0.844,2.609,-21.884
1791,11,-0.506,2.849,-27.776
1791,12,-0.800,3.873,-31.46
1792,1,-2.600,3.323,-33.53
1792,2,-0.594,3.374,-31.294
1792,3,-1.250,2.729,-30.97
1792,4,0.343,2.924,-22.837
1792,5,-0.594,2.647,-13.224
1792,6,0.137,2.861,-5.593
1792,7,NaN,NaN,#VALUE!
1792,8,NaN,NaN,#VALUE!
1792,9,NaN,NaN,#VALUE!
1792,10,NaN,NaN,#VALUE!
1792,11,NaN,NaN,#VALUE!
1792,12,NaN,NaN,#VALUE!
