Year,Month,TA,UC,T
1807,8,-0.633,2.440,6.707
1807,9,-0.895,2.140,4.055
1807,10,-0.688,1.758,1.142
1807,11,-1.922,2.272,-3.012
1807,12,-0.052,1.935,-3.072
1808,1,-2.88,3.355,-6.38
1808,2,-1.389,2.245,-4.319
1808,3,-0.722,4.305,-3.112
1808,4,-1.495,2.056,-1.975
1808,5,-0.531,3.202,2.369
1808,6,0.124,1.857,6.104
1808,7,0.965,2.000,8.705
1808,8,NaN,NaN,#VALUE!
1808,9,NaN,NaN,#VALUE!
1808,10,NaN,NaN,#VALUE!
1808,11,-1.657,1.928,-2.747
1808,12,-0.589,2.116,-3.609
1809,1,-1.437,3.097,-4.937
1809,2,-1.489,3.589,-4.419
1809,3,0.157,2.373,-2.233
1809,4,-1.008,3.505,-1.488
1809,5,-0.266,2.722,2.634
1809,6,-0.735,2.179,5.245
1809,7,-0.638,3.276,7.102
1809,8,-0.27,2.550,7.07
1809,9,-0.81,2.372,4.14
1809,10,-0.7,4.949,1.13
1809,11,-1.444,3.562,-2.534
1809,12,-1.565,2.372,-4.585
1810,1,-1.174,3.047,-4.674
1810,2,-1.503,4.159,-4.433
1810,3,-1.433,2.871,-3.823
1810,4,-1.011,2.531,-1.491
1810,5,-2.331,2.718,0.569
1810,6,-0.298,2.874,5.682
1810,7,-0.507,3.064,7.233
1810,8,-1.058,2.793,6.282
1810,9,-1.271,2.676,3.679
1810,10,-1.572,2.839,0.258
1810,11,-1.731,3.454,-2.821
1810,12,-1.554,3.863,-4.574
1811,1,-2.452,2.026,-5.952
1811,2,-3.347,2.648,-6.277
1811,3,-2.203,2.223,-4.593
1811,4,-2.231,1.769,-2.711
1811,5,-0.82,2.386,2.08
1811,6,-1.09,2.623,4.89
1811,7,-0.741,3.559,6.999
1811,8,-0.878,4.000,6.462
1811,9,-1.119,4.208,3.831
1811,10,-0.441,4.345,1.389
1811,11,-2.308,2.381,-3.398
1811,12,-1.66,3.862,-4.68
1812,1,0.24,6.601,-3.26
1812,2,-1.868,4.489,-4.798
1812,3,-3.163,2.258,-5.553
1812,4,-1.543,4.281,-2.023
