Year,Month,TA,UC,T
1832,1,-2.155,3.408,-15.615
1832,2,-0.379,2.788,-12.669
1832,3,-0.913,2.848,-5.423
1832,4,-2.309,2.929,5.341
1832,5,-0.119,2.678,15.681
1832,6,-0.603,2.663,20.297
1832,7,1.254,2.997,24.424
1832,8,-0.855,2.754,19.965
1832,9,-0.648,2.643,14.212
1832,10,-0.425,2.905,5.205
1832,11,-3.220,3.032,-6.16
1832,12,-4.257,3.269,-13.747
1833,1,-0.800,3.108,-14.26
1833,2,-0.067,2.840,-12.357
1833,3,-1.208,2.934,-5.718
1833,4,-1.926,2.683,5.724
1833,5,-1.986,2.611,13.814
1833,6,0.326,2.757,21.226
1833,7,-0.010,2.901,23.16
1833,8,-0.135,2.634,20.685
1833,9,-1.878,2.934,12.982
1833,10,-1.120,2.697,4.51
1833,11,2.216,3.063,-0.724
1833,12,-0.519,3.627,-10.009
1834,1,-3.258,3.193,-16.718
1834,2,-1.586,2.848,-13.876
1834,3,2.045,2.628,-2.465
1834,4,-2.603,2.859,5.047
1834,5,-0.949,2.646,14.851
1834,6,-0.682,2.687,20.218
1834,7,-0.867,2.799,22.303
1834,8,-0.281,2.662,20.539
1834,9,-0.509,2.629,14.351
1834,10,0.458,2.659,6.088
1834,11,1.829,2.638,-1.111
1834,12,0.331,2.664,-9.159
1835,1,0.813,3.533,-12.647
1835,2,1.631,3.341,-10.659
1835,3,-0.053,3.087,-4.563
1835,4,-0.909,2.959,6.741
1835,5,-1.647,2.904,14.153
1835,6,-2.482,2.993,18.418
1835,7,-1.511,3.090,21.659
1835,8,-1.611,2.690,19.209
1835,9,-2.549,2.741,12.311
1835,10,-0.941,2.983,4.689
1835,11,-2.031,2.849,-4.971
1835,12,-2.573,3.404,-12.063
1836,1,0.974,3.093,-12.486
1836,2,-0.181,2.884,-12.471
1836,3,2.169,2.908,-2.341
1836,4,-1.642,3.012,6.008
1836,5,-1.707,2.797,14.093
1836,6,-0.640,3.282,20.26
1836,7,-1.567,2.932,21.603
1836,8,-1.589,3.750,19.231
1836,9,-1.531,2.914,13.329
1836,10,-0.384,2.942,5.246
1836,11,-2.226,3.078,-5.166
1836,12,-0.479,3.094,-9.969
1837,1,0.263,3.184,-13.197
1837,2,-1.011,3.436,-13.301
1837,3,0.099,2.693,-4.411
1837,4,-3.954,2.559,3.696
1837,5,-0.954,3.249,14.846
1837,6,-0.467,2.657,20.433
1837,7,-1.104,2.586,22.066
1837,8,-0.555,2.609,20.265
1837,9,-1.277,2.724,13.583
1837,10,-2.330,2.637,3.3
1837,11,-1.776,3.178,-4.716
1837,12,-2.654,3.208,-12.144
1838,1,-5.649,3.416,-19.109
1838,2,-0.311,2.533,-12.601
1838,3,-3.875,3.327,-8.385
1838,4,-2.859,2.729,4.791
1838,5,-0.872,2.410,14.928
1838,6,-1.579,2.244,19.321
1838,7,-0.763,2.487,22.407
1838,8,-0.344,2.326,20.476
1838,9,-2.979,2.490,11.881
1838,10,-0.219,2.836,5.411
1838,11,0.392,3.476,-2.548
1838,12,-0.995,2.622,-10.485
1839,1,0.836,2.564,-12.624
1839,2,2.305,2.824,-9.985
1839,3,-3.844,2.630,-8.354
1839,4,-2.711,2.608,4.939
1839,5,-1.740,2.329,14.06
1839,6,-0.780,2.321,20.12
1839,7,0.502,2.516,23.672
1839,8,0.187,2.479,21.007
1839,9,-1.468,2.536,13.392
1839,10,-1.727,2.985,3.903
1839,11,-2.976,2.295,-5.916
1839,12,-7.446,2.548,-16.936
1840,1,0.142,2.431,-13.318
1840,2,-3.026,2.628,-15.316
1840,3,-2.134,3.015,-6.644
1840,4,-0.926,2.396,6.724
1840,5,-0.047,2.495,15.753
1840,6,0.680,2.276,21.58
1840,7,0.899,2.252,24.069
1840,8,0.570,2.619,21.39
1840,9,-2.199,2.263,12.661
1840,10,-2.506,2.245,3.124
1840,11,-2.567,2.768,-5.507
1840,12,-2.748,2.575,-12.238
1841,1,-2.295,3.098,-15.755
1841,2,-0.159,3.066,-12.449
1841,3,-3.230,2.285,-7.74
1841,4,-3.994,2.455,3.656
1841,5,-0.628,2.266,15.172
1841,6,-0.412,2.407,20.488
1841,7,0.556,2.318,23.726
1841,8,0.398,2.368,21.218
1841,9,-1.652,2.271,13.208
1841,10,0.800,2.263,6.43
1841,11,-2.165,2.449,-5.105
1841,12,-3.241,3.372,-12.731
1842,1,-0.337,3.068,-13.797
1842,2,2.636,2.328,-9.654
1842,3,1.028,2.424,-3.482
1842,4,-0.829,2.458,6.821
1842,5,-1.590,2.328,14.21
1842,6,-1.292,2.419,19.608
1842,7,-0.679,2.511,22.491
1842,8,-1.037,2.265,19.783
1842,9,-2.114,2.299,12.746
1842,10,-1.026,2.234,4.604
1842,11,-0.163,2.454,-3.103
1842,12,0.038,2.670,-9.452
1843,1,1.263,2.680,-12.197
1843,2,4.801,2.919,-7.489
1843,3,1.216,2.479,-3.294
1843,4,-1.167,2.475,6.483
1843,5,-0.653,2.506,15.147
1843,6,0.326,2.438,21.226
1843,7,-0.167,2.381,23.003
1843,8,-1.337,2.371,19.483
1843,9,0.120,2.470,14.98
1843,10,2.242,2.483,7.872
1843,11,-1.208,2.308,-4.148
1843,12,-0.389,2.690,-9.879
1844,1,1.936,2.435,-11.524
1844,2,0.295,2.348,-11.995
1844,3,0.863,2.359,-3.647
1844,4,-3.749,2.670,3.901
1844,5,-1.555,2.278,14.245
1844,6,0.400,2.217,21.3
1844,7,0.185,2.170,23.355
1844,8,-1.167,2.406,19.653
1844,9,-1.667,2.180,13.193
1844,10,-0.732,2.180,4.898
1844,11,-3.297,2.352,-6.237
1844,12,-4.573,2.401,-14.063
1845,1,0.015,2.729,-13.445
1845,2,-2.383,2.486,-14.673
1845,3,-0.255,2.315,-4.765
1845,4,-0.970,2.281,6.68
1845,5,-0.862,2.222,14.938
1845,6,-0.024,2.233,20.876
1845,7,-0.428,2.136,22.742
1845,8,-0.006,2.178,20.814
1845,9,-0.798,2.335,14.062
1845,10,-0.680,2.495,4.95
1845,11,-0.921,2.327,-3.861
1845,12,-3.959,2.752,-13.449
1846,1,-1.645,3.340,-15.105
1846,2,4.989,2.376,-7.301
1846,3,1.035,2.121,-3.475
1846,4,-3.969,2.918,3.681
1846,5,-0.288,2.163,15.512
1846,6,0.540,2.576,21.44
1846,7,-0.146,2.541,23.024
1846,8,-1.085,2.070,19.735
1846,9,-0.776,2.102,14.084
1846,10,-2.897,2.124,2.733
1846,11,-1.408,2.415,-4.348
1846,12,1.578,2.277,-7.912
1847,1,-1.476,2.861,-14.936
1847,2,3.320,2.191,-8.97
1847,3,-2.398,2.941,-6.908
1847,4,-0.417,2.408,7.233
1847,5,-0.949,2.343,14.851
1847,6,-1.409,2.316,19.491
1847,7,0.217,2.394,23.387
1847,8,-0.014,2.249,20.806
1847,9,-0.035,2.432,14.825
1847,10,-0.119,2.142,5.511
1847,11,0.458,2.435,-2.482
1847,12,-5.480,2.424,-14.97
1848,1,-6.426,2.627,-19.886
1848,2,-0.025,2.331,-12.315
1848,3,-1.185,1.988,-5.695
1848,4,-0.668,2.190,6.982
1848,5,-1.174,2.345,14.626
1848,6,-0.237,2.350,20.663
1848,7,1.095,2.182,24.265
1848,8,0.212,1.979,21.032
1848,9,-1.315,2.027,13.545
1848,10,-0.919,2.062,4.711
1848,11,-1.222,2.022,-4.162
1848,12,-3.581,2.479,-13.071
1849,1,1.510,2.851,-11.95
1849,2,0.907,2.350,-11.383
1849,3,1.568,2.478,-2.942
1849,4,-2.854,2.516,4.796
1849,5,-2.570,2.104,13.23
1849,6,-0.571,2.080,20.329
1849,7,0.973,2.029,24.143
1849,8,0.246,2.265,21.066
1849,9,-2.383,2.023,12.477
1849,10,0.713,2.137,6.343
1849,11,-1.444,2.005,-4.384
1849,12,-2.965,1.960,-12.455
1850,1,-6.163,2.757,-19.623
1850,2,1.133,3.006,-11.157
1850,3,1.555,2.951,-2.955
1850,4,-2.062,2.133,5.588
1850,5,-1.997,1.856,13.803
1850,6,-1.024,1.944,19.876
1850,7,0.210,1.914,23.38
1850,8,-0.112,1.883,20.708
1850,9,-0.495,1.902,14.365
1850,10,-3.368,2.182,2.262
1850,11,-0.405,2.723,-3.345
1850,12,0.447,2.615,-9.043
1851,1,-1.117,2.089,-14.577
1851,2,0.475,2.049,-11.815
1851,3,-2.089,2.072,-6.599
1851,4,-3.959,2.656,3.691
1851,5,0.134,2.284,15.934
1851,6,0.973,1.963,21.873
1851,7,-0.685,1.867,22.485
1851,8,0.329,1.786,21.149
1851,9,0.511,2.045,15.371
1851,10,-0.398,2.234,5.232
1851,11,-1.097,1.917,-4.037
1851,12,1.599,2.481,-7.891
1852,1,-0.781,2.266,-14.241
1852,2,-1.853,2.569,-14.143
1852,3,-1.515,2.155,-6.025
1852,4,-1.081,2.318,6.569
1852,5,0.852,1.948,16.652
1852,6,-1.213,1.971,19.687
1852,7,-0.508,1.886,22.662
1852,8,-0.242,1.965,20.578
1852,9,-0.381,1.813,14.479
1852,10,-0.014,1.845,5.616
1852,11,-2.732,2.308,-5.672
1852,12,0.857,2.458,-8.633
1853,1,-1.913,2.234,-15.373
1853,2,-2.160,3.235,-14.45
1853,3,-0.377,2.336,-4.887
1853,4,-3.355,2.572,4.295
1853,5,-0.076,1.903,15.724
1853,6,-0.927,1.917,19.973
1853,7,0.140,1.926,23.31
1853,8,1.781,1.957,22.601
1853,9,-0.817,1.972,14.043
1853,10,-0.368,1.901,5.262
1853,11,-3.155,1.932,-6.095
1853,12,-1.894,2.398,-11.384
1854,1,-3.384,2.603,-16.844
1854,2,1.286,2.470,-11.004
1854,3,-0.524,1.872,-5.034
1854,4,-2.640,2.377,5.01
1854,5,-0.158,2.057,15.642
1854,6,-1.381,1.896,19.519
1854,7,0.346,2.093,23.516
1854,8,0.393,1.982,21.213
1854,9,0.762,1.965,15.622
1854,10,1.424,2.141,7.054
1854,11,0.674,1.974,-2.266
1854,12,1.809,3.165,-7.681
1855,1,-0.037,2.755,-13.497
1855,2,4.265,2.796,-8.025
1855,3,0.310,2.045,-4.2
1855,4,0.956,2.756,8.606
1855,5,1.557,1.997,17.357
1855,6,-0.823,2.078,20.077
1855,7,-1.069,1.944,22.101
1855,8,0.880,1.937,21.7
1855,9,-1.453,1.913,13.407
