Year,Month,TA,UC,T
1848,1,-4.799,2.722,-16.849
1848,2,-0.674,2.144,-10.514
1848,3,-1.745,1.956,-5.045
1848,4,-1.161,2.085,3.259
1848,5,-0.886,2.106,8.354
1848,6,-0.616,2.244,12.514
1848,7,0.466,2.030,15.936
1848,8,-0.127,1.998,14.593
1848,9,-1.532,1.920,8.908
1848,10,-1.344,1.941,2.336
1848,11,-1.595,2.060,-5.385
1848,12,-2.263,2.364,-11.283
1849,1,0.914,2.898,-11.136
1849,2,-0.732,2.193,-10.572
1849,3,0.774,2.284,-2.526
1849,4,-1.755,2.654,2.665
1849,5,-1.717,2.118,7.523
1849,6,-0.800,1.985,12.33
1849,7,0.183,1.967,15.653
1849,8,-0.043,2.101,14.677
1849,9,-1.937,1.984,8.503
1849,10,-0.381,2.077,3.299
1849,11,-1.757,2.061,-5.547
1849,12,-2.593,1.960,-11.613
1850,1,-4.045,2.441,-16.095
1850,2,-0.217,2.779,-10.057
1850,3,0.974,2.764,-2.326
1850,4,-1.253,1.995,3.167
1850,5,-1.412,1.814,7.828
1850,6,-1.039,1.913,12.091
1850,7,0.254,1.873,15.724
1850,8,-0.241,1.841,14.479
1850,9,-0.478,1.876,9.962
1850,10,-2.770,2.185,0.91
1850,11,-0.890,2.088,-4.68
1850,12,0.234,2.060,-8.786
1851,1,-1.121,2.034,-13.171
1851,2,0.007,1.958,-9.833
1851,3,-1.511,2.133,-4.811
1851,4,-3.370,2.712,1.05
1851,5,-0.370,2.357,8.87
1851,6,0.339,2.014,13.469
1851,7,-0.237,1.825,15.233
1851,8,0.002,1.745,14.722
1851,9,-0.792,2.133,9.648
1851,10,-0.696,2.170,2.984
1851,11,-2.001,2.048,-5.791
1851,12,0.523,2.212,-8.497
1852,1,-0.616,2.109,-12.666
1852,2,-1.985,2.388,-11.825
1852,3,-1.986,1.998,-5.286
1852,4,-0.709,2.332,3.711
1852,5,0.597,1.983,9.837
1852,6,-0.997,1.987,12.133
1852,7,0.221,1.909,15.691
1852,8,-0.506,1.971,14.214
1852,9,-0.507,1.860,9.933
1852,10,-0.188,1.977,3.492
1852,11,-2.321,2.316,-6.111
1852,12,0.243,2.387,-8.777
1853,1,-2.461,2.245,-14.511
1853,2,-2.544,3.256,-12.384
1853,3,-0.635,2.188,-3.935
1853,4,-2.823,2.867,1.597
1853,5,-0.154,2.109,9.086
1853,6,-0.454,2.102,12.676
1853,7,0.140,1.973,15.61
1853,8,0.770,1.964,15.49
1853,9,-0.233,1.977,10.207
1853,10,-1.328,1.970,2.352
1853,11,-2.682,1.986,-6.472
1853,12,-1.248,2.390,-10.268
1854,1,-1.360,2.453,-13.41
1854,2,0.195,2.542,-9.645
1854,3,-0.412,1.923,-3.712
1854,4,-1.278,2.338,3.142
1854,5,NaN,NaN,#VALUE!
1854,6,NaN,NaN,#VALUE!
1854,7,NaN,NaN,#VALUE!
1854,8,NaN,NaN,#VALUE!
1854,9,NaN,NaN,#VALUE!
1854,10,NaN,NaN,#VALUE!
1854,11,NaN,NaN,#VALUE!
1854,12,NaN,NaN,#VALUE!
1855,1,NaN,NaN,#VALUE!
1855,2,NaN,NaN,#VALUE!
1855,3,NaN,NaN,#VALUE!
1855,4,NaN,NaN,#VALUE!
1855,5,NaN,NaN,#VALUE!
1855,6,NaN,NaN,#VALUE!
1855,7,NaN,NaN,#VALUE!
1855,8,NaN,NaN,#VALUE!
1855,9,NaN,NaN,#VALUE!
1855,10,NaN,NaN,#VALUE!
1855,11,NaN,NaN,#VALUE!
1855,12,NaN,NaN,#VALUE!
1856,1,NaN,NaN,#VALUE!
1856,2,NaN,NaN,#VALUE!
1856,3,NaN,NaN,#VALUE!
1856,4,NaN,NaN,#VALUE!
1856,5,NaN,NaN,#VALUE!
1856,6,NaN,NaN,#VALUE!
1856,7,NaN,NaN,#VALUE!
1856,8,NaN,NaN,#VALUE!
1856,9,NaN,NaN,#VALUE!
1856,10,NaN,NaN,#VALUE!
1856,11,NaN,NaN,#VALUE!
1856,12,NaN,NaN,#VALUE!
1857,1,NaN,NaN,#VALUE!
1857,2,NaN,NaN,#VALUE!
1857,3,NaN,NaN,#VALUE!
1857,4,NaN,NaN,#VALUE!
1857,5,NaN,NaN,#VALUE!
1857,6,NaN,NaN,#VALUE!
1857,7,NaN,NaN,#VALUE!
1857,8,NaN,NaN,#VALUE!
1857,9,NaN,NaN,#VALUE!
1857,10,NaN,NaN,#VALUE!
1857,11,NaN,NaN,#VALUE!
1857,12,NaN,NaN,#VALUE!
1858,1,NaN,NaN,#VALUE!
1858,2,NaN,NaN,#VALUE!
1858,3,NaN,NaN,#VALUE!
1858,4,NaN,NaN,#VALUE!
1858,5,NaN,NaN,#VALUE!
1858,6,NaN,NaN,#VALUE!
1858,7,NaN,NaN,#VALUE!
1858,8,NaN,NaN,#VALUE!
1858,9,NaN,NaN,#VALUE!
1858,10,NaN,NaN,#VALUE!
1858,11,NaN,NaN,#VALUE!
1858,12,NaN,NaN,#VALUE!
1859,1,NaN,NaN,#VALUE!
1859,2,NaN,NaN,#VALUE!
1859,3,NaN,NaN,#VALUE!
1859,4,NaN,NaN,#VALUE!
1859,5,NaN,NaN,#VALUE!
1859,6,NaN,NaN,#VALUE!
1859,7,NaN,NaN,#VALUE!
1859,8,NaN,NaN,#VALUE!
1859,9,NaN,NaN,#VALUE!
1859,10,NaN,NaN,#VALUE!
1859,11,NaN,NaN,#VALUE!
1859,12,NaN,NaN,#VALUE!
1860,1,NaN,NaN,#VALUE!
1860,2,NaN,NaN,#VALUE!
1860,3,NaN,NaN,#VALUE!
1860,4,NaN,NaN,#VALUE!
1860,5,NaN,NaN,#VALUE!
1860,6,NaN,NaN,#VALUE!
1860,7,NaN,NaN,#VALUE!
1860,8,NaN,NaN,#VALUE!
1860,9,NaN,NaN,#VALUE!
1860,10,NaN,NaN,#VALUE!
1860,11,NaN,NaN,#VALUE!
1860,12,NaN,NaN,#VALUE!
1861,1,NaN,NaN,#VALUE!
1861,2,NaN,NaN,#VALUE!
1861,3,NaN,NaN,#VALUE!
1861,4,NaN,NaN,#VALUE!
1861,5,NaN,NaN,#VALUE!
1861,6,NaN,NaN,#VALUE!
1861,7,NaN,NaN,#VALUE!
1861,8,NaN,NaN,#VALUE!
1861,9,NaN,NaN,#VALUE!
1861,10,NaN,NaN,#VALUE!
1861,11,NaN,NaN,#VALUE!
1861,12,NaN,NaN,#VALUE!
1862,1,NaN,NaN,#VALUE!
1862,2,NaN,NaN,#VALUE!
1862,3,NaN,NaN,#VALUE!
1862,4,NaN,NaN,#VALUE!
1862,5,NaN,NaN,#VALUE!
1862,6,NaN,NaN,#VALUE!
1862,7,NaN,NaN,#VALUE!
1862,8,NaN,NaN,#VALUE!
1862,9,NaN,NaN,#VALUE!
1862,10,NaN,NaN,#VALUE!
1862,11,NaN,NaN,#VALUE!
1862,12,NaN,NaN,#VALUE!
1863,1,NaN,NaN,#VALUE!
1863,2,NaN,NaN,#VALUE!
1863,3,NaN,NaN,#VALUE!
1863,4,NaN,NaN,#VALUE!
1863,5,NaN,NaN,#VALUE!
1863,6,NaN,NaN,#VALUE!
1863,7,NaN,NaN,#VALUE!
1863,8,NaN,NaN,#VALUE!
1863,9,NaN,NaN,#VALUE!
1863,10,NaN,NaN,#VALUE!
1863,11,NaN,NaN,#VALUE!
1863,12,NaN,NaN,#VALUE!
1864,1,NaN,NaN,#VALUE!
1864,2,NaN,NaN,#VALUE!
1864,3,NaN,NaN,#VALUE!
1864,4,NaN,NaN,#VALUE!
1864,5,NaN,NaN,#VALUE!
1864,6,NaN,NaN,#VALUE!
1864,7,NaN,NaN,#VALUE!
1864,8,NaN,NaN,#VALUE!
1864,9,NaN,NaN,#VALUE!
1864,10,NaN,NaN,#VALUE!
1864,11,NaN,NaN,#VALUE!
1864,12,NaN,NaN,#VALUE!
1865,1,NaN,NaN,#VALUE!
1865,2,NaN,NaN,#VALUE!
1865,3,NaN,NaN,#VALUE!
1865,4,NaN,NaN,#VALUE!
1865,5,NaN,NaN,#VALUE!
1865,6,NaN,NaN,#VALUE!
1865,7,NaN,NaN,#VALUE!
1865,8,NaN,NaN,#VALUE!
1865,9,NaN,NaN,#VALUE!
1865,10,NaN,NaN,#VALUE!
1865,11,NaN,NaN,#VALUE!
1865,12,NaN,NaN,#VALUE!
1866,1,NaN,NaN,#VALUE!
1866,2,NaN,NaN,#VALUE!
1866,3,NaN,NaN,#VALUE!
1866,4,NaN,NaN,#VALUE!
1866,5,NaN,NaN,#VALUE!
1866,6,NaN,NaN,#VALUE!
1866,7,NaN,NaN,#VALUE!
1866,8,NaN,NaN,#VALUE!
1866,9,NaN,NaN,#VALUE!
1866,10,NaN,NaN,#VALUE!
1866,11,NaN,NaN,#VALUE!
1866,12,NaN,NaN,#VALUE!
1867,1,NaN,NaN,#VALUE!
1867,2,NaN,NaN,#VALUE!
1867,3,NaN,NaN,#VALUE!
1867,4,NaN,NaN,#VALUE!
1867,5,NaN,NaN,#VALUE!
1867,6,NaN,NaN,#VALUE!
1867,7,NaN,NaN,#VALUE!
1867,8,NaN,NaN,#VALUE!
1867,9,NaN,NaN,#VALUE!
1867,10,NaN,NaN,#VALUE!
1867,11,NaN,NaN,#VALUE!
1867,12,NaN,NaN,#VALUE!
1868,1,NaN,NaN,#VALUE!
1868,2,NaN,NaN,#VALUE!
1868,3,NaN,NaN,#VALUE!
1868,4,NaN,NaN,#VALUE!
1868,5,NaN,NaN,#VALUE!
1868,6,NaN,NaN,#VALUE!
1868,7,NaN,NaN,#VALUE!
1868,8,NaN,NaN,#VALUE!
1868,9,NaN,NaN,#VALUE!
1868,10,NaN,NaN,#VALUE!
1868,11,NaN,NaN,#VALUE!
1868,12,NaN,NaN,#VALUE!
1869,1,NaN,NaN,#VALUE!
1869,2,NaN,NaN,#VALUE!
1869,3,NaN,NaN,#VALUE!
1869,4,NaN,NaN,#VALUE!
1869,5,NaN,NaN,#VALUE!
1869,6,NaN,NaN,#VALUE!
1869,7,NaN,NaN,#VALUE!
1869,8,NaN,NaN,#VALUE!
1869,9,NaN,NaN,#VALUE!
1869,10,NaN,NaN,#VALUE!
1869,11,NaN,NaN,#VALUE!
1869,12,NaN,NaN,#VALUE!
1870,1,-2.687,2.398,-14.737
1870,2,-1.412,2.042,-11.252
1870,3,1.264,2.761,-2.036
1870,4,-0.113,2.313,4.307
1870,5,0.381,1.946,9.621
1870,6,1.569,2.328,14.699
1870,7,0.234,2.032,15.704
1870,8,0.389,1.972,15.109
1870,9,1.065,2.220,11.505
1870,10,-1.215,1.985,2.465
1870,11,-1.447,2.034,-5.237
1870,12,-3.191,2.497,-12.211
1871,1,-2.320,1.920,-14.37
1871,2,-2.060,2.007,-11.9
