Year,Month,TA,UC,T
1750,1,3.111,2.059,-3.319
1750,2,3.059,2.897,-2.981
1750,3,2.556,3.170,0.336
1750,4,1.372,1.975,5.912
1750,5,-0.976,1.844,10.044
1750,6,-0.069,1.850,15.651
1750,7,1.110,1.970,18.25
1750,8,1.355,1.884,17.535
1750,9,-0.548,2.256,10.992
1750,10,-3.968,1.831,2.102
1750,11,-6.771,1.960,-6.101
1750,12,-3.784,2.147,-7.514
1751,1,-0.591,2.078,-7.021
1751,2,-4.022,2.282,-10.062
1751,3,2.100,2.078,-0.12
1751,4,0.011,1.795,4.551
1751,5,-0.798,1.785,10.222
1751,6,-1.568,1.879,14.152
1751,7,0.792,1.976,17.932
1751,8,0.353,1.787,16.533
1751,9,-0.628,1.753,10.912
1751,10,-1.764,1.584,4.306
1751,11,-2.391,1.447,-1.721
1751,12,-0.360,1.856,-4.09
1752,1,-1.700,1.838,-8.13
1752,2,1.480,1.738,-4.56
1752,3,2.025,1.380,-0.195
1752,4,0.285,1.728,4.825
1752,5,-0.294,1.258,10.726
1752,6,-0.190,1.110,15.53
1752,7,2.513,1.341,19.653
1752,8,1.141,1.627,17.321
1752,9,NaN,NaN,#VALUE!
1752,10,-0.411,1.422,5.659
1752,11,0.954,1.364,1.624
1752,12,0.540,1.605,-3.19
1753,1,0.159,1.705,-6.271
1753,2,-0.072,2.076,-6.112
1753,3,2.460,1.999,0.24
1753,4,0.815,2.088,5.355
1753,5,-0.124,1.111,10.896
1753,6,-1.206,1.668,14.514
1753,7,-0.425,1.733,16.715
1753,8,-0.509,1.435,15.671
1753,9,0.143,1.258,11.683
1753,10,0.664,1.383,6.734
1753,11,-0.783,1.236,-0.113
1753,12,-6.426,2.259,-10.156
1754,1,-0.178,1.719,-6.608
1754,2,-1.423,2.122,-7.463
1754,3,-1.130,1.400,-3.35
1754,4,1.533,1.465,6.073
1754,5,0.703,1.483,11.723
1754,6,0.361,1.456,16.081
1754,7,-0.803,1.910,16.337
1754,8,-1.480,1.661,14.7
1754,9,-1.084,1.335,10.456
1754,10,-0.199,1.508,5.871
1754,11,-0.801,2.426,-0.131
1754,12,0.295,1.548,-3.435
1755,1,-2.044,1.876,-8.474
1755,2,-3.500,2.502,-9.54
1755,3,-1.130,1.826,-3.35
1755,4,0.784,1.573,5.324
1755,5,0.992,1.351,12.012
1755,6,1.421,1.756,17.141
1755,7,1.541,2.236,18.681
1755,8,-1.758,1.549,14.422
1755,9,-0.965,1.189,10.575
1755,10,0.312,1.140,6.382
1755,11,-0.341,1.825,0.329
1755,12,-1.034,1.730,-4.764
1756,1,2.676,1.732,-3.754
1756,2,4.752,2.598,-1.288
1756,3,1.134,2.869,-1.086
1756,4,-0.332,2.857,4.208
1756,5,-1.638,5.029,9.382
1756,6,1.071,1.591,16.791
1756,7,0.804,6.051,17.944
1756,8,-2.158,3.659,14.022
1756,9,-0.521,1.312,11.019
1756,10,-0.695,7.800,5.375
1756,11,-2.897,1.224,-2.227
1756,12,-2.556,1.754,-6.286
1757,1,-2.309,1.730,-8.739
