Year,Month,TA,UC,T
1750,1,-1.767,1.511,-6.097
1750,2,0.060,2.063,-3
1750,3,2.192,2.650,2.202
1750,4,0.458,1.168,3.918
1750,5,-1.055,1.232,7.005
1750,6,0.389,1.252,11.899
1750,7,0.519,1.437,13.809
1750,8,0.438,1.100,13.308
1750,9,-0.179,2.096,10.181
1750,10,-0.975,1.073,4.755
1750,11,-3.088,1.172,-2.408
1750,12,-2.042,1.473,-5.222
1751,1,-1.733,1.574,-6.063
1751,2,-2.959,1.423,-6.019
1751,3,0.959,1.170,0.969
1751,4,-1.657,1.100,1.803
1751,5,-0.829,1.248,7.231
1751,6,-0.306,1.313,11.204
1751,7,0.705,1.293,13.995
1751,8,1.126,0.991,13.996
1751,9,-0.437,0.944,9.923
1751,10,-1.128,1.234,4.602
1751,11,-3.101,1.354,-2.421
1751,12,-2.087,1.981,-5.267
1752,1,-0.732,1.568,-5.062
1752,2,0.872,1.414,-2.188
1752,3,-0.023,1.085,-0.013
1752,4,-0.969,1.225,2.491
1752,5,-0.821,1.155,7.239
1752,6,2.021,1.006,13.531
1752,7,0.271,1.198,13.561
1752,8,-0.891,1.478,11.979
1752,9,NaN,NaN,#VALUE!
1752,10,-0.410,1.156,5.32
1752,11,-0.280,1.305,0.4
1752,12,-0.929,1.733,-4.109
1753,1,-2.603,1.468,-6.933
1753,2,-0.843,1.960,-3.903
1753,3,0.875,1.161,0.885
1753,4,0.402,1.391,3.862
1753,5,0.327,0.613,8.387
1753,6,1.740,1.381,13.25
1753,7,0.643,1.193,13.933
1753,8,-0.900,1.096,11.97
1753,9,-0.375,0.789,9.985
1753,10,-0.326,0.887,5.404
1753,11,-1.753,0.997,-1.073
1753,12,-0.609,3.514,-3.789
1754,1,-1.269,1.798,-5.599
1754,2,-2.407,1.915,-5.467
1754,3,-3.832,0.550,-3.822
1754,4,-0.262,1.118,3.198
1754,5,1.081,0.861,9.141
1754,6,0.864,0.981,12.374
1754,7,-0.723,1.252,12.567
1754,8,0.545,1.078,13.415
1754,9,-0.615,1.248,9.745
1754,10,0.943,1.237,6.673
1754,11,0.933,2.204,1.613
1754,12,-0.229,1.259,-3.409
1755,1,-4.694,1.095,-9.024
1755,2,-4.227,1.609,-7.287
1755,3,-0.963,1.001,-0.953
1755,4,3.802,1.850,7.262
1755,5,0.030,0.861,8.09
1755,6,2.763,1.904,14.273
1755,7,0.111,2.735,13.401
1755,8,-1.238,1.140,11.632
1755,9,-1.464,0.881,8.896
1755,10,-0.635,0.530,5.095
1755,11,-1.174,2.766,-0.494
1755,12,0.318,1.146,-2.862
1756,1,0.927,2.133,-3.403
1756,2,1.058,5.055,-2.002
1756,3,0.183,3.157,0.193
1756,4,-0.956,2.441,2.504
1756,5,-0.171,5.565,7.889
1756,6,2.053,2.142,13.563
1756,7,0.197,8.421,13.487
1756,8,0.284,2.165,13.154
1756,9,0.243,1.082,10.603
1756,10,-0.905,9.838,4.825
1756,11,-2.691,0.635,-2.011
1756,12,-2.078,1.603,-5.258
1757,1,-2.612,1.555,-6.942
1757,2,-0.349,2.898,-3.409
1757,3,-0.799,4.202,-0.789
1757,4,0.890,1.716,4.35
1757,5,1.011,1.740,9.071
1757,6,1.764,1.632,13.274
1757,7,2.827,3.321,16.117
1757,8,1.154,4.662,14.024
1757,9,-1.645,6.862,8.715
1757,10,-3.883,6.885,1.847
1757,11,-0.837,9.166,-0.157
1757,12,-1.546,1.294,-4.726
1758,1,-3.906,7.303,-8.236
1758,2,-1.830,2.996,-4.89
1758,3,-0.143,1.352,-0.133
1758,4,-0.504,3.589,2.956
1758,5,0.833,6.126,8.893
1758,6,1.265,4.430,12.775
1758,7,-2.290,4.429,11
1758,8,-0.473,6.754,12.397
1758,9,-2.176,2.291,8.184
1758,10,-2.454,0.709,3.276
1758,11,-0.453,1.948,0.227
1758,12,0.402,1.224,-2.778
1759,1,1.408,1.709,-2.922
1759,2,1.369,6.821,-1.691
1759,3,0.149,4.382,0.159
1759,4,0.390,5.464,3.85
1759,5,-0.255,4.367,7.805
1759,6,0.549,4.676,12.059
1759,7,1.801,5.029,15.091
1759,8,-0.087,1.267,12.783
1759,9,-0.136,2.777,10.224
1759,10,0.384,6.563,6.114
1759,11,-3.796,7.439,-3.116
1759,12,-1.473,3.226,-4.653
1760,1,-1.157,6.376,-5.487
1760,2,-1.268,9.487,-4.328
1760,3,-1.709,3.225,-1.699
1760,4,1.963,1.019,5.423
1760,5,0.638,2.936,8.698
1760,6,1.023,1.435,12.533
1760,7,0.424,1.444,13.714
1760,8,-0.564,7.044,12.306
1760,9,-0.488,1.776,9.872
1760,10,-0.270,1.507,5.46
1760,11,-0.292,7.559,0.388
1760,12,1.292,3.988,-1.888
1761,1,-1.844,1.664,-6.174
1761,2,0.709,4.276,-2.351
1761,3,1.314,1.335,1.324
1761,4,-0.069,1.105,3.391
1761,5,1.625,2.345,9.685
1761,6,0.889,2.375,12.399
1761,7,0.735,0.897,14.025
1761,8,0.909,3.090,13.779
1761,9,0.868,3.300,11.228
1761,10,-2.355,2.798,3.375
1761,11,-1.083,9.971,-0.403
1761,12,-3.173,1.759,-6.353
1762,1,0.436,10.317,-3.894
1762,2,-0.989,2.858,-4.049
1762,3,-3.281,6.827,-3.271
1762,4,2.553,2.935,6.013
1762,5,1.560,4.886,9.62
1762,6,-0.097,3.245,11.413
1762,7,1.225,3.686,14.515
1762,8,-0.461,3.163,12.409
1762,9,-0.701,3.703,9.659
1762,10,-2.059,5.869,3.671
1762,11,-1.339,1.587,-0.659
1762,12,-4.070,2.938,-7.25
1763,1,-4.344,8.021,-8.674
1763,2,1.838,8.203,-1.222
1763,3,-1.521,3.963,-1.511
1763,4,-0.292,4.427,3.168
1763,5,-1.575,5.602,6.485
1763,6,-0.359,7.285,11.151
1763,7,0.298,1.610,13.588
1763,8,1.239,5.060,14.109
1763,9,-1.566,5.284,8.794
1763,10,-2.508,1.315,3.222
1763,11,-1.411,4.141,-0.731
1763,12,0.900,3.025,-2.28
1764,1,1.732,3.290,-2.598
1764,2,1.993,2.800,-1.067
1764,3,-2.121,2.769,-2.111
1764,4,-0.892,7.969,2.568
1764,5,1.999,1.488,10.059
1764,6,0.423,5.487,11.933
1764,7,0.507,5.371,13.797
1764,8,-1.589,1.076,11.281
1764,9,-2.061,5.554,8.299
1764,10,-2.325,3.009,3.405
1764,11,-1.170,4.369,-0.49
1764,12,0.355,3.916,-2.825
1765,1,2.646,10.972,-1.684
1765,2,-2.531,4.059,-5.591
1765,3,0.938,3.059,0.948
1765,4,0.436,1.548,3.896
1765,5,-0.609,1.530,7.451
1765,6,0.549,4.704,12.059
1765,7,-2.142,5.413,11.148
1765,8,-0.629,2.792,12.241
1765,9,-0.880,0.954,9.48
1765,10,-0.194,1.265,5.536
1765,11,-0.828,3.291,-0.148
1765,12,-2.112,1.955,-5.292
1766,1,-4.674,9.216,-9.004
1766,2,-2.464,3.026,-5.524
1766,3,-0.455,2.281,-0.445
1766,4,1.065,4.417,4.525
1766,5,0.721,3.470,8.781
1766,6,0.816,8.981,12.326
1766,7,-1.221,5.199,12.069
1766,8,0.003,3.748,12.873
1766,9,-0.507,2.939,9.853
1766,10,-0.996,3.080,4.734
1766,11,0.512,4.310,1.192
1766,12,-1.903,4.401,-5.083
1767,1,-6.947,7.430,-11.277
1767,2,1.901,9.796,-1.159
1767,3,-0.444,8.389,-0.434
1767,4,-1.649,7.307,1.811
1767,5,-1.193,2.361,6.867
1767,6,-1.040,4.650,10.47
1767,7,0.188,5.571,13.478
1767,8,-0.391,2.539,12.479
1767,9,-0.833,3.964,9.527
1767,10,-0.659,3.815,5.071
1767,11,0.984,11.321,1.664
1767,12,-2.909,5.266,-6.089
1768,1,-3.879,6.089,-8.209
1768,2,-1.859,7.614,-4.919
1768,3,-2.121,5.690,-2.111
1768,4,0.174,1.975,3.634
1768,5,0.285,3.039,8.345
1768,6,-1.017,2.173,10.493
1768,7,0.339,2.822,13.629
1768,8,0.289,2.112,13.159
1768,9,-1.769,3.362,8.591
1768,10,-1.159,2.571,4.571
1768,11,-0.347,6.022,0.333
1768,12,-1.566,9.558,-4.746
1769,1,0.941,8.490,-3.389
1769,2,-0.766,5.882,-3.826
1769,3,-1.241,6.014,-1.231
1769,4,0.217,5.656,3.677
1769,5,-0.146,6.424,7.914
1769,6,-0.374,2.877,11.136
1769,7,-0.504,2.258,12.786
1769,8,-0.759,4.438,12.111
1769,9,-0.433,0.730,9.927
1769,10,-4.620,2.954,1.11
1769,11,0.330,1.366,1.01
1769,12,-0.354,4.057,-3.534
1770,1,-1.684,7.366,-6.014
1770,2,-0.493,3.537,-3.553
1770,3,-2.342,2.174,-2.332
1770,4,-1.753,7.402,1.707
1770,5,-0.267,1.563,7.793
1770,6,-0.520,5.750,10.99
1770,7,-1.381,2.324,11.909
1770,8,-0.163,5.443,12.707
1770,9,0.869,2.372,11.229
1770,10,-0.870,3.554,4.86
1770,11,0.089,8.742,0.769
1770,12,0.117,5.583,-3.063
1771,1,-0.106,2.237,-4.436
1771,2,-2.064,1.919,-5.124
1771,3,-2.399,3.628,-2.389
1771,4,-3.062,4.727,0.398
1771,5,2.288,9.021,10.348
1771,6,-1.066,2.587,10.444
1771,7,-0.045,1.310,13.245
1771,8,-0.677,2.784,12.193
1771,9,-0.421,2.147,9.939
1771,10,-0.715,1.078,5.015
1771,11,-3.009,2.429,-2.329
1771,12,0.834,3.708,-2.346
1772,1,0.333,9.253,-3.997
1772,2,2.464,12.072,-0.596
1772,3,1.539,2.914,1.549
1772,4,-0.167,3.328,3.293
1772,5,-1.410,1.127,6.65
1772,6,1.710,7.156,13.22
1772,7,0.323,3.589,13.613
1772,8,0.095,4.854,12.965
1772,9,0.461,3.631,10.821
1772,10,0.855,2.039,6.585
1772,11,1.564,6.811,2.244
1772,12,0.745,4.089,-2.435
1773,1,1.345,2.291,-2.985
1773,2,-1.786,3.743,-4.846
1773,3,-1.284,2.509,-1.274
1773,4,-0.257,2.470,3.203
1773,5,0.492,2.537,8.552
1773,6,-0.785,2.343,10.725
1773,7,-1.658,2.322,11.632
1773,8,-0.882,2.323,11.988
1773,9,0.257,2.392,10.617
1773,10,0.771,2.415,6.501
1773,11,-0.289,7.957,0.391
1773,12,1.947,5.369,-1.233
1774,1,-0.450,7.537,-4.78
1774,2,0.186,7.891,-2.874
1774,3,1.186,2.942,1.196
1774,4,1.661,6.494,5.121
1774,5,0.406,1.897,8.466
1774,6,0.538,10.664,12.048
1774,7,-0.444,9.990,12.846
1774,8,1.214,2.732,14.084
1774,9,-1.212,2.103,9.148
1774,10,-1.764,6.831,3.966
1774,11,-3.720,5.261,-3.04
1774,12,-3.542,6.640,-6.722
1775,1,-0.629,7.174,-4.959
1775,2,2.447,1.712,-0.613
1775,3,0.776,1.134,0.786
1775,4,-0.634,3.895,2.826
1775,5,-1.029,6.826,7.031
1775,6,1.385,6.649,12.895
1775,7,0.535,3.642,13.825
1775,8,0.640,5.677,13.51
1775,9,0.531,5.138,10.891
1775,10,-0.120,2.408,5.61
1775,11,-0.594,2.568,0.086
1775,12,-1.383,2.556,-4.563
1776,1,-3.752,2.424,-8.082
1776,2,1.129,5.293,-1.931
1776,3,1.242,3.045,1.252
1776,4,0.438,3.506,3.898
1776,5,-1.747,5.582,6.313
1776,6,0.053,1.899,11.563
1776,7,0.110,4.821,13.4
1776,8,0.330,3.459,13.2
1776,9,-1.754,4.333,8.606
1776,10,-1.353,5.397,4.377
1776,11,-1.542,3.165,-0.862
1776,12,-2.107,3.898,-5.287
1777,1,-2.767,6.474,-7.097
1777,2,-1.802,3.243,-4.862
1777,3,1.887,2.142,1.897
1777,4,-1.266,4.248,2.194
1777,5,-0.249,2.739,7.811
1777,6,-0.404,4.048,11.106
1777,7,-1.208,2.951,12.082
1777,8,1.021,2.315,13.891
1777,9,-0.606,5.497,9.754
1777,10,0.179,4.943,5.909
1777,11,-0.220,4.005,0.46
1777,12,-3.511,2.788,-6.691
1778,1,-0.261,5.355,-4.591
1778,2,-1.309,3.881,-4.369
1778,3,0.364,3.113,0.374
1778,4,2.049,3.400,5.509
1778,5,1.882,2.416,9.942
1778,6,-0.336,8.336,11.174
1778,7,1.680,3.230,14.97
1778,8,1.046,5.759,13.916
1778,9,-2.148,2.117,8.212
1778,10,-1.610,5.205,4.12
1778,11,-0.193,6.009,0.487
1778,12,1.216,2.862,-1.964
1779,1,-5.004,9.647,-9.334
1779,2,0.769,11.931,-2.291
1779,3,0.755,3.485,0.765
1779,4,3.284,5.053,6.744
1779,5,2.553,2.768,10.613
1779,6,-1.418,5.428,10.092
1779,7,-0.075,1.984,13.215
1779,8,0.620,2.840,13.49
1779,9,1.048,2.364,11.408
1779,10,1.612,4.919,7.342
1779,11,-0.214,3.944,0.466
1779,12,2.563,5.331,-0.617
1780,1,-3.820,7.036,-8.15
1780,2,-3.398,7.432,-6.458
1780,3,2.664,3.032,2.674
1780,4,-1.307,1.687,2.153
1780,5,1.919,4.637,9.979
1780,6,1.328,7.360,12.838
1780,7,0.661,5.814,13.951
1780,8,1.342,7.302,14.212
1780,9,-0.028,4.275,10.332
1780,10,0.777,1.576,6.507
1780,11,-1.794,2.166,-1.114
1780,12,-2.577,3.640,-5.757
1781,1,-0.263,6.918,-4.593
1781,2,0.219,9.685,-2.841
1781,3,0.903,1.564,0.913
1781,4,2.662,4.433,6.122
1781,5,1.718,3.761,9.778
1781,6,1.017,1.719,12.527
1781,7,0.742,1.803,14.032
1781,8,1.734,1.817,14.604
1781,9,0.631,4.718,10.991
1781,10,-2.415,1.243,3.315
1781,11,-0.381,3.301,0.299
1781,12,1.030,6.484,-2.15
1782,1,0.893,3.606,-3.437
1782,2,-4.464,7.445,-7.524
1782,3,-1.163,7.043,-1.153
1782,4,-1.028,2.143,2.432
1782,5,-0.810,2.075,7.25
1782,6,2.105,2.009,13.615
1782,7,2.047,2.861,15.337
1782,8,-0.031,2.315,12.839
1782,9,-1.405,2.097,8.955
1782,10,-2.986,5.610,2.744
1782,11,-4.094,5.052,-3.414
1782,12,-1.404,4.723,-4.584
1783,1,2.533,3.584,-1.797
1783,2,1.599,2.775,-1.461
1783,3,-1.055,2.103,-1.045
1783,4,0.717,2.239,4.177
1783,5,1.073,5.353,9.133
1783,6,-0.088,5.900,11.422
1783,7,1.707,2.177,14.997
1783,8,-0.074,2.292,12.796
1783,9,0.044,5.412,10.404
1783,10,0.533,5.715,6.263
1783,11,-0.719,6.904,-0.039
1783,12,-2.160,2.305,-5.34
1784,1,-3.792,9.744,-8.122
1784,2,-3.918,8.913,-6.978
1784,3,-1.368,4.785,-1.358
1784,4,-2.978,2.655,0.482
1784,5,2.729,1.650,10.789
1784,6,0.614,3.316,12.124
1784,7,0.648,3.567,13.938
1784,8,-0.629,4.054,12.241
1784,9,1.677,5.366,12.037
1784,10,-4.239,1.439,1.491
1784,11,-0.965,6.071,-0.285
1784,12,-3.063,3.308,-6.243
1785,1,-0.536,2.694,-4.866
1785,2,-3.667,7.056,-6.727
1785,3,-6.886,6.638,-6.876
1785,4,-3.753,4.976,-0.293
1785,5,-0.422,1.713,7.638
1785,6,-0.957,5.320,10.553
1785,7,-1.067,2.570,12.223
1785,8,-1.565,1.951,11.305
1785,9,1.576,1.250,11.936
1785,10,-1.238,6.744,4.492
1785,11,-0.333,1.259,0.347
1785,12,-0.434,2.134,-3.614
1786,1,0.218,2.476,-4.112
1786,2,-0.685,4.301,-3.745
1786,3,-2.049,4.889,-2.039
1786,4,1.398,2.620,4.858
1786,5,-0.649,3.216,7.411
1786,6,0.959,3.708,12.469
1786,7,-2.232,2.178,11.058
1786,8,-1.961,1.628,10.909
1786,9,-2.173,1.537,8.187
1786,10,-3.337,3.969,2.393
1786,11,-2.531,2.821,-1.851
1786,12,-0.707,3.427,-3.887
1787,1,-2.069,8.573,-6.399
1787,2,0.482,4.986,-2.578
1787,3,1.174,3.478,1.184
1787,4,-1.217,3.197,2.243
1787,5,-2.303,1.449,5.757
