Year,Month,TA,UC,T
1750,1,2.606,1.997,-3.124
1750,2,2.855,2.793,-2.425
1750,3,2.744,3.065,1.364
1750,4,1.189,1.873,6.659
1750,5,-1.006,1.764,10.604
1750,6,-0.076,1.786,15.774
1750,7,1.041,1.937,18.201
1750,8,1.169,1.830,17.589
1750,9,-0.491,2.148,11.569
1750,10,-3.593,1.738,3.147
1750,11,-6.385,1.869,-4.815
1750,12,-3.500,2.056,-6.36
1751,1,-0.733,2.020,-6.463
1751,2,-3.762,2.199,-9.042
1751,3,2.155,1.976,0.775
1751,4,-0.395,1.712,5.075
1751,5,-0.770,1.697,10.84
1751,6,-1.383,1.802,14.467
1751,7,0.817,1.903,17.977
1751,8,0.469,1.694,16.889
1751,9,-0.539,1.673,11.521
1751,10,-1.707,1.546,5.033
1751,11,-2.550,1.485,-0.98
1751,12,-0.641,1.923,-3.501
1752,1,-1.450,1.832,-7.18
1752,2,1.450,1.722,-3.83
1752,3,1.877,1.378,0.497
1752,4,-0.020,1.705,5.45
1752,5,-0.480,1.287,11.13
1752,6,0.095,1.167,15.945
1752,7,2.175,1.379,19.335
1752,8,0.766,1.660,17.186
1752,9,NaN,NaN,#VALUE!
1752,10,-0.377,1.429,6.363
1752,11,0.676,1.404,2.246
1752,12,0.257,1.663,-2.603
1753,1,-0.085,1.711,-5.815
1753,2,-0.162,2.053,-5.442
1753,3,2.444,1.909,1.064
1753,4,0.752,2.178,6.222
1753,5,-0.115,1.160,11.495
1753,6,-1.035,1.766,14.815
1753,7,-0.398,1.789,16.762
1753,8,-0.632,1.489,15.788
1753,9,-0.006,1.294,12.054
1753,10,0.494,1.417,7.234
1753,11,-1.092,1.272,0.478
1753,12,-5.805,2.240,-8.665
1754,1,-0.196,1.726,-5.926
1754,2,-1.370,2.054,-6.65
1754,3,-1.353,1.396,-2.733
1754,4,1.239,1.485,6.709
1754,5,0.807,1.459,12.417
1754,6,0.287,1.554,16.137
1754,7,-0.896,2.038,16.264
1754,8,-1.334,1.752,15.086
1754,9,-1.128,1.419,10.932
1754,10,-0.019,1.495,6.721
1754,11,-0.696,2.401,0.874
1754,12,0.181,1.549,-2.679
1755,1,-2.267,2.047,-7.997
1755,2,-3.681,2.695,-8.961
1755,3,-0.943,1.862,-2.323
1755,4,1.082,1.637,6.552
1755,5,0.792,1.437,12.402
1755,6,1.479,1.789,17.329
1755,7,1.331,2.310,18.491
1755,8,-1.662,1.532,14.758
1755,9,-1.114,1.211,10.946
1755,10,0.190,1.217,6.93
1755,11,-0.710,1.919,0.86
1755,12,-0.754,1.842,-3.614
1756,1,2.575,1.937,-3.155
1756,2,4.330,3.080,-0.95
1756,3,1.262,2.901,-0.118
1756,4,-0.453,2.815,5.017
1756,5,-1.453,5.243,10.157
1756,6,1.239,1.677,17.089
1756,7,0.833,6.563,17.993
1756,8,-1.831,3.459,14.589
1756,9,-0.343,1.450,11.717
1756,10,-0.571,8.093,6.169
1756,11,-2.900,1.307,-1.33
1756,12,-2.474,1.719,-5.334
1757,1,-2.041,1.685,-7.771
1757,2,2.565,2.989,-2.715
1757,3,0.579,3.785,-0.801
1757,4,2.194,1.962,7.664
1757,5,-0.159,1.872,11.451
1757,6,2.221,1.698,18.071
1757,7,3.894,2.015,21.054
1757,8,1.077,3.744,17.497
