Year,Month,TA,UC,T
1820,8,-2.201,2.209,13.719
1820,9,-0.840,2.453,8.43
1820,10,-2.241,2.435,-1.821
1820,11,-1.891,2.149,-12.371
1820,12,-2.461,2.235,-21.391
1821,1,1.410,2.587,-20.03
1821,2,3.280,3.309,-14.71
1821,3,1.080,2.571,-7.44
1821,4,0.049,2.271,1.549
1821,5,-0.261,2.187,9.519
1821,6,-2.271,2.535,13.579
1821,7,-0.948,2.626,16.742
1821,8,-0.648,2.297,15.272
1821,9,-2.275,2.241,6.995
1821,10,-1.807,2.175,-1.387
1821,11,-0.710,2.713,-11.19
1821,12,-1.081,2.303,-20.011
1822,1,-1.731,2.673,-23.171
1822,2,1.457,2.437,-16.533
1822,3,3.321,2.555,-5.199
1822,4,0.505,2.205,2.005
1822,5,-0.402,2.079,9.378
1822,6,-0.855,2.139,14.995
1822,7,-0.056,2.165,17.634
1822,8,-0.993,2.184,14.927
1822,9,-1.411,2.643,7.859
1822,10,-1.519,2.522,-1.099
1822,11,-1.752,2.389,-12.232
1822,12,-2.746,2.937,-21.676
1823,1,-1.790,2.256,-23.23
1823,2,-0.330,2.367,-18.32
1823,3,-0.690,2.737,-9.21
1823,4,-0.857,3.036,0.643
1823,5,-0.980,2.570,8.8
1823,6,-0.233,2.473,15.617
1823,7,0.359,2.215,18.049
1823,8,-1.399,2.224,14.521
1823,9,-1.834,2.558,7.436
1823,10,-2.307,2.553,-1.887
1823,11,-0.568,2.538,-11.048
1823,12,-1.927,2.383,-20.857
1824,1,-0.175,2.335,-21.615
1824,2,1.008,2.553,-16.982
1824,3,0.341,2.330,-8.179
1824,4,0.863,2.592,2.363
1824,5,0.564,2.455,10.344
1824,6,-0.408,2.940,15.442
1824,7,0.168,2.696,17.858
1824,8,-1.005,2.287,14.915
1824,9,-1.019,2.328,8.251
1824,10,-1.325,2.364,-0.905
1824,11,-0.050,2.609,-10.53
1824,12,2.077,3.108,-16.853
1825,1,1.038,3.294,-20.402
1825,2,-0.103,2.267,-18.093
1825,3,-0.741,2.205,-9.261
1825,4,0.367,2.312,1.867
1825,5,0.582,2.479,10.362
1825,6,0.543,2.563,16.393
1825,7,-1.381,2.333,16.309
1825,8,-1.750,2.222,14.17
1825,9,-1.341,2.206,7.929
1825,10,-1.306,2.433,-0.886
1825,11,0.706,3.330,-9.774
1825,12,-1.296,2.504,-20.226
1826,1,-1.380,2.470,-22.82
1826,2,-1.508,2.462,-19.498
1826,3,-1.033,2.471,-9.553
1826,4,0.064,2.695,1.564
1826,5,0.640,2.192,10.42
1826,6,0.462,2.552,16.312
1826,7,0.351,2.448,18.041
1826,8,-1.258,2.249,14.662
1826,9,-1.095,2.323,8.175
1826,10,-0.679,2.478,-0.259
1826,11,0.449,2.113,-10.031
1826,12,0.842,2.490,-18.088
1827,1,0.558,3.321,-20.882
1827,2,1.644,2.383,-16.346
1827,3,1.623,2.582,-6.897
1827,4,0.586,2.803,2.086
1827,5,0.676,2.695,10.456
1827,6,0.822,2.564,16.672
1827,7,0.941,2.333,18.631
1827,8,-0.789,2.164,15.131
1827,9,-0.758,2.312,8.512
1827,10,-0.745,2.392,-0.325
1827,11,0.327,2.197,-10.153
1827,12,-0.813,2.533,-19.743
1828,1,-3.135,2.573,-24.575
1828,2,-1.243,2.580,-19.233
1828,3,0.304,2.366,-8.216
1828,4,-0.135,2.885,1.365
1828,5,-0.901,2.822,8.879
1828,6,-0.577,2.374,15.273
1828,7,0.739,2.499,18.429
1828,8,-0.592,2.209,15.328
1828,9,-1.555,2.138,7.715
1828,10,-0.603,2.357,-0.183
1828,11,-0.053,2.323,-10.533
1828,12,-0.347,3.073,-19.277
1829,1,-0.991,2.524,-22.431
1829,2,-0.964,2.567,-18.954
1829,3,-0.301,2.312,-8.821
1829,4,-1.097,2.588,0.403
1829,5,-0.797,2.870,8.983
1829,6,-1.312,2.559,14.538
1829,7,0.124,2.512,17.814
1829,8,-1.235,2.567,14.685
1829,9,-1.678,2.393,7.592
1829,10,-0.725,2.395,-0.305
1829,11,0.178,3.009,-10.302
1829,12,-0.074,2.848,-19.004
1830,1,1.890,3.598,-19.55
1830,2,2.522,3.318,-15.468
1830,3,-0.952,2.417,-9.472
1830,4,-0.115,2.404,1.385
1830,5,-1.262,2.599,8.518
1830,6,-0.976,2.652,14.874
1830,7,1.273,2.636,18.963
1830,8,-1.562,2.842,14.358
1830,9,-1.511,2.306,7.759
1830,10,-2.450,2.439,-2.03
1830,11,1.066,2.786,-9.414
1830,12,0.713,2.863,-18.217
1831,1,-1.110,3.075,-22.55
1831,2,-3.768,5.338,-21.758
1831,3,-2.384,3.149,-10.904
1831,4,-0.953,2.412,0.547
1831,5,-0.593,2.958,9.187
1831,6,-0.025,3.096,15.825
1831,7,-0.358,2.433,17.332
1831,8,-1.765,2.581,14.155
1831,9,-2.046,2.510,7.224
1831,10,-2.405,2.451,-1.985
1831,11,-3.152,3.202,-13.632
1831,12,-1.591,3.437,-20.521
1832,1,-2.569,3.197,-24.009
1832,2,-1.212,3.127,-19.202
1832,3,-0.766,2.514,-9.286
1832,4,0.141,2.551,1.641
1832,5,-0.893,2.646,8.887
1832,6,-0.793,2.819,15.057
1832,7,-0.357,3.205,17.333
1832,8,-1.518,3.017,14.402
1832,9,-2.037,2.617,7.233
1832,10,NaN,NaN,#VALUE!
1832,11,-0.939,2.612,-11.419
1832,12,-3.861,3.366,-22.791
1833,1,-2.306,3.061,-23.746
1833,2,-0.945,2.859,-18.935
1833,3,-2.678,3.655,-11.198
1833,4,-1.523,2.551,-0.023
1833,5,0.180,2.383,9.96
1833,6,-1.736,2.851,14.114
1833,7,0.383,2.739,18.073
1833,8,-1.166,2.466,14.754
1833,9,-0.527,2.299,8.743
1833,10,-1.723,2.307,-1.303
1833,11,-0.445,3.445,-10.925
1833,12,-1.828,3.503,-20.758
1834,1,-4.615,3.719,-26.055
1834,2,-0.636,2.501,-18.626
