Year,Month,TA,UC,T
1819,7,-0.791,2.224,20.289
1819,8,NaN,NaN,#VALUE!
1819,9,0.220,2.185,16.19
1819,10,-0.939,2.319,8.221
1819,11,-1.964,2.266,-0.734
1819,12,-1.176,2.264,-7.906
1820,1,-3.301,3.038,-13.241
1820,2,-0.407,2.806,-7.617
1820,3,-0.347,2.305,-0.957
1820,4,0.688,2.328,7.548
1820,5,-0.104,1.931,13.186
1820,6,-0.073,1.951,17.267
1820,7,0.023,2.199,21.103
1820,8,-1.628,1.936,19.712
1820,9,-0.301,2.116,15.669
1820,10,-1.621,2.059,7.539
1820,11,-2.259,1.746,-1.029
1820,12,-2.510,2.035,-9.24
1821,1,0.244,1.818,-9.696
1821,2,0.851,2.190,-6.359
1821,3,0.177,2.306,-0.433
1821,4,0.084,1.918,6.944
1821,5,-0.239,2.282,13.051
1821,6,-0.753,2.321,16.587
1821,7,-0.598,2.408,20.482
1821,8,-0.671,1.927,20.669
1821,9,NaN,NaN,#VALUE!
1821,10,-2.040,2.104,7.12
1821,11,-1.993,2.428,-0.763
1821,12,-1.147,1.852,-7.877
1822,1,-1.118,2.343,-11.058
1822,2,0.355,2.120,-6.855
1822,3,2.198,2.036,1.588
1822,4,-0.839,2.097,6.021
1822,5,-1.388,1.627,11.902
1822,6,-0.142,1.664,17.198
1822,7,-0.611,1.696,20.469
1822,8,-0.890,1.755,20.45
1822,9,-0.552,2.119,15.418
1822,10,-1.664,2.007,7.496
1822,11,-2.425,2.085,-1.195
1822,12,-2.604,2.536,-9.334
1823,1,-1.118,1.650,-11.058
1823,2,-0.376,2.185,-7.586
1823,3,-0.799,2.260,-1.409
1823,4,-0.994,2.572,5.866
1823,5,-1.835,2.104,11.455
1823,6,0.211,1.952,17.551
1823,7,0.474,2.021,21.554
1823,8,-1.163,1.709,20.177
1823,9,-0.911,1.988,15.059
1823,10,-1.458,2.252,7.702
1823,11,NaN,NaN,#VALUE!
1823,12,NaN,NaN,#VALUE!
1824,1,NaN,NaN,#VALUE!
1824,2,NaN,NaN,#VALUE!
1824,3,NaN,NaN,#VALUE!
1824,4,NaN,NaN,#VALUE!
1824,5,NaN,NaN,#VALUE!
1824,6,NaN,NaN,#VALUE!
1824,7,NaN,NaN,#VALUE!
1824,8,NaN,NaN,#VALUE!
1824,9,NaN,NaN,#VALUE!
1824,10,NaN,NaN,#VALUE!
1824,11,NaN,NaN,#VALUE!
1824,12,NaN,NaN,#VALUE!
1825,1,0.222,1.939,-9.718
1825,2,-0.450,1.676,-7.66
1825,3,-0.584,2.084,-1.194
1825,4,-0.036,2.357,6.824
1825,5,-0.131,1.581,13.159
1825,6,0.004,1.648,17.344
1825,7,-1.368,1.822,19.712
1825,8,-2.366,2.099,18.974
1825,9,-1.024,1.967,14.946
1825,10,-0.223,2.300,8.937
1825,11,NaN,NaN,#VALUE!
1825,12,NaN,NaN,#VALUE!
1826,1,NaN,NaN,#VALUE!
1826,2,NaN,NaN,#VALUE!
1826,3,NaN,NaN,#VALUE!
