Year,Month ,TA,UC,T
1750,1,2.301,2.799,-6.939
1750,2,2.632,3.578,-6.528
1750,3,1.690,3.953,-4.79
1750,4,1.235,2.662,-1.335
1750,5,-0.974,2.244,2.486
1750,6,-0.371,2.293,8.059
1750,7,0.871,2.424,11.451
1750,8,0.944,2.325,10.654
1750,9,-0.422,2.870,5.168
1750,10,-3.798,2.326,-3.148
1750,11,-5.934,2.437,-10.184
1750,12,-3.337,2.692,-10.707
1751,1,-0.314,2.770,-9.554
1751,2,-3.289,2.822,-12.449
1751,3,1.155,2.649,-5.325
1751,4,-0.005,2.397,-2.575
1751,5,-1.219,2.355,2.241
1751,6,-1.452,2.307,6.978
1751,7,0.413,2.565,10.993
1751,8,-0.111,2.253,9.599
1751,9,-1.095,2.257,4.495
1751,10,-1.860,2.675,-1.21
1751,11,-1.998,2.516,-6.248
1751,12,-0.617,2.737,-7.987
1752,1,-1.751,2.830,-10.991
1752,2,1.705,2.682,-7.455
1752,3,1.034,2.464,-5.446
1752,4,-0.259,2.719,-2.829
1752,5,-0.657,2.514,2.803
1752,6,0.119,2.155,8.549
1752,7,1.849,2.324,12.429
1752,8,0.582,2.442,10.292
1752,9,NaN,NaN,#VALUE!
1752,10,-0.796,2.578,-0.146
1752,11,0.917,2.441,-3.333
1752,12,0.089,2.632,-7.281
1753,1,0.199,2.853,-9.041
1753,2,0.209,2.900,-8.951
1753,3,1.723,3.131,-4.757
1753,4,0.408,2.441,-2.162
1753,5,-0.463,2.210,2.997
1753,6,-0.893,2.444,7.537
1753,7,-0.502,2.530,10.078
1753,8,-0.563,2.292,9.147
1753,9,-0.412,2.243,5.178
1753,10,0.209,2.448,0.859
1753,11,-1.060,2.439,-5.31
1753,12,-5.679,3.217,-13.049
1754,1,0.177,2.774,-9.063
1754,2,-0.970,3.044,-10.13
1754,3,-1.587,2.471,-8.067
1754,4,1.863,2.367,-0.707
1754,5,0.669,2.286,4.129
1754,6,0.052,2.306,8.482
1754,7,-0.760,2.636,9.82
1754,8,-1.304,2.328,8.406
1754,9,-1.304,2.299,4.286
1754,10,-0.316,2.463,0.334
1754,11,-0.558,2.968,-4.808
1754,12,-0.008,2.648,-7.378
1755,1,-1.234,2.786,-10.474
1755,2,-2.361,3.006,-11.521
1755,3,-1.985,2.605,-8.465
1755,4,0.808,2.355,-1.762
1755,5,0.248,2.266,3.708
1755,6,0.849,2.461,9.279
1755,7,1.026,2.736,11.606
1755,8,-1.885,2.368,7.825
1755,9,-1.328,2.277,4.262
1755,10,0.387,2.227,1.037
1755,11,-0.809,2.677,-5.059
1755,12,-1.292,2.619,-8.662
1756,1,2.070,2.763,-7.17
1756,2,4.100,3.624,-5.06
1756,3,0.142,3.291,-6.338
1756,4,-0.477,3.698,-3.047
1756,5,-1.597,4.939,1.863
1756,6,0.489,2.308,8.919
1756,7,0.229,5.561,10.809
1756,8,-1.979,3.435,7.731
1756,9,-0.699,2.262,4.891
1756,10,-1.305,7.539,-0.655
1756,11,-2.933,2.433,-7.183
1756,12,-2.516,2.768,-9.886
1757,1,-2.334,3.206,-11.574
1757,2,2.059,3.857,-7.101
1757,3,-0.569,3.898,-7.049
1757,4,1.561,2.520,-1.009
1757,5,-0.500,2.312,2.96
1757,6,1.788,2.643,10.218
1757,7,3.028,3.082,13.608
1757,8,1.325,3.794,11.035
1757,9,0.792,5.087,6.382
1757,10,-4.141,5.518,-3.491
1757,11,-0.447,6.200,-4.697
1757,12,-2.449,3.409,-9.819
1758,1,-3.104,5.683,-12.344
1758,2,-1.334,4.354,-10.494
1758,3,-1.589,2.729,-8.069
1758,4,-1.259,3.384,-3.829
1758,5,-0.644,6.357,2.816
1758,6,-0.741,3.959,7.689
1758,7,-0.890,4.217,9.69
1758,8,-1.488,5.730,8.222
