Year,Month,TA,UC,T
1829,5,-0.358,2.123,3.462
1829,6,-1.137,2.111,10.493
1829,7,0.185,2.144,15.255
1829,8,-0.427,1.963,12.033
1829,9,-1.391,1.881,4.639
1829,10,-0.439,1.984,-5.069
1829,11,0.226,2.075,-16.134
1829,12,-1.130,2.414,-24.13
1830,1,0.833,2.167,-24.727
1830,2,1.945,2.416,-21.725
1830,3,-0.658,1.949,-16.408
1830,4,-0.317,2.084,-6.017
1830,5,-1.063,2.016,2.757
1830,6,-1.048,2.084,10.582
1830,7,-0.371,1.945,14.699
1830,8,-0.006,1.907,12.454
1830,9,-2.216,1.906,3.814
1830,10,-1.873,2.015,-6.503
1830,11,2.562,2.311,-13.798
1830,12,0.945,2.382,-22.055
1831,1,-0.375,3.357,-25.935
1831,2,0.566,3.154,-23.104
1831,3,-1.329,2.042,-17.079
1831,4,-1.007,1.998,-6.707
1831,5,-0.593,2.009,3.227
1831,6,-0.695,2.296,10.935
1831,7,-1.342,1.904,13.728
1831,8,-1.820,1.905,10.64
1831,9,-2.197,1.915,3.833
1831,10,-1.293,1.907,-5.923
1831,11,-1.756,2.219,-18.116
1831,12,-0.503,1.918,-23.503
1832,1,-0.785,2.130,-26.345
1832,2,1.241,2.366,-22.429
1832,3,0.109,1.889,-15.641
1832,4,-0.079,1.803,-5.779
1832,5,-0.878,1.993,2.942
1832,6,-1.543,2.187,10.087
1832,7,-1.472,1.818,13.598
1832,8,-2.056,2.052,10.404
1832,9,-2.170,1.779,3.86
1832,10,-0.080,1.937,-4.71
1832,11,-1.645,2.107,-18.005
1832,12,-3.987,2.667,-26.987
1833,1,-0.828,2.420,-26.388
1833,2,1.004,1.893,-22.666
1833,3,-1.410,2.084,-17.16
1833,4,-1.302,1.749,-7.002
1833,5,-1.004,1.763,2.816
1833,6,-0.633,1.723,10.997
1833,7,-1.262,1.696,13.808
1833,8,-0.611,1.786,11.849
1833,9,-1.328,1.791,4.702
1833,10,-1.117,1.945,-5.747
1833,11,2.966,1.936,-13.394
1833,12,-0.979,2.172,-23.979
1834,1,-3.053,1.996,-28.613
1834,2,0.162,2.079,-23.508
1834,3,1.639,1.756,-14.111
1834,4,-0.192,1.873,-5.892
1834,5,0.363,1.672,4.183
1834,6,-0.321,1.760,11.309
1834,7,-1.089,1.749,13.981
1834,8,0.018,1.733,12.478
1834,9,-0.498,1.665,5.532
1834,10,0.092,1.677,-4.538
1834,11,1.675,1.917,-14.685
1834,12,-0.338,1.960,-23.338
1835,1,1.279,2.310,-24.281
1835,2,2.686,2.112,-20.984
1835,3,0.026,1.926,-15.724
1835,4,0.172,1.695,-5.528
1835,5,-1.154,1.655,2.666
1835,6,-1.790,1.965,9.84
1835,7,-2.012,1.812,13.058
1835,8,-1.630,1.762,10.83
1835,9,-1.866,1.758,4.164
1835,10,-0.921,1.653,-5.551
1835,11,-2.193,2.385,-18.553
1835,12,-4.281,2.442,-27.281
1836,1,-0.358,2.050,-25.918
1836,2,0.718,2.091,-22.952
1836,3,2.090,1.794,-13.66
1836,4,-0.858,1.987,-6.558
1836,5,-1.556,1.863,2.264
1836,6,-1.129,1.790,10.501
1836,7,-1.206,1.790,13.864
1836,8,-1.705,2.004,10.755
1836,9,-1.002,1.935,5.028
1836,10,1.196,2.008,-3.434
1836,11,-1.360,1.940,-17.72
1836,12,-0.167,1.961,-23.167
1837,1,-0.229,2.329,-25.789
1837,2,1.490,2.693,-22.18
1837,3,-1.516,2.112,-17.266
1837,4,-2.597,1.695,-8.297
1837,5,-1.985,1.837,1.835
1837,6,-1.758,1.722,9.872
1837,7,-1.556,1.914,13.514
1837,8,-0.457,1.599,12.003
1837,9,-1.781,1.904,4.249
1837,10,-1.277,1.814,-5.907
1837,11,-1.116,2.456,-17.476
1837,12,-1.293,2.127,-24.293
1838,1,-4.748,2.107,-30.308
1838,2,-0.620,1.840,-24.29
1838,3,-1.921,1.863,-17.671
1838,4,0.001,1.753,-5.699
1838,5,-1.019,1.585,2.801
1838,6,-0.718,1.649,10.912
1838,7,-0.015,1.573,15.055
1838,8,0.785,1.604,13.245
1838,9,-0.901,1.650,5.129
1838,10,0.570,1.656,-4.06
1838,11,0.874,1.781,-15.486
1838,12,-0.376,1.846,-23.376
1839,1,0.942,1.970,-24.618
1839,2,1.379,2.012,-22.291
1839,3,-3.030,1.782,-18.78
1839,4,-1.280,1.581,-6.98
1839,5,0.056,1.642,3.876
1839,6,-0.659,1.511,10.971
1839,7,0.667,1.886,15.737
1839,8,1.021,1.561,13.481
1839,9,-0.675,2.024,5.355
1839,10,-0.751,1.823,-5.381
1839,11,-2.453,1.939,-18.813
1839,12,-5.087,1.657,-28.087
1840,1,0.999,1.867,-24.561
1840,2,-0.107,1.777,-23.777
1840,3,-2.251,2.425,-18.001
1840,4,0.035,1.402,-5.665
1840,5,0.520,1.776,4.34
1840,6,0.598,1.752,12.228
1840,7,0.319,1.427,15.389
1840,8,-0.751,1.709,11.709
1840,9,-1.460,1.434,4.57
1840,10,-2.580,1.468,-7.21
1840,11,-2.999,1.879,-19.359
1840,12,-2.728,1.691,-25.728
1841,1,-3.693,2.346,-29.253
1841,2,-0.642,1.903,-24.312
1841,3,-2.891,1.803,-18.641
1841,4,-1.598,1.954,-7.298
1841,5,-0.391,1.480,3.429
1841,6,0.120,1.744,11.75
1841,7,0.474,1.626,15.544
1841,8,0.699,1.498,13.159
1841,9,-1.614,1.496,4.416
1841,10,-0.126,1.561,-4.756
1841,11,-1.787,1.714,-18.147
1841,12,-1.248,1.678,-24.248
1842,1,-2.047,1.876,-27.607
1842,2,0.465,1.865,-23.205
1842,3,0.591,1.479,-15.159
1842,4,-1.105,1.594,-6.805
1842,5,-0.622,1.477,3.198
1842,6,-0.763,1.919,10.867
1842,7,-0.507,1.531,14.563
1842,8,-0.205,1.559,12.255
1842,9,-1.053,1.536,4.977
1842,10,-0.700,1.505,-5.33
1842,11,-0.019,1.604,-16.379
1842,12,0.138,1.677,-22.862
1843,1,0.944,1.790,-24.616
1843,2,4.047,1.646,-19.623
1843,3,1.163,1.787,-14.587
1843,4,-1.274,1.537,-6.974
1843,5,-1.341,1.474,2.479
1843,6,-0.694,1.332,10.936
1843,7,0.055,1.409,15.125
1843,8,-0.311,1.360,12.149
1843,9,-0.705,1.415,5.325
1843,10,1.031,1.500,-3.599
1843,11,0.264,1.429,-16.096
1843,12,1.273,1.699,-21.727
1844,1,0.510,1.502,-25.05
1844,2,-1.887,1.714,-25.557
1844,3,0.178,1.648,-15.572
1844,4,-1.358,1.899,-7.058
1844,5,-0.091,1.422,3.729
1844,6,0.106,1.389,11.736
1844,7,-0.498,1.353,14.572
1844,8,-0.202,1.333,12.258
1844,9,-0.723,1.443,5.307
1844,10,0.069,1.441,-4.561
1844,11,-1.604,1.980,-17.964
1844,12,-3.062,1.692,-26.062
1845,1,0.043,1.623,-25.517
1845,2,-2.047,2.004,-25.717
1845,3,-1.306,1.594,-17.056
1845,4,-0.462,1.577,-6.162
1845,5,-0.963,1.517,2.857
1845,6,-0.344,1.591,11.286
1845,7,0.006,1.508,15.076
1845,8,0.023,1.465,12.483
1845,9,-0.526,1.729,5.504
1845,10,-1.348,1.851,-5.978
1845,11,0.494,1.963,-15.866
1845,12,-1.640,1.713,-24.64
1846,1,0.182,2.493,-25.378
1846,2,1.063,1.961,-22.607
1846,3,2.084,1.590,-13.666
1846,4,-1.276,1.756,-6.976
1846,5,-0.583,1.575,3.237
1846,6,-0.135,1.827,11.495
1846,7,0.621,1.585,15.691
1846,8,0.425,1.479,12.885
1846,9,-0.628,1.726,5.402
1846,10,-0.586,1.701,-5.216
1846,11,-1.141,1.673,-17.501
1846,12,-1.107,1.786,-24.107
1847,1,0.224,1.868,-25.336
1847,2,1.119,1.696,-22.551
1847,3,-1.911,2.338,-17.661
1847,4,-1.107,1.679,-6.807
1847,5,-0.478,1.509,3.342
1847,6,-0.214,1.488,11.416
1847,7,-0.466,1.573,14.604
1847,8,0.236,1.521,12.696
1847,9,0.094,1.369,6.124
1847,10,-0.399,1.350,-5.029
1847,11,0.988,1.555,-15.372
1847,12,-2.237,1.643,-25.237
1848,1,-2.819,1.633,-28.379
1848,2,3.588,1.930,-20.082
1848,3,0.853,1.464,-14.897
1848,4,-0.137,1.528,-5.837
1848,5,-0.887,1.724,2.933
1848,6,0.116,1.584,11.746
1848,7,0.204,1.379,15.274
1848,8,-0.170,1.303,12.29
1848,9,-0.377,1.450,5.653
1848,10,-0.285,1.358,-4.915
1848,11,0.964,1.493,-15.396
1848,12,-1.730,1.803,-24.73
1849,1,-0.001,1.982,-25.561
1849,2,2.467,1.726,-21.203
1849,3,1.707,1.719,-14.043
1849,4,-1.287,1.644,-6.987
1849,5,-1.329,1.473,2.491
1849,6,0.098,1.591,11.728
1849,7,0.486,1.477,15.556
1849,8,0.300,1.534,12.76
1849,9,-1.542,1.456,4.488
1849,10,0.514,1.496,-4.116
1849,11,0.919,1.671,-15.441
1849,12,-2.668,1.828,-25.668
1850,1,-3.883,2.167,-29.443
1850,2,1.748,1.840,-21.922
1850,3,1.400,1.551,-14.35
1850,4,-1.021,1.541,-6.721
1850,5,-1.425,1.541,2.395
1850,6,-0.369,1.373,11.261
1850,7,0.132,1.423,15.202
1850,8,0.827,1.430,13.287
1850,9,-0.869,1.414,5.161
1850,10,-3.012,1.530,-7.642
1850,11,-2.788,2.293,-19.148
1850,12,-0.845,2.158,-23.845
1851,1,-0.010,1.671,-25.57
1851,2,0.224,1.585,-23.446
1851,3,-2.676,1.516,-18.426
1851,4,-2.293,1.629,-7.993
1851,5,0.682,1.505,4.502
1851,6,0.497,1.534,12.127
1851,7,0.649,1.461,15.719
1851,8,0.638,1.563,13.098
1851,9,-0.032,1.512,5.998
1851,10,0.270,1.752,-4.36
1851,11,-0.321,1.575,-16.681
1851,12,0.858,1.807,-22.142
1852,1,0.471,1.954,-25.089
1852,2,-0.711,1.775,-24.381
1852,3,-1.026,1.740,-16.776
1852,4,-1.346,1.663,-7.046
1852,5,0.467,1.589,4.287
1852,6,-0.688,1.529,10.942
1852,7,-0.543,1.491,14.527
1852,8,-1.037,1.540,11.423
1852,9,-0.481,1.500,5.549
1852,10,-0.828,1.544,-5.458
1852,11,-2.016,1.710,-18.376
1852,12,1.205,1.783,-21.795
1853,1,-1.000,1.839,-26.56
1853,2,-0.674,2.288,-24.344
1853,3,-2.209,1.716,-17.959
1853,4,-1.740,1.733,-7.44
1853,5,-0.038,1.610,3.782
1853,6,0.091,1.674,11.721
1853,7,0.605,1.497,15.675
1853,8,0.837,1.451,13.297
1853,9,-0.998,1.588,5.032
1853,10,-0.374,1.543,-5.004
1853,11,-1.711,1.900,-18.071
1853,12,-1.067,1.703,-24.067
1854,1,-3.003,2.220,-28.563
1854,2,-0.243,1.701,-23.913
1854,3,0.420,2.160,-15.33
1854,4,-0.340,2.226,-6.04
1854,5,0.495,1.555,4.315
1854,6,-1.232,1.508,10.398
1854,7,0.287,1.476,15.357
1854,8,0.831,1.537,13.291
1854,9,-0.426,1.583,5.604
1854,10,2.384,1.821,-2.246
1854,11,0.672,1.612,-15.688
1854,12,0.285,1.774,-22.715
1855,1,1.455,1.845,-24.105
1855,2,0.870,1.757,-22.8
1855,3,-0.394,1.859,-16.144
1855,4,1.519,2.272,-4.181
1855,5,0.706,1.809,4.526
1855,6,0.185,1.790,11.815
1855,7,-1.200,1.938,13.87
1855,8,0.322,1.951,12.782
1855,9,-1.055,1.960,4.975
1855,10,-0.163,2.139,-4.793
1855,11,-0.463,2.003,-16.823
1855,12,-2.964,2.454,-25.964
1856,1,1.599,2.045,-23.961
1856,2,-1.058,2.093,-24.728
1856,3,-1.176,1.927,-16.926
1856,4,-1.047,1.803,-6.747
1856,5,-0.852,1.715,2.968
1856,6,-0.085,2.020,11.545
1856,7,-0.217,1.800,14.853
1856,8,-0.433,1.700,12.027
1856,9,-1.587,1.905,4.443
1856,10,-1.451,1.958,-6.081
1856,11,0.111,1.865,-16.249
1856,12,0.497,2.028,-22.503
1857,1,0.075,2.017,-25.485
1857,2,-0.565,2.137,-24.235
1857,3,-0.714,1.866,-16.464
1857,4,-1.887,1.743,-7.587
1857,5,-1.967,1.697,1.853
1857,6,-1.068,1.688,10.562
1857,7,-0.683,1.690,14.387
1857,8,-0.124,1.684,12.336
1857,9,-1.573,1.835,4.457
1857,10,-1.342,1.741,-5.972
1857,11,-0.479,1.812,-16.839
1857,12,-0.367,1.861,-23.367
1858,1,0.702,2.119,-24.858
1858,2,0.552,2.039,-23.118
1858,3,-0.568,1.906,-16.318
1858,4,0.753,1.792,-4.947
1858,5,0.982,1.682,4.802
1858,6,-0.278,1.647,11.352
1858,7,-0.183,1.677,14.887
