Year,Month,Temperature Anomaly,UC,Temperature
1750,1,3.02,2.369,-5.87
1750,2,3.818,3.592,-4.752
1750,3,2.035,4.094,-2.245
1750,4,1.492,2.468,2.192
1750,5,-0.722,2.056,6.058
1750,6,-0.38,2.089,11.94
1750,7,1.065,2.261,15.255
1750,8,1.229,2.141,14.219
1750,9,-0.457,2.756,7.973
1750,10,-4.31,2.075,-1.3
1750,11,-6.468,2.137,-9.218
1750,12,-3.637,2.367,-10.277
1751,1,-0.452,2.348,-9.342
1751,2,-3.522,2.601,-12.092
1751,3,1.386,2.374,-2.894
1751,4,0.105,2.102,0.805
1751,5,-1.015,2.165,5.765
1751,6,-1.775,2.102,10.545
1751,7,0.371,2.429,14.561
1751,8,0.023,2.022,13.013
1751,9,-1.059,2.005,7.371
1751,10,-1.508,2.512,1.502
1751,11,-1.578,2.185,-4.328
1751,12,-0.307,2.420,-6.947
1752,1,-1.739,2.483,-10.629
1752,2,1.613,2.360,-6.957
1752,3,1.201,2.093,-3.079
1752,4,-0.032,2.638,0.668
1752,5,-0.568,2.325,6.212
1752,6,-0.077,1.846,12.243
1752,7,2.357,2.099,16.547
1752,8,1.215,2.277,14.205
1752,9,NaN,NaN,#VALUE!
1752,10,-0.504,2.382,2.506
1752,11,1.342,2.082,-1.408
1752,12,0.32,2.252,-6.32
1753,1,0.199,2.446,-8.691
1753,2,0.652,2.680,-7.918
1753,3,1.884,3.043,-2.396
1753,4,0.661,2.247,1.361
1753,5,-0.417,1.929,6.363
1753,6,-1.388,2.302,10.932
1753,7,-0.498,2.393,13.692
1753,8,-0.357,2.063,12.633
1753,9,-0.194,1.973,8.236
1753,10,0.547,2.203,3.557
1753,11,-0.863,2.063,-3.613
1753,12,-6.531,2.943,-13.171
1754,1,-0.054,2.366,-8.944
1754,2,-0.454,2.852,-9.024
1754,3,-1.86,2.103,-6.14
1754,4,1.238,2.040,1.938
1754,5,0.905,2.077,7.685
1754,6,-0.087,2.102,12.233
1754,7,-0.991,2.563,13.199
1754,8,-1.25,2.143,11.74
1754,9,-1.265,2.073,7.165
1754,10,-0.396,2.224,2.614
1754,11,-0.49,2.840,-3.24
1754,12,0.033,2.254,-6.607
1755,1,-1.891,2.396,-10.781
1755,2,-2.576,2.866,-11.146
1755,3,-2.152,2.337,-6.432
1755,4,0.824,2.042,1.524
1755,5,0.557,2.011,7.337
1755,6,0.759,2.292,13.079
1755,7,1.354,2.680,15.544
1755,8,-1.849,2.166,11.141
1755,9,-1.379,2.005,7.051
1755,10,0.01,1.896,3.02
1755,11,-0.577,2.401,-3.327
1755,12,-1.046,2.245,-7.686
1756,1,2.092,2.322,-6.798
1756,2,4.603,3.489,-3.967
1756,3,0.387,3.278,-3.893
1756,4,-0.979,3.906,-0.279
1756,5,-2.063,5.489,4.717
1756,6,0.461,2.063,12.781
1756,7,0.554,6.068,14.744
1756,8,-2.173,3.518,10.817
1756,9,-0.785,1.964,7.645
1756,10,-1.175,8.127,1.835
1756,11,-3.077,2.026,-5.827
1756,12,-2.279,2.444,-8.919
1757,1,-2.537,2.892,-11.427
1757,2,2.479,3.800,-6.091
1757,3,-0.572,4.048,-4.852
1757,4,1.974,2.329,2.674
1757,5,-0.541,2.106,6.239
1757,6,1.552,2.491,13.872
1757,7,3.381,3.021,17.571
1757,8,1.164,3.818,14.154
1757,9,0.532,5.535,8.962
1757,10,-4.389,5.848,-1.379
1757,11,0.159,6.722,-2.591
1757,12,-2.482,3.612,-9.122
1758,1,-3.174,5.913,-12.064
1758,2,-1.012,4.374,-9.582
1758,3,-1.72,2.472,-6
1758,4,-1.32,3.531,-0.62
1758,5,0.174,6.853,6.954
1758,6,-0.759,4.172,11.561
1758,7,-0.661,4.427,13.529
1758,8,-0.917,6.147,12.073
1758,9,-2.556,2.718,5.874
1758,10,-3.451,2.055,-0.441
1758,11,-0.378,2.254,-3.128
1758,12,-2.416,2.174,-9.056
1759,1,3.057,2.837,-5.833
1759,2,4.27,6.321,-4.3
1759,3,0.691,3.664,-3.589
1759,4,-0.23,4.397,0.47
1759,5,-2.117,4.035,4.663
1759,6,0.777,3.941,13.097
1759,7,0.567,5.014,14.757
1759,8,0.782,2.091,13.772
1759,9,-1.31,2.857,7.12
1759,10,-1.661,6.531,1.349
1759,11,-2.107,7.038,-4.857
1759,12,-5.092,3.499,-11.732
1760,1,-6.5,3.078,-15.39
1760,2,1.27,7.476,-7.3
1760,3,-2.159,3.029,-6.439
1760,4,-1.591,3.011,-0.891
1760,5,-0.258,2.854,6.522
1760,6,-0.149,2.028,12.171
1760,7,0.047,2.129,14.237
1760,8,-0.728,6.217,12.262
1760,9,0.672,2.563,9.102
1760,10,-2.876,2.116,0.134
1760,11,-1.137,6.369,-3.887
1760,12,-2.087,3.367,-8.727
1761,1,0.935,2.099,-7.955
1761,2,1.221,3.223,-7.349
1761,3,2.707,1.771,-1.573
1761,4,0.649,2.302,1.349
1761,5,0.816,2.797,7.596
1761,6,2.09,2.427,14.41
1761,7,0.566,1.744,14.756
1761,8,1.498,2.527,14.488
1761,9,1.158,3.675,9.588
1761,10,-3.539,3.153,-0.529
1761,11,-0.056,10.316,-2.806
1761,12,-3.126,2.210,-9.766
1762,1,2.688,8.420,-6.202
1762,2,0.966,2.624,-7.604
1762,3,-2.249,6.655,-6.529
1762,4,1.913,3.191,2.613
1762,5,-0.461,5.081,6.319
1762,6,0.211,4.173,12.531
1762,7,-1,4.750,13.19
1762,8,-2.105,3.616,10.885
1762,9,-1.33,2.662,7.1
1762,10,-5.671,6.857,-2.661
1762,11,0.068,2.119,-2.682
1762,12,0.328,2.200,-6.312
1763,1,-0.712,7.601,-9.602
1763,2,-0.109,7.758,-8.679
1763,3,-2.338,3.415,-6.618
1763,4,-1.8,4.719,-1.1
1763,5,-0.497,5.975,6.283
1763,6,0.01,6.616,12.33
1763,7,1.833,2.422,16.023
1763,8,-0.149,5.131,12.841
1763,9,-0.737,5.764,7.693
1763,10,-1.307,1.824,1.703
1763,11,-0.377,4.094,-3.127
1763,12,-1.867,3.675,-8.507
1764,1,0.436,3.011,-8.454
1764,2,3.753,3.493,-4.817
1764,3,1.102,3.305,-3.178
1764,4,-0.005,7.624,0.695
1764,5,-0.409,2.247,6.371
1764,6,-3.151,6.046,9.169
1764,7,1.832,5.412,16.022
1764,8,-1.062,1.935,11.928
1764,9,-1.5,5.283,6.93
1764,10,-1.143,3.098,1.867
1764,11,-1.395,3.867,-4.145
1764,12,-2.144,3.727,-8.784
1765,1,-1.09,10.287,-9.98
1765,2,-1.603,4.711,-10.173
1765,3,1.079,2.844,-3.201
1765,4,0.568,2.031,1.268
1765,5,-1.65,2.212,5.13
1765,6,-2.292,5.149,10.028
1765,7,-1.474,4.893,12.716
1765,8,-1.388,3.448,11.602
1765,9,-1.669,1.648,6.761
1765,10,-1.439,1.794,1.571
1765,11,0.559,3.607,-2.191
1765,12,-0.933,2.505,-7.573
1766,1,-0.187,8.361,-9.077
1766,2,0.349,3.320,-8.221
1766,3,0.87,2.689,-3.41
1766,4,2.832,4.290,3.532
1766,5,-0.88,4.048,5.9
1766,6,1.828,8.477,14.148
1766,7,3.15,3.537,17.34
1766,8,-0.148,3.964,12.842
