Year,Month,Temperature Anomaly,UC,Temperature
1848,1,-4.099,2.430,-13.889
1848,2,-1.009,2.115,-8.539
1848,3,-1.521,1.870,-3.541
1848,4,-0.969,1.975,3.561
1848,5,-0.668,1.994,8.392
1848,6,-0.777,2.176,12.793
1848,7,0.191,1.951,16.561
1848,8,-0.333,1.948,15.227
1848,9,-1.492,1.829,9.568
1848,10,-1.251,1.838,3.259
1848,11,-1.585,1.894,-3.705
1848,12,-2.224,2.168,-9.234
1849,1,0.470,2.740,-9.32
1849,2,-0.808,2.086,-8.338
1849,3,0.242,2.125,-1.778
1849,4,-1.651,2.483,2.879
1849,5,-1.244,1.951,7.816
1849,6,-0.965,1.910,12.605
1849,7,0.146,1.981,16.516
1849,8,-0.085,2.020,15.475
1849,9,-1.815,1.793,9.245
1849,10,-0.547,1.898,3.963
1849,11,-1.666,2.025,-3.786
1849,12,-2.411,1.930,-9.421
1850,1,-3.286,2.344,-13.076
1850,2,-0.396,2.678,-7.926
1850,3,0.521,2.517,-1.499
1850,4,-1.359,1.872,3.171
1850,5,-1.354,1.749,7.706
1850,6,-1.065,1.841,12.505
1850,7,0.344,1.823,16.714
1850,8,-0.360,1.802,15.2
1850,9,-0.524,1.835,10.536
1850,10,-2.294,1.875,2.216
1850,11,-0.751,1.968,-2.871
1850,12,-0.220,2.016,-7.23
1851,1,-1.175,1.960,-10.965
1851,2,-0.361,1.938,-7.891
1851,3,-1.247,2.075,-3.267
1851,4,-2.701,2.085,1.829
1851,5,0.074,1.959,9.134
1851,6,0.465,1.843,14.035
1851,7,-0.362,1.710,16.008
1851,8,-0.183,1.663,15.377
1851,9,-0.612,1.907,10.448
1851,10,-0.768,2.028,3.742
1851,11,-1.675,1.877,-3.795
1851,12,-0.016,2.026,-7.026
1852,1,-0.756,2.011,-10.546
1852,2,-1.833,2.131,-9.363
1852,3,-2.022,1.953,-4.042
1852,4,-0.912,2.264,3.618
1852,5,0.411,1.995,9.471
1852,6,-0.760,1.984,12.81
1852,7,0.059,1.897,16.429
1852,8,-0.378,1.953,15.182
1852,9,-0.549,1.860,10.511
1852,10,-0.190,1.926,4.32
1852,11,-2.086,2.231,-4.206
1852,12,-0.112,2.274,-7.122
1853,1,NaN,NaN,#VALUE!
1853,2,NaN,NaN,#VALUE!
1853,3,NaN,NaN,#VALUE!
1853,4,NaN,NaN,#VALUE!
1853,5,NaN,NaN,#VALUE!
1853,6,NaN,NaN,#VALUE!
1853,7,NaN,NaN,#VALUE!
