,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-3.868560000000001,-4.646,-2.523,-3.262,-3.8080000000000003,-4.333,-2.8689999999999998,-6.266,1.2590000000000001,-0.409,-4.648,-5.207000000000001,-2.627,-1.964,-2.455,0.079,-0.784,-2.022,-6.6129999999999995,0.318,-3.3939999999999997,-1.004
1,Feb,-2.3689399999999994,0.6859999999999999,-0.168,2.075,-5.093999999999999,-1.032,-4.963,-3.197,1.949,0.875,-2.2680000000000002,-2.477,-1.505,-5.912000000000001,-3.1,1.1640000000000001,-1.749,1.775,0.7929999999999999,-4.401,0.991,2.204
2,Mar,1.5734599999999992,2.7680000000000002,4.257,3.8510000000000004,3.195,1.053,0.6940000000000001,-0.163,3.8080000000000003,2.178,1.8019999999999998,1.983,3.46,5.04,0.161,5.361000000000001,3.1039999999999996,2.76,5.587000000000001,0.665,4.53,3.073
3,Apr,5.786749999999997,8.914,5.297000000000001,6.148,5.796,7.051,6.968,7.045,9.79,6.369,9.738999999999999,7.056,9.426,7.085,7.696000000000001,8.527999999999999,6.968999999999999,7.537999999999999,6.215,11.21,7.902,8.693999999999999
4,May,10.838600000000001,13.32,13.587,13.261,13.777000000000001,9.81,11.969000000000001,11.237,12.917,12.7,13.03,10.905,12.376,12.493,10.857999999999999,10.947000000000001,11.942,11.433,12.690999999999999,14.283,9.052999999999999,10.708
5,Jun,13.992660000000006,16.215,13.332,16.854,18.81,14.084000000000001,15.225,15.325,16.497,16.121,14.043,15.334000000000001,15.46,16.340999999999998,14.722999999999999,15.380999999999998,15.884,15.738,17.57,16.296,19.144000000000002,15.055
6,Jul,15.783099999999989,14.655,16.834,17.1,17.595,15.953,16.404,19.386,17.147000000000002,16.447,17.097,18.445,15.49,17.247,18.637999999999998,17.085,19.585,17.77,17.557000000000002,17.92,18.268,17.090999999999998
7,Aug,15.154230000000002,17.426,17.632,16.407,19.633,16.678,14.444,13.697000000000001,15.975,16.425,17.585,15.762,17.593,17.855,17.38,14.948,19.03,16.351,18.072,18.709,18.000999999999998,17.877
8,Sep,11.859459999999999,12.365,10.014,10.83,11.867,12.154000000000002,13.058,14.594000000000001,10.387,11.093,13.749,10.932,14.534,12.890999999999998,11.993,12.772,11.812000000000001,14.613,10.696,14.097999999999999,12.975999999999999,13.577
9,Oct,6.7396999999999965,9.195,10.422,6.853,4.338,8.821,8.237,9.644,6.454,8.112,6.7829999999999995,5.723,6.906000000000001,7.395,8.557,9.547,7.162999999999999,6.593999999999999,8.652000000000001,9.426,9.22,7.3420000000000005
10,Nov,1.4485799999999998,4.098,0.62,4.523,3.739,1.9409999999999998,0.9890000000000001,3.903,0.396,2.963,4.159,3.415,1.973,3.842,2.387,5.414,4.9110000000000005,2.2159999999999997,2.077,4.5489999999999995,3.7880000000000003,3.1510000000000002
11,Dec,-2.4806700000000013,-0.08,-5.085,-1.531,-1.795,-2.0380000000000003,-3.4530000000000003,0.0,-2.7689999999999997,-1.304,-2.221,-4.626,-0.28300000000000003,-2.309,-0.32299999999999995,-0.022000000000000002,1.162,-1.195,-1.59,-0.5760000000000001,0.253,-0.29600000000000004
