,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-6.357010000000002,-4.369,-2.218,-3.133,-5.679,-6.695,-1.382,-8.283,0.452,-2.638,-4.247,-11.555,-3.801,-4.847,-7.101,-6.851,-1.198,-7.444,-5.719,-2.759,-5.266,0.952
1,Feb,-5.589970000000001,-0.572,-4.013,1.591,-7.091,-3.961,-6.428,-8.338,-7.447,0.492,-3.366,-4.655,-8.087,-10.9,-1.857,-0.671,-1.093,1.118,-3.085,-6.147,0.328,1.641
2,Mar,-1.0244999999999997,1.259,0.226,3.375,-0.231,1.55,-3.622,-3.036,5.399,2.526,0.649,0.083,-0.388,1.238,-4.507,5.178,4.133,2.078,4.356,-2.551,3.442,3.811
3,Apr,6.291369999999998,11.109,9.481,8.086,5.191,6.978,7.993,7.251,6.611,9.113,8.375,8.359,8.357,8.432,6.919,8.522,7.2,8.692,6.422,10.565,8.44,6.707
4,May,12.850639999999993,13.266,12.689,14.994,15.723,11.287,13.398,12.637,15.069,12.126,12.763,15.332,13.8,14.869,16.646,14.683,12.704,14.738,12.609,16.725,14.226,10.996
5,Jun,5.993179999999999,5.739,5.057,6.768,5.167,4.798,5.311,6.492,7.947,6.002,6.205,8.259,8.324,5.804,8.802,5.285,6.528,7.901,6.029,7.197,10.454,9.38
6,Jul,17.951040000000003,17.2,22.28,21.603,20.092,18.039,19.313,20.02,18.076,18.402,18.821,22.748,20.392,20.629,18.52,20.472,18.183,19.805,17.635,19.949,17.342,18.36
7,Aug,16.874180000000003,17.206,18.293,19.206,17.066,18.511,17.485,17.877,19.552,18.429,16.521,20.955,17.846,17.551,18.007,18.454,19.662,18.327,18.843,19.611,17.806,18.757
8,Sep,12.128980000000004,10.514,12.375,12.18,12.209,12.708,14.244,14.025,12.82,12.051,14.194,12.175,13.558,13.452,11.554,12.778,14.382,13.699,13.75,15.249,12.957,14.914
9,Oct,6.18797,8.731,8.054,4.717,5.004,7.886,7.491,8.464,7.276,8.833,5.958,4.541,6.308,7.051,7.946,5.958,4.911,5.006,6.716,8.229,9.338,10.302
10,Nov,0.6233999999999998,4.167,1.041,1.669,2.923,0.817,1.516,2.944,-0.218,2.361,3.766,4.631,2.234,3.815,4.801,1.212,3.47,0.051,2.674,1.138,4.201,3.728
11,Dec,-3.8822099999999993,0.151,-8.485,-9.614,-1.066,-0.355,-2.66,2.401,-1.095,-0.956,-4.0,-6.961,1.178,-5.931,-0.143,-2.585,1.431,-1.838,0.483,-2.072,1.718,-1.205
