,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-23.23413999999999,-22.012,-18.382,-20.894,-20.159,-24.555,-23.191,-18.151,-19.059,-21.005,-21.845,-18.832,-20.341,-20.418,-21.519,-20.538,-21.412,-17.627,-17.802,-20.588,-21.814,-20.616
1,Feb,-21.16149,-17.727,-20.631,-20.122,-22.427,-18.49,-18.731,-17.86,-20.73,-21.656,-19.532,-15.05,-20.19,-16.429,-18.656,-21.957,-22.861,-18.352,-17.999,-21.376,-22.366,-19.598
2,Mar,-15.461359999999997,-11.434,-12.84,-17.71,-16.381,-15.463,-13.235,-12.15,-15.897,-16.626,-16.813,-9.767,-15.598,-13.394,-13.677,-17.462,-14.223,-12.754,-15.166,-13.407,-12.252,-15.227
3,Apr,-6.509779999999998,-6.378,-5.526,-8.412,-6.37,-6.536,-3.607,-3.488,-5.163,-5.92,-5.662,-1.286,-7.623,-5.213,-7.667,-7.231,-5.601,-6.472,-5.946,-7.964,-5.941,-6.885
4,May,2.43382,2.175,3.891,0.753,3.512,0.595,3.426,4.796,2.34,3.569,1.004,3.362,3.006,3.959,2.932,3.588,3.839,4.692,4.147,2.896,3.332,2.305
5,Jun,9.28041,8.859,9.7,9.931,9.576,9.01,10.184,11.337,9.981,10.198,9.496,10.039,9.925,11.261,10.795,10.535,10.63,10.736,10.199,9.763,9.958,10.139
6,Jul,12.925849999999993,13.736,13.82,13.422,13.873,13.208,13.039,13.996,14.559,13.662,13.056,14.258,14.119,14.753,13.245,13.993,13.574,14.054,13.635,14.032,13.588,14.548
7,Aug,11.38821,11.613,12.597,11.561,12.516,10.77,11.809,12.215,11.357,12.332,11.837,12.836,12.746,13.037,12.633,12.527,12.406,12.972,12.807,11.745,11.891,12.723
8,Sep,5.6080299999999985,5.406,7.405,6.75,6.953,5.725,6.346,7.267,5.514,5.933,7.879,6.322,7.735,8.0,7.267,5.894,7.045,7.111,7.495,4.253,7.035,6.511
9,Oct,-1.9698299999999989,-1.687,-1.81,-2.548,-0.044,-1.934,-0.284,-0.623,-0.616,-0.657,-2.752,0.283,0.006,-1.585,-0.04,-0.365,-1.206,-1.753,-0.791,-3.033,-0.567,-2.146
10,Nov,-11.580959999999997,-9.903,-9.441,-10.293,-10.805,-10.463,-9.39,-12.123,-11.518,-9.293,-8.164,-8.438,-10.201,-11.782,-11.936,-12.787,-9.165,-6.783,-12.102,-12.15,-10.391,-10.824
11,Dec,-19.46652,-20.672,-15.645,-14.572,-16.103,-20.905,-15.951,-14.495,-19.631,-21.772,-17.843,-16.061,-15.793,-18.865,-22.55,-16.989,-15.855,-18.852,-17.734,-16.168,-17.628,-15.285
