,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-8.243800000000002,-8.102,-7.62,-5.687,-6.979,-7.149,-7.42,-6.954,-6.467,-8.711,-6.709,-6.48,-10.282,-9.057,-7.793,-5.987,-5.724,-7.767,-5.92,-7.721,-6.523,-5.997
1,Feb,-5.1617099999999985,-5.492,-3.773,-1.64,-2.784,-2.622,-5.677,-3.102,-1.027,-6.022,-1.778,-3.816,-3.003,-5.12,-3.625,-4.614,-2.52,-3.768,-2.094,-4.183,-3.588,-2.233
2,Mar,1.1921799999999998,2.072,2.423,3.818,2.351,3.13,2.342,2.55,2.736,4.443,2.77,1.773,0.693,1.709,3.99,3.414,3.645,4.003,2.141,4.924,3.48,3.901
3,Apr,8.05541,8.777,8.578,9.258,9.0,10.242,9.572,8.867,9.27,9.578,10.276,7.289,9.472,9.777,8.702,9.845,9.389,10.301,9.874,10.123,10.623,9.16
4,May,13.586610000000007,15.132,14.596,14.015,13.899,14.127,14.092,14.471,15.385,14.882,14.505,14.314,14.263,15.058,14.985,14.218,14.746,14.291,15.066,15.034,14.198,15.246
5,Jun,17.632610000000003,18.43,18.522,18.665,18.047,18.064,19.073,18.433,18.754,18.455,18.435,18.662,18.744,18.59,18.773,18.381,18.192,18.757,18.352,18.931,18.542,18.824
6,Jul,19.73949,20.857,20.773,20.266,19.764,19.909,20.55,20.646,20.172,20.318,20.256,21.081,20.425,20.458,20.468,20.412,20.215,20.883,21.237,20.994,20.269,20.445
7,Aug,18.798820000000013,19.073,19.136,19.292,19.038,18.832,19.032,20.178,19.868,18.926,19.252,19.771,19.728,19.588,20.163,18.788,19.373,20.186,19.499,20.103,19.94,19.969
8,Sep,14.285970000000004,14.87,15.117,14.454,15.195,15.004,15.91,14.998,15.224,15.326,15.536,15.436,14.709,14.764,14.889,15.085,14.921,15.847,15.842,14.873,16.034,15.603
9,Oct,7.671210000000002,7.584,8.926,7.692,8.279,7.907,8.524,9.974,8.333,9.028,9.265,8.375,8.813,8.092,8.842,8.98,8.922,8.407,8.421,7.78,8.91,8.419
10,Nov,-0.050330000000000104,-0.597,1.751,0.491,0.763,1.331,1.765,2.023,1.433,1.155,-0.649,1.782,2.233,-0.06,1.156,1.36,1.685,0.622,0.993,1.43,1.786,1.737
11,Dec,-6.4322599999999985,-5.342,-6.528,-6.194,-5.355,-4.928,-6.885,-5.233,-4.353,-4.713,-5.929,-5.737,-5.914,-6.858,-5.452,-6.312,-4.911,-3.302,-4.786,-6.381,-5.333,-5.886
