,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-30.709730000000018,-28.613,-30.289,-28.4,-27.264,-29.885,-28.32,-29.966,-29.071,-32.045,-27.51,-27.735,-26.321,-28.366,-26.83,-24.653,-28.583,-27.211,-30.489,-29.313,-30.732,-30.838
1,Feb,-30.565920000000002,-29.556,-30.841,-33.307,-28.372,-28.858,-24.673,-28.785,-25.362,-29.677,-29.361,-26.34,-26.13,-29.846,-29.193,-27.318,-33.015,-28.206,-27.756,-27.18,-29.847,-31.978
2,Mar,-28.609270000000002,-28.784,-29.56,-29.208,-25.754,-28.395,-22.986,-25.971,-27.218,-28.22,-29.877,-26.906,-28.497,-29.252,-25.284,-26.956,-27.974,-24.886,-28.975,-27.811,-29.861,-30.236
3,Apr,-22.423759999999998,-18.953,-22.001,-23.154,-20.687,-19.52,-21.015,-20.606,-21.401,-20.988,-22.789,-20.065,-24.179,-20.913,-21.24,-21.373,-22.841,-17.86,-22.751,-21.326,-18.342,-17.396
4,May,-12.076540000000005,-12.677,-12.905,-10.378,-11.237,-10.598,-10.489,-10.354,-12.637,-11.21,-10.435,-9.036,-11.823,-11.424,-13.102,-12.082,-14.011,-10.875,-11.175,-12.355,-9.306,-10.761
5,Jun,-4.987080000000001,-4.267,-4.839,-3.813,-3.612,-4.502,-3.578,-5.298,-3.561,-3.108,-5.046,-3.837,-4.112,-3.408,-4.471,-4.1,-5.02,-3.736,-5.101,-5.619,-2.95,-4.631
6,Jul,-2.18181,-1.87,-1.984,-1.954,-0.754,-2.292,-1.102,-1.743,-1.258,-0.799,-0.35,-1.126,-0.899,-0.045,-1.941,-1.378,-1.077,-0.142,-2.046,-2.717,-0.097,-1.478
7,Aug,-4.424349999999999,-4.095,-3.245,-4.117,-2.918,-3.261,-3.871,-3.391,-3.133,-3.509,-3.175,-2.28,-3.19,-2.908,-4.716,-3.179,-4.104,-2.71,-4.038,-3.869,-2.751,-3.788
8,Sep,-11.467290000000002,-10.68,-10.159,-9.189,-9.441,-10.851,-11.6,-9.803,-11.169,-10.33,-11.559,-9.084,-10.805,-10.11,-10.634,-9.992,-10.752,-10.045,-10.57,-11.117,-9.648,-12.073
9,Oct,-20.328089999999996,-20.233,-18.206,-16.557,-17.332,-17.793,-20.732,-18.307,-20.3,-19.901,-20.211,-18.148,-20.667,-18.217,-19.61,-19.195,-19.089,-17.112,-17.085,-19.519,-17.179,-17.438
10,Nov,-26.346220000000002,-24.298,-25.9,-22.539,-24.322,-25.47,-23.755,-26.966,-25.337,-25.607,-26.76,-23.684,-25.182,-24.625,-26.614,-23.427,-26.101,-22.644,-24.107,-25.186,-22.979,-24.646
11,Dec,-29.2876,-27.501,-25.265,-23.687,-27.608,-30.622,-25.871,-28.181,-28.232,-27.214,-24.484,-23.312,-29.773,-25.906,-27.666,-28.865,-30.91,-27.13,-25.779,-27.922,-27.648,-26.494
