,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-5.978939999999998,-2.93,-1.665,-2.91,-7.998,-7.221,-1.301,-5.48,-1.564,-0.977,-3.055,-12.502,-4.641,-4.653,-6.364,-7.265,-1.725,-9.275,-3.171,-2.281,-5.452,2.246
1,Feb,-6.196730000000001,-1.439,-5.538,-0.198,-5.928,-4.382,-6.306,-8.593,-9.357,0.838,-4.516,-7.904,-10.371,-9.429,-3.007,-0.281,-0.566,0.287,-2.926,-7.605,-0.309,1.209
2,Mar,-2.5053600000000005,-0.088,-2.552,1.417,-0.938,-0.225,-5.846,-5.091,3.844,0.664,-0.845,-1.975,-1.4,0.021,-6.692,2.352,2.702,0.337,1.392,-3.561,1.094,2.364
3,Apr,3.7351399999999995,8.042,6.744,5.892,2.965,5.412,4.759,4.922,5.394,6.745,5.56,5.516,5.657,4.863,3.378,6.057,5.643,5.783,3.32,6.378,6.88,4.889
4,May,10.1236,10.836,10.459,12.624,11.217,10.517,10.81,10.865,11.868,10.622,11.385,12.591,10.896,11.598,14.123,11.939,10.428,13.341,9.82,14.615,11.215,9.472
5,Jun,14.675870000000005,14.486,14.441,16.239,13.604,13.666,14.463,16.172,16.07,14.797,14.331,14.907,17.436,13.746,18.037,14.007,14.329,16.104,13.867,15.502,17.982,18.184
6,Jul,17.119129999999995,16.84,20.768,19.32,20.233,17.087,18.653,18.898,17.364,16.98,17.392,22.21,20.819,18.37,18.07,19.902,16.488,18.379,15.976,20.471,16.65,16.59
7,Aug,15.882099999999998,15.833,16.669,18.742,16.359,17.551,16.87,17.98,18.335,16.245,16.291,18.704,17.12,15.808,17.356,17.638,17.131,16.611,16.707,18.626,16.645,16.988
8,Sep,11.247890000000002,10.194,12.477,11.665,12.125,12.896,13.285,14.427,11.738,10.62,13.537,11.852,13.413,12.909,12.133,12.743,13.419,13.059,12.57,14.454,12.084,14.085
9,Oct,5.6385000000000005,8.718,8.05,1.583,4.326,6.432,7.564,8.533,6.963,8.5,4.518,4.762,7.689,6.292,7.135,5.861,5.247,4.65,5.665,7.299,6.895,9.052
10,Nov,0.4877899999999999,3.999,0.231,-1.193,2.716,0.186,3.139,2.536,0.371,2.754,2.559,0.399,4.222,3.007,4.098,1.622,4.069,-0.669,2.638,2.816,2.885,4.602
11,Dec,-3.5912900000000003,0.417,-7.584,-8.692,-0.205,-0.05,-3.426,3.25,1.007,-0.444,-4.537,-7.845,1.675,-6.584,1.301,-1.354,2.219,-0.313,0.433,-2.299,1.633,-0.21
