,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-10.638229999999998,-7.704,-5.433,-9.538,-15.934,-10.269,-5.459,-8.259,-8.372,-5.36,-8.664,-14.93,-10.378,-9.757,-8.708,-11.62,-8.662,-14.793,-6.926,-7.71,-11.724,-3.926
1,Feb,-10.599660000000002,-7.105,-11.833,-5.767,-7.422,-9.389,-8.422,-12.28,-15.002,-5.081,-9.765,-13.562,-15.632,-12.453,-6.22,-2.605,-4.019,-4.605,-7.528,-12.014,-6.87,-4.648
2,Mar,-6.244419999999999,-4.426,-8.699,-4.247,-2.66,-4.054,-8.525,-9.937,-0.303,-5.153,-4.953,-6.921,-4.567,-3.202,-10.448,-1.188,-0.945,-2.409,-2.961,-8.639,-4.298,-2.472
3,Apr,-0.32623,1.936,1.776,2.685,-0.285,1.615,1.623,1.964,1.832,1.336,0.453,2.102,3.139,-0.074,0.242,1.823,2.32,2.423,-0.963,1.449,3.175,0.293
4,May,6.322990000000002,7.841,6.212,8.753,8.133,7.389,6.791,8.121,7.536,6.656,8.964,9.54,7.872,7.748,10.494,7.673,7.631,10.537,4.941,11.227,7.309,6.122
5,Jun,12.228199999999994,12.545,13.411,14.441,11.177,11.492,13.074,13.922,12.838,12.094,12.078,11.831,14.948,11.75,15.653,11.561,11.487,13.08,11.299,12.206,13.997,15.894
6,Jul,15.177950000000001,15.94,17.032,17.201,18.803,16.117,17.015,15.723,15.329,14.666,14.946,18.68,17.889,15.6,15.52,18.284,13.697,16.814,14.68,19.341,14.438,14.908
7,Aug,13.16085,13.33,13.571,15.621,13.855,14.071,14.743,16.063,14.985,12.052,14.43,14.081,14.145,13.331,14.931,15.223,14.829,13.7,13.467,15.393,13.806,14.222
8,Sep,7.98601,8.15,9.998,7.916,8.86,9.755,9.57,10.091,8.07,7.138,10.343,9.033,10.575,8.985,10.241,9.662,10.763,9.944,8.826,10.311,8.833,10.008
9,Oct,1.8052199999999996,5.997,3.45,-1.422,1.605,2.494,4.409,2.482,4.627,4.045,0.09,2.833,4.507,2.472,2.984,1.614,3.036,2.629,2.509,2.884,1.046,4.751
10,Nov,-3.68418,0.38,-4.49,-7.659,-1.272,-4.017,1.116,-2.613,-3.281,-1.998,-0.552,-6.441,0.702,-0.845,-1.254,-2.186,0.523,-4.079,-1.672,0.345,-3.623,1.123
11,Dec,-8.143659999999999,-4.908,-10.989,-12.718,-6.335,-4.839,-7.774,-1.549,-1.881,-3.081,-9.457,-13.577,-1.679,-12.326,-3.714,-5.372,-3.422,-5.17,-4.846,-6.034,-3.195,-3.129
