,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-3.332830000000001,-1.985,-0.783,-1.823,-2.308,-3.312,-2.662,-0.63,-3.334,-3.176,-1.001,-0.827,-1.485,-1.715,-0.093,0.11,-2.918,-2.941,-1.498,-2.675,-2.402,-2.133
1,Feb,-3.178019999999998,-3.712,-2.84,-6.098,-0.121,-1.878,-1.523,-0.002,-3.081,-2.725,-3.818,-3.704,-1.056,-0.016,0.663,-1.514,-2.729,-3.616,0.549,-1.211,-2.053,-2.832
2,Mar,-2.576600000000001,-2.583,-4.023,-3.488,0.905,1.267,0.091,-2.479,-0.403,-3.092,-2.63,-0.545,-2.779,0.498,-2.669,-0.855,-1.537,-0.606,-1.199,-1.184,-1.944,-2.686
3,Apr,-0.79384,-1.979,-0.476,0.991,2.854,2.133,0.537,-0.784,2.026,-0.639,1.286,-0.897,2.038,0.133,-2.162,1.282,-0.35,0.523,-0.011,0.717,3.16,0.517
4,May,2.896819999999999,3.897,3.683,3.098,2.955,3.811,2.2,2.576,2.27,5.087,4.38,4.353,2.947,3.137,2.681,4.315,1.242,3.601,5.494,3.999,3.427,3.398
5,Jun,6.185320000000002,5.973,5.676,7.016,7.615,7.134,6.81,7.178,7.882,6.805,6.972,8.094,4.715,6.451,7.694,8.741,5.516,8.371,6.446,7.237,6.771,7.458
6,Jul,8.02277,9.092,7.828,8.09,9.058,9.181,9.297,8.347,8.48,9.574,8.682,9.087,8.797,9.11,8.575,9.369,6.552,8.653,9.183,8.504,9.377,7.854
7,Aug,7.466719999999998,8.647,7.911,7.961,10.337,9.707,7.449,8.922,7.827,8.535,8.301,8.868,7.663,9.035,7.689,8.416,7.744,8.718,8.007,7.566,7.538,8.831
8,Sep,4.983320000000002,6.155,6.432,6.829,5.931,6.522,3.137,6.791,5.094,7.095,5.579,7.333,6.022,4.282,4.37,7.238,7.3,6.369,7.598,4.84,6.48,4.79
9,Oct,1.4892400000000001,2.174,3.255,2.357,1.993,1.778,0.02,2.076,3.137,-0.13,1.729,3.018,2.158,0.884,1.43,1.458,3.006,5.57,4.144,1.612,2.091,2.655
10,Nov,-1.1743600000000003,-1.086,-0.813,2.192,0.114,-0.848,-1.263,-1.84,-0.252,-0.314,0.253,-1.91,1.722,-1.635,-0.984,2.496,-0.266,1.063,-2.147,0.188,-0.85,-0.213
11,Dec,-2.757129999999998,-2.448,-0.412,1.207,-2.57,-3.221,-0.457,0.157,-1.01,-1.961,-1.781,-2.38,-4.916,-1.988,-3.059,-2.878,-2.606,0.945,-3.062,-0.152,-1.734,-1.459
