,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-13.112659999999998,-10.288,-11.595999999999998,-5.752000000000001,-10.052999999999999,-10.663,-11.82,-18.81,-6.584,-18.459,-11.509,-13.84,-15.477,-15.145,-10.306,-12.75,-10.664000000000001,-10.425999999999998,-9.811,-15.374,-10.072000000000001,-7.27
1,Feb,-11.99296,-7.186,-10.061,-3.5210000000000004,-10.922,-6.032,-14.758,-8.014,-7.555,-11.425999999999998,-10.057,-14.65,-12.293,-17.052,-9.075,-15.918,-8.196,-5.367000000000001,-11.030999999999999,-10.76,-10.062000000000001,-4.369
2,Mar,-4.722789999999997,-1.966,0.955,3.072,-5.452000000000001,-1.291,-0.055,1.09,-3.741,3.6319999999999997,-0.759,-2.937,-4.541,-3.343,0.9620000000000001,-1.214,-3.177,2.146,-3.075,-2.241,0.9279999999999999,1.189
3,Apr,7.308510000000002,11.883,9.315,6.462999999999999,5.776,7.73,9.009,9.756,9.79,9.902000000000001,7.329,8.252,10.224,13.85,10.235,7.165,8.538,10.822000000000001,8.642000000000001,8.082,8.89,10.725
4,May,15.638789999999998,14.623,18.708,13.875,16.234,17.497,17.527,16.04,16.891,17.754,15.581,16.453,16.525,17.918,16.215,18.2,17.243,16.105999999999998,16.791,14.901,16.265,18.859
5,Jun,20.999070000000007,21.736,21.392,19.682000000000002,19.8,22.065,22.513,23.284000000000002,20.928,21.980999999999998,21.324,23.521,21.89,23.482,21.433000000000003,22.74,23.851999999999997,21.366999999999997,21.929000000000002,20.844,21.361,21.72
6,Jul,23.240680000000008,23.561999999999998,22.148000000000003,23.105,21.721999999999998,23.066,24.459,22.12,23.798000000000002,25.146,22.872,23.594,24.17,25.128,22.989,21.776999999999997,24.183000000000003,23.302,24.371,24.819000000000003,25.070999999999998,24.768
7,Aug,21.06273,22.639,21.276999999999997,21.768,23.103,21.517,20.951,22.016,22.736,22.948,20.659000000000002,23.639,21.480999999999998,23.419,21.334,23.788,21.291999999999998,23.164,22.758000000000003,21.331,21.81,21.785999999999998
8,Sep,14.56188,14.742,13.964,16.712,16.114,16.219,16.567,15.565,16.221,13.780999999999999,15.272,15.890999999999998,16.397000000000002,15.612,15.74,14.037,15.158,16.534000000000002,15.638,14.952,14.307,14.232999999999999
9,Oct,5.85547,3.555,5.501,7.345,7.907,7.2829999999999995,8.513,7.632999999999999,6.962000000000001,7.921,7.836,7.457999999999999,8.008,8.295,7.287999999999999,4.85,5.896,3.407,6.189,7.479,8.842,6.706
10,Nov,-3.1253600000000006,-5.098,0.662,0.37,-2.93,0.8079999999999999,-0.35,-0.79,-1.78,1.1340000000000001,-1.251,2.289,-5.236000000000001,-2.04,1.81,-4.187,-1.995,-6.023,0.71,-4.1,-4.82,-3.9930000000000003
11,Dec,-10.064099999999996,-7.0,-10.45,-14.99,-7.204,-9.022,-7.696000000000001,-6.4479999999999995,-10.319,-8.399,-9.581,-8.023,-11.764000000000001,-14.91,-6.257000000000001,-8.451,-3.955,-8.282,-8.838,-10.812999999999999,-5.872999999999999,-13.263
