,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-12.103290000000001,-9.042,-11.195,-8.838,-8.045,-8.522,-10.126,-13.976,-9.779,-16.705,-9.823,-7.736,-12.081,-13.625,-10.359,-9.799,-9.389,-7.458,-10.496,-11.5,-8.937,-9.905
1,Feb,-9.910889999999997,-8.878,-7.185,-6.561,-7.124,-5.519,-11.633,-5.279,-4.885,-11.891,-6.285,-8.761,-7.908,-12.381,-7.752,-12.813,-6.022,-6.258,-8.609,-8.049,-7.856,-5.102
2,Mar,-3.660299999999999,-2.346,0.323,0.522,-3.104,-0.766,0.654,0.314,-1.727,2.432,-0.072,-0.75,-2.828,-3.773,1.341,-2.388,-2.259,2.489,-3.239,1.663,0.664,0.313
3,Apr,4.08925,6.895,5.426,4.466,2.248,5.375,5.41,6.043,8.049,5.896,4.113,5.795,6.989,7.827,5.821,4.102,5.944,6.21,4.251,5.53,6.204,6.175
4,May,9.342010000000002,11.828,12.536,8.985,8.312,10.317,9.342,11.399,10.819,12.754,9.104,9.326,11.261,10.731,10.015,11.334,10.953,10.269,11.648,9.176,9.907,11.334
5,Jun,13.116869999999997,13.907,15.741,13.764,13.279,14.39,15.152,14.153,15.189,16.413,12.909,13.517,14.539,14.232,14.047,14.123,14.366,15.087,14.384,13.976,13.358,13.623
6,Jul,15.536509999999998,16.204,15.585,15.156,15.492,15.619,17.039,15.902,16.081,17.141,15.629,15.566,16.186,16.35,16.139,16.276,18.392,16.005,17.284,17.126,18.189,15.981
7,Aug,14.87029,16.053,15.048,16.599,15.372,15.337,14.492,16.673,15.724,16.86,15.344,16.042,16.195,16.712,15.871,15.904,15.416,15.314,14.976,15.956,16.364,15.846
8,Sep,10.29157,11.607,10.158,11.291,11.633,11.694,12.851,11.144,12.003,11.489,10.824,10.768,12.034,11.756,12.76,11.622,10.074,13.416,11.709,10.794,11.592,10.24
9,Oct,3.456180000000001,2.304,3.722,6.532,5.227,3.733,5.365,7.132,3.037,4.619,5.064,5.619,5.235,4.414,6.02,3.864,5.219,2.192,4.512,3.747,5.188,3.203
10,Nov,-3.873299999999999,-3.862,-0.305,-0.259,-2.641,0.041,-2.095,-0.745,-0.369,-2.407,-2.976,-0.728,-3.123,-3.711,-3.071,-3.991,-1.947,-4.246,-1.065,-4.479,-4.202,-5.034
11,Dec,-9.497160000000003,-6.984,-9.725,-10.84,-8.623,-7.695,-8.305,-8.925,-9.302,-7.221,-7.737,-8.17,-10.833,-11.014,-8.49,-9.7,-7.602,-6.582,-8.075,-8.448,-7.387,-10.809
