,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-5.8145599999999975,-2.964,-1.825,-2.517,-6.466,-7.306,-1.306,-6.547,-0.578,-1.33,-3.174,-12.288,-3.991,-4.303,-7.246,-6.986,-1.445,-8.382,-3.74,-2.42,-4.922,2.209
1,Feb,-5.4663699999999995,-0.399,-4.412,0.604,-5.772,-3.501,-6.028,-7.577,-8.448,1.233,-4.051,-6.097,-9.213,-9.396,-2.586,0.079,-0.498,0.984,-2.553,-7.171,0.412,1.86
2,Mar,-1.6191200000000003,0.835,-1.07,2.248,-0.092,0.599,-4.753,-3.862,4.679,1.509,-0.044,-0.898,-0.587,0.902,-5.703,3.51,3.504,1.106,2.361,-2.543,2.307,2.946
3,Apr,4.816839999999998,9.567,7.573,6.68,3.983,6.288,5.932,5.694,5.831,7.538,7.113,6.41,7.092,6.292,4.345,7.312,6.29,6.592,4.39,8.104,7.699,5.803
4,May,11.229379999999999,11.907,11.643,14.099,12.655,10.802,11.503,11.719,12.936,11.325,12.043,13.26,11.935,12.573,15.194,12.83,11.077,14.179,11.149,15.658,12.343,10.223
5,Jun,15.36635,15.062,14.84,16.798,14.705,14.219,15.001,16.465,17.128,15.472,14.942,15.934,18.07,14.614,18.441,14.57,15.057,16.985,14.836,16.489,19.261,18.938
6,Jul,17.430579999999992,16.704,21.239,19.879,20.351,17.175,18.818,19.857,17.269,17.612,17.971,22.179,20.553,18.877,18.375,20.22,17.107,18.871,16.628,20.558,16.738,17.143
7,Aug,16.225659999999998,16.059,17.287,19.221,16.66,17.907,16.805,17.952,18.558,17.215,16.388,19.207,17.235,16.359,17.488,17.733,18.149,17.075,17.151,19.201,17.13,17.544
8,Sep,11.610420000000001,10.249,12.304,12.165,12.389,12.897,13.684,14.527,12.126,11.15,13.76,11.653,13.544,13.197,11.981,12.87,13.55,13.363,13.011,14.906,12.327,14.486
9,Oct,5.886609999999999,8.9,8.099,2.553,4.432,6.84,7.363,8.923,6.919,8.374,4.592,4.559,7.353,6.551,7.53,6.109,5.202,4.558,6.108,7.626,7.91,9.383
10,Nov,0.44178000000000006,3.999,0.561,-0.154,2.529,0.048,2.41,3.056,0.32,2.294,2.729,1.469,3.468,3.147,3.924,1.461,3.71,-0.278,2.559,2.208,3.947,4.389
11,Dec,-3.7363800000000005,0.105,-7.507,-8.926,-0.249,-0.052,-3.468,3.1,0.246,-0.845,-4.241,-7.767,1.051,-6.047,0.941,-1.981,1.773,-0.46,0.109,-2.312,1.519,-0.683
