,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-5.152870000000002,-2.579,-1.362,-1.867,-5.402,-7.223,-0.595,-7.247,0.763,-0.874,-3.184,-10.946,-3.127,-3.398,-6.703,-5.904,-0.714,-7.076,-3.766,-1.86,-4.328,2.375
1,Feb,-4.687179999999999,0.475,-3.204,1.661,-5.665,-2.543,-5.416,-6.599,-6.787,1.718,-3.398,-4.489,-7.827,-9.078,-1.824,0.289,-0.13,1.477,-2.026,-6.257,1.112,2.291
2,Mar,-0.7723699999999998,1.659,-0.114,3.008,0.591,1.326,-3.604,-3.246,5.306,2.262,0.606,0.174,0.103,1.785,-4.644,4.572,4.218,2.009,3.429,-1.869,3.23,3.429
3,Apr,5.668039999999998,10.728,7.985,7.488,4.886,7.01,6.971,6.356,6.501,8.224,8.343,7.101,8.268,7.223,5.115,8.313,6.796,7.19,5.253,9.731,8.364,6.474
4,May,11.86657,12.779,12.365,15.24,13.461,10.793,11.959,12.185,13.593,11.704,12.368,13.39,12.522,13.219,15.56,13.226,11.328,14.586,12.197,16.223,12.757,10.436
5,Jun,15.471689999999997,15.371,14.505,16.666,15.275,14.224,14.965,16.258,17.543,15.777,15.065,16.329,17.932,14.89,18.245,14.55,15.157,17.326,15.461,17.123,20.087,18.908
6,Jul,17.38464,16.343,21.115,20.158,20.093,16.812,18.817,20.466,17.173,17.822,18.273,21.743,19.645,19.136,18.272,20.276,17.277,18.668,16.798,20.317,17.085,17.315
7,Aug,16.44784,16.258,17.829,19.742,17.034,18.145,16.704,17.904,18.732,17.692,16.611,19.474,17.345,16.698,17.674,17.719,19.256,17.219,17.516,19.388,17.851,18.28
8,Sep,12.097150000000001,10.466,12.266,12.606,12.766,12.957,14.246,14.72,12.721,11.813,14.054,11.801,13.752,13.347,11.963,13.229,13.956,13.761,13.36,15.083,12.971,14.885
9,Oct,6.543899999999997,9.661,8.823,4.186,4.649,7.954,7.832,9.418,7.342,8.687,5.139,4.749,7.372,6.993,8.228,7.061,5.682,5.17,7.136,8.432,9.095,9.96
10,Nov,1.2627199999999994,5.017,1.541,1.417,3.396,1.133,2.649,4.106,0.752,2.897,3.682,3.194,3.484,4.231,4.637,2.336,4.391,0.991,3.525,2.695,4.795,4.994
11,Dec,-2.90264,0.825,-6.399,-8.407,0.309,0.704,-2.304,3.695,0.379,-0.177,-3.156,-7.368,1.477,-4.989,1.375,-1.429,2.285,0.104,0.891,-1.171,2.174,-0.105
