,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-21.604820000000018,-23.713,-22.603,-16.967,-19.521,-19.876,-22.521,-19.845,-18.457,-23.552,-19.908,-22.674,-26.047,-24.067,-20.26,-17.312,-16.196,-23.403,-19.318,-22.874,-18.522,-18.338
1,Feb,-17.76416,-17.304,-16.856,-12.892,-15.409,-12.913,-23.215,-15.548,-10.334,-17.743,-15.371,-19.888,-15.253,-19.549,-18.472,-18.39,-13.643,-16.215,-13.848,-16.527,-18.185,-13.099
2,Mar,-8.69851,-5.859,-6.504,-5.108,-8.146,-7.576,-7.135,-6.03,-7.223,-2.898,-6.303,-10.759,-9.202,-8.529,-4.067,-4.944,-5.862,-4.539,-5.695,-1.818,-4.256,-4.929
3,Apr,1.826489999999999,3.578,3.103,1.999,2.547,5.624,3.856,1.381,3.96,4.646,6.476,-1.296,4.665,3.727,2.572,5.95,4.383,4.538,5.403,4.921,5.097,5.893
4,May,9.76944,12.375,11.48,11.554,10.16,11.271,10.188,9.345,12.121,9.99,12.068,10.528,9.318,11.284,11.667,9.702,10.292,9.578,12.966,12.171,9.538,11.883
5,Jun,15.676030000000008,18.355,18.166,17.727,16.878,17.492,16.908,16.09,18.214,16.976,15.643,18.342,17.642,16.801,15.929,15.832,15.907,16.129,18.542,18.345,17.322,16.85
6,Jul,18.045130000000004,20.088,19.703,20.589,17.785,19.318,20.076,18.369,20.667,19.578,18.944,20.512,18.362,18.672,18.209,18.909,19.715,20.503,20.833,18.789,19.221,19.315
7,Aug,15.940870000000002,17.025,18.012,19.122,14.986,16.118,17.763,17.43,17.832,17.219,16.625,16.062,17.986,16.45,16.768,16.598,18.046,18.004,16.572,17.662,17.056,16.454
8,Sep,9.23496,11.316,11.384,10.362,10.636,9.703,10.675,10.852,12.178,10.822,10.074,11.284,8.272,10.395,9.819,9.742,9.901,11.797,10.636,9.102,13.582,10.703
9,Oct,0.4801900000000002,-1.881,2.456,-0.998,1.045,1.668,2.417,2.922,0.088,2.173,1.617,1.663,2.897,0.586,1.653,2.927,2.653,-1.041,0.895,2.29,1.779,0.17
10,Nov,-10.733100000000004,-14.107,-7.614,-10.706,-11.766,-8.915,-8.193,-7.358,-8.033,-7.029,-12.456,-7.414,-9.792,-11.503,-7.598,-8.48,-10.36,-11.063,-9.577,-8.475,-9.007,-7.972
11,Dec,-19.230520000000002,-17.528,-21.214,-21.007,-18.433,-17.219,-20.446,-16.268,-16.953,-17.039,-19.991,-18.246,-19.9,-21.366,-15.845,-17.64,-16.223,-15.269,-15.772,-20.104,-16.586,-20.584
