,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-10.070400000000001,-10.19,-11.838,-6.53,-9.481,-8.019,-8.825,-8.241,-6.314,-8.542,-8.077,-10.019,-11.94,-9.792,-10.008,-7.36,-7.278,-9.557,-7.585,-10.311,-6.555,-5.111
1,Feb,-7.169410000000003,-7.879,-6.879,-2.75,-3.618,-3.385,-8.188,-6.101,-1.604,-6.205,-3.573,-5.469,-4.446,-7.943,-7.512,-5.32,-4.351,-5.636,-5.094,-7.718,-4.483,-3.263
2,Mar,-0.6284899999999998,0.999,-0.327,3.336,1.177,0.7,-0.971,0.274,0.887,3.038,0.722,-1.534,-0.281,-0.389,-0.257,2.466,1.368,2.111,1.666,2.551,2.573,2.428
3,Apr,6.925,7.006,8.592,9.0,8.855,8.957,8.636,6.16,7.149,9.754,8.146,4.946,6.903,7.823,5.426,9.65,8.688,9.155,9.441,8.853,7.759,7.03
4,May,12.893129999999996,13.561,14.95,14.544,14.608,13.836,12.547,14.15,13.907,13.502,15.318,13.717,13.058,14.724,14.381,14.278,14.777,14.729,15.008,14.015,15.128,14.335
5,Jun,17.41422,19.503,19.244,17.728,18.384,19.589,18.713,17.535,19.411,18.127,17.458,19.696,17.75,18.486,19.347,18.91,18.516,18.508,18.395,18.676,18.255,19.684
6,Jul,21.064549999999993,22.847,22.327,21.285,20.197,21.242,21.831,20.763,20.661,22.161,20.265,22.199,21.58,21.57,22.162,22.202,21.426,21.768,23.247,23.039,22.222,21.186
7,Aug,21.445300000000007,22.628,21.754,20.75,20.665,21.34,22.04,23.097,22.189,21.56,21.474,22.557,22.041,22.056,22.86,21.427,21.718,22.686,21.308,23.165,22.299,22.94
8,Sep,16.054060000000003,16.436,17.067,16.644,16.918,17.116,17.483,16.702,17.533,17.316,16.706,17.352,16.409,16.977,16.977,16.772,17.277,17.785,16.999,16.401,18.042,17.078
9,Oct,9.166659999999998,9.058,11.381,7.492,9.114,10.048,9.818,12.073,9.884,11.308,10.347,9.416,9.711,10.065,10.411,10.475,9.661,9.906,9.902,8.762,11.188,9.331
10,Nov,1.03406,0.309,1.769,-2.47,2.851,3.702,3.063,2.451,1.408,1.793,0.609,1.083,3.924,0.538,1.692,3.246,2.526,0.599,-0.149,3.31,1.634,3.126
11,Dec,-6.941510000000002,-6.514,-7.313,-6.609,-5.05,-5.452,-9.845,-4.987,-4.365,-5.56,-7.29,-6.88,-7.245,-9.954,-6.178,-8.623,-4.58,-4.642,-8.052,-6.672,-4.956,-5.952
