,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-8.629109999999994,-5.256,-5.777,-7.163,-10.34,-9.477,-4.374,-5.127,-6.771,-4.879,-6.928,-10.623,-8.503,-6.632,-8.119,-7.658,-6.587,-8.99,-5.565,-7.066,-7.914,-4.617
1,Feb,-8.541609999999995,-5.996,-9.488,-6.239,-6.262,-7.751,-5.874,-7.079,-9.036,-4.475,-9.088,-11.15,-9.637,-6.634,-7.851,-2.279,-5.565,-5.495,-5.704,-8.227,-5.772,-6.013
2,Mar,-6.28296,-5.318,-8.706,-5.512,-4.279,-3.473,-6.737,-8.906,-1.799,-6.481,-4.707,-6.465,-5.184,-1.487,-8.833,-2.41,-2.355,-2.662,-4.593,-8.257,-5.396,-5.09
3,Apr,-2.4342799999999998,-1.609,-2.631,0.834,-0.88,1.118,-0.423,-0.143,-0.441,-1.307,-0.723,-0.795,1.742,-2.31,-2.343,-0.362,-0.233,-0.609,-2.22,-0.977,1.003,-1.308
4,May,3.346120000000001,4.935,3.866,5.737,4.129,4.843,3.257,5.144,4.079,4.404,5.373,4.323,4.734,4.072,6.198,4.337,3.22,6.009,3.461,8.021,3.606,3.116
5,Jun,8.121590000000001,7.465,8.615,10.382,9.115,7.949,8.464,9.376,9.851,8.757,8.367,7.859,9.797,7.604,9.674,8.676,7.324,9.401,8.536,9.033,9.207,11.251
6,Jul,10.761280000000005,10.716,11.195,12.01,13.29,11.485,12.297,12.283,11.406,11.852,11.601,11.622,11.771,10.426,11.662,14.079,10.09,11.76,10.759,14.207,11.647,10.288
7,Aug,9.626939999999994,9.497,10.185,12.983,10.929,11.32,10.28,12.08,10.323,9.639,10.901,10.076,10.598,9.919,10.837,10.578,11.318,9.808,9.722,10.381,10.948,11.03
8,Sep,5.586839999999999,6.545,7.062,6.484,6.226,6.675,6.335,8.026,5.26,6.367,6.925,6.256,8.007,5.819,7.599,7.019,7.556,8.85,7.674,6.906,6.114,7.051
9,Oct,0.39724999999999994,4.328,2.186,-1.098,-0.52,1.199,2.207,1.138,2.333,1.051,-0.41,1.246,2.591,0.304,1.478,2.358,2.293,2.144,2.284,1.632,-0.326,2.464
10,Nov,-4.235330000000001,-0.326,-3.658,-5.995,-2.118,-4.581,-1.178,-1.606,-3.354,-3.554,-1.195,-7.841,-0.098,-2.07,-2.961,-2.435,-1.31,-3.069,-3.266,-0.649,-5.075,0.205
11,Dec,-7.2213400000000005,-5.708,-7.176,-8.651,-6.932,-4.153,-5.685,-2.174,-4.759,-5.555,-7.706,-11.611,-4.278,-9.329,-3.934,-6.167,-3.397,-3.059,-5.794,-5.123,-4.909,-3.476
