,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-25.388999999999992,-25.649,-26.549,-22.884,-23.748,-23.195999999999998,-21.998,-28.445,-18.706,-23.846999999999998,-23.294,-26.754,-23.936,-24.179000000000002,-25.533,-26.336,-22.43,-23.29,-23.029,-23.066,-22.766,-19.381
1,Feb,-22.7817,-19.577,-23.647,-18.949,-21.994,-21.752,-23.284000000000002,-22.88,-23.943,-19.36,-24.552,-25.273000000000003,-23.588,-22.484,-22.436999999999998,-22.379,-18.327,-17.819000000000003,-19.384,-20.787,-19.862000000000002,-16.605
2,Mar,-15.550220000000001,-13.220999999999998,-14.661,-10.682,-12.946,-14.447000000000001,-14.440999999999999,-14.565999999999999,-12.728,-10.579,-14.273,-15.315,-11.296,-15.185,-16.925,-10.463,-11.437000000000001,-11.248,-8.172,-15.543,-10.38,-9.679
3,Apr,-5.527439999999997,-2.456,-4.51,-4.689,-4.395,-5.996,-4.039,-7.295,-1.496,-4.888999999999999,-3.51,-4.744,-1.811,-2.678,-3.175,-1.844,-3.4610000000000003,-1.859,-2.8280000000000003,-3.278,-2.822,-1.204
4,May,3.861499999999998,4.963,5.852,5.104,5.3389999999999995,4.754,6.099,4.5280000000000005,5.48,5.053999999999999,4.724,6.332999999999999,5.904,6.394,6.349,5.767,5.848,5.371,4.064,4.6419999999999995,5.66,7.08
5,Jun,11.61445,13.139000000000001,12.982000000000001,12.854000000000001,12.043,12.091,12.865,13.529000000000002,12.132,12.699000000000002,12.585,13.107000000000001,13.583,14.34,13.168,12.52,13.607000000000001,13.622,12.79,13.364,13.374,13.379000000000001
6,Jul,15.028799999999997,15.505999999999998,16.416,16.159000000000002,15.890999999999998,15.408,16.148,15.327,16.156,15.712,15.341,16.750999999999998,16.24,16.59,15.972999999999999,15.187999999999999,15.602,16.52,15.425,15.77,15.525,16.348
7,Aug,12.538179999999993,13.332,13.555,12.9,13.847000000000001,12.491,13.175,12.82,14.251,13.513,12.889000000000001,13.655,13.154000000000002,12.802,13.568,13.955,13.192,14.273,13.985,13.755999999999998,13.564,13.545
8,Sep,5.969610000000001,6.039,5.852,6.108,7.282,6.815,7.834,7.367999999999999,7.519,6.2860000000000005,7.669,6.3870000000000005,6.712000000000001,7.638,5.796,6.157,7.124,8.066,6.3660000000000005,7.7989999999999995,6.792000000000001,8.525
9,Oct,-4.21086,-4.758,-4.336,-4.29,-2.516,-4.121,-1.743,-4.47,-1.7480000000000002,-1.188,-2.444,-2.904,-1.364,-2.7030000000000003,-3.734,-4.695,-3.484,-4.01,-3.429,-0.163,-1.906,-1.5590000000000002
10,Nov,-16.03674,-17.79,-12.625,-15.414000000000001,-16.340999999999998,-12.752,-11.956,-14.497,-13.7,-12.947000000000001,-16.178,-12.460999999999999,-15.162,-13.936,-10.878,-15.206,-14.776,-17.109,-13.724,-14.724,-14.765999999999998,-10.785
11,Dec,-23.191530000000007,-24.844,-23.009,-26.375,-18.986,-24.171,-21.57,-19.339000000000002,-19.697,-20.927,-25.052,-24.01,-19.885,-24.671999999999997,-17.945,-20.391,-19.044,-22.618000000000002,-19.39,-22.081,-20.252,-21.794
