,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-8.303200000000002,-5.127,-4.821,-6.691,-10.225,-8.924,-3.844,-6.5,-6.301,-3.374,-6.237,-11.716,-7.799,-6.761,-8.356,-8.33,-5.85,-10.667,-5.109,-7.078,-8.384,-1.453
1,Feb,-7.764209999999997,-4.652,-9.298,-3.586,-5.855,-5.959,-6.286,-7.152,-8.831,-2.571,-9.265,-11.526,-10.118,-8.128,-6.198,-1.224,-2.956,-4.756,-4.832,-9.283,-4.189,-3.249
2,Mar,-4.051469999999998,-2.73,-6.517,-2.348,-0.453,-2.137,-5.181,-7.76,0.503,-3.407,-2.918,-4.504,-2.811,0.549,-7.131,0.433,-0.035,-0.636,-1.706,-6.674,-2.39,-1.148
3,Apr,0.85537,2.643,1.139,3.706,1.555,3.457,2.919,1.794,3.527,2.511,3.527,2.267,5.076,0.889,0.967,3.35,3.131,2.401,0.909,2.466,3.761,2.462
4,May,6.809239999999999,8.975,7.363,9.633,8.055,8.124,6.701,8.18,7.878,7.85,8.869,7.792,8.128,7.628,10.284,8.01,6.718,9.337,7.108,11.791,7.324,6.085
5,Jun,11.886950000000002,11.464,12.326,14.438,12.74,11.32,12.054,13.398,13.489,12.666,11.768,11.517,14.254,10.849,13.614,11.943,10.822,13.102,12.275,12.909,13.947,15.589
6,Jul,14.5119,14.242,15.379,16.006,17.405,14.208,16.213,16.349,14.656,15.375,14.975,16.379,16.189,14.396,15.044,18.277,13.855,15.464,13.975,18.711,15.11,13.456
7,Aug,12.930449999999993,12.877,13.611,16.86,14.011,14.53,13.608,15.939,14.027,12.545,14.36,13.576,13.927,13.254,14.061,14.154,14.517,12.915,12.994,14.373,14.605,14.58
8,Sep,8.385269999999998,8.734,9.596,9.245,9.372,9.698,9.811,11.5,8.1,8.271,10.205,8.843,10.686,8.453,9.972,9.909,10.439,11.42,9.722,10.086,8.909,9.893
9,Oct,2.7774900000000002,6.374,4.985,0.003,1.356,3.262,4.834,3.978,4.315,3.909,1.108,3.056,4.648,2.388,4.107,4.525,4.136,3.337,4.008,3.838,2.07,4.867
10,Nov,-2.69781,1.763,-1.683,-5.194,-1.259,-3.304,0.337,-0.118,-2.495,-2.107,0.583,-6.313,1.898,-0.182,-1.129,-0.597,0.182,-2.627,-2.175,0.227,-3.031,1.644
11,Dec,-6.485319999999999,-3.963,-7.367,-9.385,-4.554,-3.519,-5.734,-0.383,-2.851,-4.482,-7.924,-12.558,-2.692,-9.695,-2.381,-4.983,-2.198,-2.94,-5.036,-4.866,-2.799,-2.234
