,Month,AvgTemperature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Jan,-10.123950000000002,-7.464,-9.488,-7.269,-6.311,-6.353,-8.356,-11.263,-8.621,-15.22,-7.752,-5.711,-8.848,-11.005,-9.241,-7.806,-7.163,-5.823,-8.751,-6.988,-8.434,-8.86
1,Feb,-7.857220000000001,-7.645,-5.747,-5.585,-5.58,-3.505,-8.804,-3.272,-4.257,-10.032,-5.015,-6.975,-7.149,-10.513,-5.455,-9.708,-4.497,-4.423,-7.067,-4.968,-6.52,-4.229
2,Mar,-2.4412900000000004,-1.585,0.625,0.971,-2.007,0.868,1.348,0.665,-1.208,3.498,0.647,1.341,-1.279,-3.232,1.012,-1.446,-1.196,2.385,-2.055,2.458,-0.42,0.794
3,Apr,4.096590000000003,7.051,6.774,4.777,3.642,5.151,4.709,5.63,7.837,6.166,3.152,6.475,6.549,6.878,4.794,4.17,5.339,5.402,4.249,5.674,5.903,5.44
4,May,9.17129,12.256,13.014,9.184,7.479,10.481,8.322,12.514,10.593,12.125,9.267,9.157,11.976,9.273,9.936,10.634,10.007,11.094,11.861,9.409,9.92,10.72
5,Jun,13.528139999999997,14.271,15.937,14.32,13.519,14.698,15.003,14.584,15.439,16.682,12.508,13.124,15.529,13.908,14.985,14.394,14.517,15.58,15.128,14.613,12.698,14.012
6,Jul,16.45044,16.863,16.592,16.139,17.388,16.097,17.297,17.203,16.535,17.514,16.652,16.31,17.006,17.032,17.271,16.968,18.153,16.987,17.634,18.063,18.471,16.211
7,Aug,15.714800000000004,16.745,15.985,17.014,16.255,16.155,15.504,17.217,16.364,17.074,16.504,16.415,17.256,17.251,16.709,15.966,15.843,15.897,15.875,16.575,16.6,16.451
8,Sep,10.959380000000001,12.212,11.037,11.58,11.952,12.39,13.443,11.655,12.362,11.928,11.938,10.875,12.357,11.902,13.235,12.654,11.321,13.566,12.155,11.913,12.44,11.087
9,Oct,4.18965,4.411,5.087,7.586,6.235,3.925,5.799,7.851,3.685,5.586,5.276,6.751,5.758,5.221,5.968,4.811,5.853,4.458,5.544,3.601,5.662,3.728
10,Nov,-2.1936699999999996,-2.355,0.263,0.478,-1.245,1.331,-1.251,-0.084,0.74,-1.53,-1.623,-0.309,-2.109,-1.573,-1.709,-2.585,-1.242,-2.529,0.257,-2.416,-2.562,-3.34
11,Dec,-7.509110000000001,-5.49,-5.501,-9.088,-6.939,-5.865,-6.084,-8.765,-7.372,-5.911,-6.002,-6.265,-9.072,-7.854,-7.042,-7.499,-6.457,-4.646,-6.266,-6.168,-5.633,-8.282
